round,elapsed_ms,tag
0,0.026511,pgtable_sync_repl_3n
1,0.025255,pgtable_sync_repl_3n
2,0.027359,pgtable_sync_repl_3n
3,0.026232,pgtable_sync_repl_3n
4,0.026492,pgtable_sync_repl_3n
5,0.027096,pgtable_sync_repl_3n
6,0.026489,pgtable_sync_repl_3n
7,0.026902,pgtable_sync_repl_3n
8,0.026952,pgtable_sync_repl_3n
9,0.027079,pgtable_sync_repl_3n
10,0.026965,pgtable_sync_repl_3n
11,0.026596,pgtable_sync_repl_3n
12,0.025060,pgtable_sync_repl_3n
13,0.026566,pgtable_sync_repl_3n
14,0.026784,pgtable_sync_repl_3n
15,0.027432,pgtable_sync_repl_3n
16,0.026610,pgtable_sync_repl_3n
17,0.026948,pgtable_sync_repl_3n
18,0.027217,pgtable_sync_repl_3n
19,0.024039,pgtable_sync_repl_3n
0,0.007006,pgtable_sync_norepl_3n
1,0.006873,pgtable_sync_norepl_3n
2,0.006949,pgtable_sync_norepl_3n
3,0.006987,pgtable_sync_norepl_3n
4,0.006876,pgtable_sync_norepl_3n
5,0.006891,pgtable_sync_norepl_3n
6,0.006919,pgtable_sync_norepl_3n
7,0.007089,pgtable_sync_norepl_3n
8,0.006889,pgtable_sync_norepl_3n
9,0.006906,pgtable_sync_norepl_3n
10,0.006945,pgtable_sync_norepl_3n
11,0.006903,pgtable_sync_norepl_3n
12,0.007034,pgtable_sync_norepl_3n
13,0.006911,pgtable_sync_norepl_3n
14,0.006883,pgtable_sync_norepl_3n
15,0.006962,pgtable_sync_norepl_3n
16,0.006976,pgtable_sync_norepl_3n
17,0.006890,pgtable_sync_norepl_3n
18,0.006891,pgtable_sync_norepl_3n
19,0.006917,pgtable_sync_norepl_3n
