phase,limit,start_time,end_time
normal,max,2026-08-14 13:58:20.994407,2026-08-14 13:58:51.652351
c3,11G,2026-08-14 13:58:51.652379,2026-08-14 13:59:32.337960
c2,7G,2026-08-14 13:59:32.338000,2026-08-14 14:00:12.947130
c1.5,5G,2026-08-14 14:00:12.947165,2026-08-14 14:00:53.571621
c1,3G,2026-08-14 14:00:53.571639,2026-08-14 14:01:34.220958
release,max,2026-08-14 14:01:34.220982,2026-08-14 14:02:34.848618
