phase,limit,start_time,end_time
normal,max,2026-08-14 17:35:23.066446,2026-08-14 17:35:53.729413
10G,10G,2026-08-14 17:35:53.729443,2026-08-14 17:36:54.361377
8G,8G,2026-08-14 17:36:54.361420,2026-08-14 17:37:55.025865
6G,6G,2026-08-14 17:37:55.025892,2026-08-14 17:38:55.695515
4G,4G,2026-08-14 17:38:55.695548,2026-08-14 17:39:56.578269
3G,3G,2026-08-14 17:39:56.578305,2026-08-14 17:40:57.400687
release,max,2026-08-14 17:40:57.400727,2026-08-14 17:41:58.002636
