time,variant,elapsed,phase,limit,current_mb,high_events,psi_some_avg10,anon,file,pgscan,pgsteal,pgmajfault,repl_fail_events,repl_lock_main_lost,repl_pg_private_alloc,repl_pg_private_free,repl_pte_miss_events,repl_rdprotect_handled,repl_reclaimed,repl_reclaimed_replicas,repl_remote_faults_on_main,repl_repl_allocated,repl_repl_copy_events,repl_tlb_flushed,repl_total_faults,repl_unreplicated,repl_writes_to_replicated,vm_numa_pte_updates,vm_numa_huge_pte_updates,vm_numa_hint_faults,vm_numa_hint_faults_local,vm_numa_pages_migrated,vm_pgmigrate_success,vm_pgmigrate_fail
2026-08-14T17:35:33.067,repl-firsttouch,10.001,normal,max,10826,0,0.00,9182576640,2107592704,0,0,459354,461418,18,0,0,2249007,0,0,0,542414,1237737,1237737,2750626,2748914,0,0,2933504,5345,158505,81903,185327,185327,0
2026-08-14T17:35:33.567,repl-firsttouch,10.501,normal,max,10825,0,0.00,9182576640,2107592704,0,0,459354,461418,18,0,0,2249007,0,0,0,542414,1237737,1237737,2750626,2748914,0,0,2933504,5345,158505,81903,185327,185327,0
2026-08-14T17:35:34.067,repl-firsttouch,11.001,normal,max,10823,0,0.00,9182576640,2107592704,0,0,459354,461418,18,0,0,2249007,0,0,0,542414,1237737,1237737,2750626,2748914,0,0,2933504,5345,158505,81903,185327,185327,0
2026-08-14T17:35:34.567,repl-firsttouch,11.501,normal,max,10823,0,0.00,9182576640,2107592704,0,0,459354,461418,18,0,0,2249007,0,0,0,542414,1237737,1237737,2750626,2748914,0,0,2933504,5345,158505,81903,185327,185327,0
2026-08-14T17:35:35.067,repl-firsttouch,12.001,normal,max,10824,0,0.00,9182576640,2107592704,0,0,459354,461418,18,0,0,2249007,0,0,0,542414,1237737,1237737,2750626,2748914,0,0,2933504,5345,158505,81903,185327,185327,0
2026-08-14T17:35:35.567,repl-firsttouch,12.501,normal,max,10825,0,0.00,9182670848,2107592704,0,0,459354,461418,18,0,0,2249031,0,0,0,542414,1237759,1237759,2750672,2748938,0,0,2933504,5345,158505,81903,185327,185327,0
2026-08-14T17:35:36.067,repl-firsttouch,13.001,normal,max,10822,0,0.00,9182670848,2107592704,0,0,459354,461418,18,0,0,2249056,0,0,0,542414,1237784,1237784,2750722,2748963,0,0,2933504,5345,158505,81903,185327,185327,0
2026-08-14T17:35:36.567,repl-firsttouch,13.501,normal,max,10824,0,0.00,9182773248,2107592704,0,0,459354,461418,18,0,0,2249058,0,0,0,542414,1237786,1237786,2750726,2748965,0,0,2933504,5345,158505,81903,185327,185327,0
2026-08-14T17:35:37.067,repl-firsttouch,14.001,normal,max,10826,0,0.00,9182773248,2107592704,0,0,459354,461418,18,0,0,2249058,0,0,0,542414,1237786,1237786,2750726,2748965,0,0,2933504,5345,158505,81903,185327,185327,0
2026-08-14T17:35:37.567,repl-firsttouch,14.501,normal,max,10827,0,0.00,9182773248,2107592704,0,0,459354,461418,18,0,0,2249068,0,0,0,542414,1237796,1237796,2750746,2748975,0,0,2933504,5345,158505,81903,185327,185327,0
2026-08-14T17:35:38.067,repl-firsttouch,15.001,normal,max,10828,0,0.00,9182662656,2107592704,0,0,459354,461418,18,0,0,2249071,0,0,0,542414,1237799,1237799,2750752,2748978,0,0,2933504,5345,158505,81903,185327,185327,0
2026-08-14T17:35:38.567,repl-firsttouch,15.501,normal,max,10828,0,0.00,9182834688,2107592704,0,0,459354,461418,18,0,0,2249071,0,0,0,542414,1237799,1237799,2750752,2748978,0,0,2933504,5345,158505,81903,185327,185327,0
2026-08-14T17:35:39.067,repl-firsttouch,16.001,normal,max,10828,0,0.00,9182834688,2107592704,0,0,459354,461418,18,0,0,2249071,0,0,0,542414,1237799,1237799,2750752,2748978,0,0,2933504,5345,158505,81903,185327,185327,0
2026-08-14T17:35:39.567,repl-firsttouch,16.501,normal,max,10818,0,0.00,9182662656,2107592704,0,0,459354,461418,18,0,0,2249071,0,0,0,542414,1237799,1237799,2750752,2748978,0,0,2933504,5345,158505,81903,185327,185327,0
2026-08-14T17:35:40.067,repl-firsttouch,17.001,normal,max,10818,0,0.00,9182662656,2107592704,0,0,459354,461418,18,0,0,2249071,0,0,0,542414,1237799,1237799,2750752,2748978,0,0,2933504,5345,158505,81903,185327,185327,0
2026-08-14T17:35:40.568,repl-firsttouch,17.503,normal,max,10819,0,0.00,9182851072,2107592704,0,0,459354,461418,18,0,0,2249081,0,0,0,542414,1237809,1237809,2750772,2748988,0,0,2933504,5345,158505,81903,185327,185327,0
2026-08-14T17:35:41.067,repl-firsttouch,18.001,normal,max,10820,0,0.00,9182851072,2107592704,0,0,459354,461418,18,0,0,2249082,0,0,0,542414,1237810,1237810,2750774,2748989,0,0,2933504,5345,158505,81903,185327,185327,0
2026-08-14T17:35:41.567,repl-firsttouch,18.501,normal,max,10820,0,0.00,9182851072,2107592704,0,0,459354,461418,18,0,0,2249082,0,0,0,542414,1237810,1237810,2750774,2748989,0,0,2933504,5345,158505,81903,185327,185327,0
2026-08-14T17:35:42.067,repl-firsttouch,19.001,normal,max,10821,0,0.00,9182883840,2107592704,0,0,459354,461418,18,0,0,2249082,0,0,0,542414,1237810,1237810,2750774,2748989,0,0,2933504,5345,158505,81903,185327,185327,0
2026-08-14T17:35:42.567,repl-firsttouch,19.501,normal,max,10821,0,0.00,9182883840,2107592704,0,0,459354,461418,18,0,0,2249082,0,0,0,542414,1237810,1237810,2750774,2748989,0,0,2933504,5345,158505,81903,185327,185327,0
2026-08-14T17:35:43.067,repl-firsttouch,20.001,normal,max,10823,0,0.00,9182883840,2107592704,0,0,459354,461418,18,0,0,2249082,0,0,0,542414,1237810,1237810,2750774,2748989,0,0,2933504,5345,158505,81903,185327,185327,0
2026-08-14T17:35:43.567,repl-firsttouch,20.501,normal,max,10825,0,0.00,9182883840,2107592704,0,0,459354,461418,18,0,0,2249082,0,0,0,542414,1237810,1237810,2750774,2748989,0,0,2933504,5345,158505,81903,185327,185327,0
2026-08-14T17:35:44.067,repl-firsttouch,21.001,normal,max,10827,0,0.00,9182887936,2107592704,0,0,459354,461418,18,0,0,2249082,0,0,0,542414,1237810,1237810,2750774,2748989,0,0,2933504,5345,158505,81903,185327,185327,0
2026-08-14T17:35:44.567,repl-firsttouch,21.501,normal,max,10827,0,0.00,9182887936,2107592704,0,0,459354,461418,18,0,0,2249082,0,0,0,542414,1237810,1237810,2750774,2748989,0,0,2933504,5345,158505,81903,185327,185327,0
2026-08-14T17:35:45.067,repl-firsttouch,22.001,normal,max,10828,0,0.00,9182887936,2107592704,0,0,459354,461418,18,0,0,2249082,0,0,0,542414,1237810,1237810,2750774,2748989,0,0,2933504,5345,158505,81903,185327,185327,0
2026-08-14T17:35:45.567,repl-firsttouch,22.501,normal,max,10827,0,0.00,9182887936,2107592704,0,0,459354,461418,18,0,0,2249082,0,0,0,542414,1237810,1237810,2750774,2748989,0,0,2933504,5345,158505,81903,185327,185327,0
2026-08-14T17:35:46.067,repl-firsttouch,23.001,normal,max,10827,0,0.00,9182892032,2107592704,0,0,459354,461418,18,0,0,2249082,0,0,0,542414,1237810,1237810,2750774,2748989,0,0,2933504,5345,158505,81903,185327,185327,0
2026-08-14T17:35:46.567,repl-firsttouch,23.501,normal,max,10828,0,0.00,9182892032,2107592704,0,0,459354,461418,18,0,0,2249082,0,0,0,542414,1237810,1237810,2750774,2748989,0,0,2933504,5345,158505,81903,185327,185327,0
2026-08-14T17:35:47.067,repl-firsttouch,24.001,normal,max,10828,0,0.00,9182892032,2107592704,0,0,459354,461418,18,0,0,2249082,0,0,0,542414,1237810,1237810,2750774,2748989,0,0,2933504,5345,158505,81903,185327,185327,0
2026-08-14T17:35:47.567,repl-firsttouch,24.501,normal,max,10827,0,0.00,9182892032,2107592704,0,0,459354,461418,18,0,0,2249082,0,0,0,542414,1237810,1237810,2750774,2748989,0,0,2933504,5345,158505,81903,185327,185327,0
2026-08-14T17:35:48.067,repl-firsttouch,25.001,normal,max,10826,0,0.00,9182892032,2107592704,0,0,459354,461418,18,0,0,2249082,0,0,0,542414,1237810,1237810,2750774,2748989,0,0,2933504,5345,158505,81903,185327,185327,0
