phase,limit,start_time,end_time
normal,max,2026-08-14 14:23:00.788948,2026-08-14 14:23:30.851546
c3,11G,2026-08-14 14:23:30.851575,2026-08-14 14:24:10.905052
c2,7G,2026-08-14 14:24:10.905113,2026-08-14 14:24:50.946211
c1.5,5G,2026-08-14 14:24:50.946257,2026-08-14 14:25:30.980323
c1,3G,2026-08-14 14:25:30.980389,2026-08-14 14:26:11.034036
release,max,2026-08-14 14:26:11.034097,2026-08-14 14:27:11.095806
