phase,limit,start_time,end_time
normal,max,2026-08-14 14:11:31.949462,2026-08-14 14:12:02.005857
c3,11G,2026-08-14 14:12:02.005886,2026-08-14 14:12:42.059276
c2,7G,2026-08-14 14:12:42.059301,2026-08-14 14:13:22.108976
c1.5,5G,2026-08-14 14:13:22.109023,2026-08-14 14:14:02.161276
c1,3G,2026-08-14 14:14:02.161318,2026-08-14 14:14:42.211627
release,max,2026-08-14 14:14:42.211674,2026-08-14 14:15:42.265043
