tag,readratio,writeratio,benchmark,read_bw_gb,write_bw_gb,read_bw_std,write_bw_std,read_bw_wall_gb,write_bw_wall_gb,read_bw_wall_std,write_bw_wall_std,wall_s,nb_runs
default,100,0,readwrite_random,97.7723448844,0.0,8.011543567666406,0.0,97.59960755704023,0.0,8.002284513665064,0.0,30.056,5
interleaved,100,0,readwrite_random,102.4952606532,0.0,0.11115399171569748,0.0,102.31316471490302,0.0,0.11094636542140007,0.0,30.056599999999996,5
numabalancing,100,0,readwrite_random,101.46381918120001,0.0,0.9888227841344315,0.0,101.25733617695812,0.0,0.9942456340148204,0.0,30.064600000000002,5
repl,100,0,readwrite_random,161.7483569328,0.0,0.4605027739487439,0.0,161.50080699930962,0.0,0.48431537237322364,0.0,30.049,5
unrepl-bound,100,0,readwrite_random,161.61305080239998,0.0,0.2429372819672557,0.0,161.33774590113813,0.0,0.2541225543689483,0.0,30.054399999999998,5
unrepl-firsttouch,100,0,readwrite_random,125.30882785620001,0.0,19.85418737827529,0.0,125.08730931636869,0.0,19.813654961707982,0.0,30.057,5
unrepl-interleaved,100,0,readwrite_random,115.6323094748,0.0,0.11812716704228123,0.0,115.40311671673953,0.0,0.1447321052443262,0.0,30.0634,5
default,95,5,readwrite_random,86.801493165,3.9794030914000005,6.783461531607266,0.3068894477293664,86.6097925683274,3.9704122917449043,6.820691664876568,0.30830983531617884,30.0704,5
interleaved,95,5,readwrite_random,92.82194384740001,4.2375843736,0.44840391474126984,0.0656776110544356,92.65524694723062,4.229932561421654,0.4621791767489947,0.06467855554113755,30.0574,5
numabalancing,95,5,readwrite_random,82.4243302364,3.8005999574000002,7.437757648197795,0.32482274547437817,82.23053717470061,3.791554109634523,7.446723800565864,0.32521036307247847,30.074599999999997,5
repl,95,5,readwrite_random,144.2013802984,0.2531408094,1.403397055710893,0.003982476256376083,143.9196320680697,0.2526348389801478,1.4383112947576486,0.003915122676738468,30.0616,5
unrepl-bound,95,5,readwrite_random,143.28180858620001,0.25647365879999995,0.550195739881626,0.00572090538252454,143.0130195715236,0.2559788346710461,0.5635707507623562,0.005712396682343378,30.058999999999997,5
unrepl-firsttouch,95,5,readwrite_random,114.3495101254,0.2038681194,10.967424377627555,0.02361237746809337,114.12052000902786,0.20344953923909861,10.954882627285121,0.02358314007050304,30.0636,5
unrepl-interleaved,95,5,readwrite_random,104.9469307828,0.1938874152,0.280096487381098,0.004156541858835091,104.74659776128956,0.19350893015780915,0.3063707677850799,0.004117206876792308,30.060000000000002,5
default,90,10,readwrite_random,80.1591006392,7.9626712296,5.4722500884737695,0.6381543391285647,79.9847386490017,7.945220618139047,5.478485305616639,0.638668932291144,30.0696,5
interleaved,90,10,readwrite_random,84.5981722092,8.530027473,0.5170647251383238,0.13573414141977055,84.42707448320749,8.512486687670142,0.5134704044125816,0.13493197495666226,30.0642,5
numabalancing,90,10,readwrite_random,73.92528477340001,7.4712890762,10.032669142674012,0.990743477037075,73.74814060414666,7.453254828667556,10.029408423965307,0.9907071048307782,30.075799999999997,5
repl,90,10,readwrite_random,130.917830152,0.46096041880000005,1.6179619246344172,0.012724337387484262,130.66445447267557,0.460051329057494,1.6234096034732868,0.012639856545991385,30.061200000000003,5
unrepl-bound,90,10,readwrite_random,109.3141285216,0.636763859,19.709324410602168,0.16423652599581517,109.10071899440138,0.6354764651703559,19.687759131125652,0.16377651341456187,30.061400000000003,5
unrepl-firsttouch,90,10,readwrite_random,110.21157877099999,0.579033756,6.697820577173304,0.08653826575736633,109.9815431258734,0.5778229179763226,6.670701075672059,0.08649373533582333,30.065199999999997,5
unrepl-interleaved,90,10,readwrite_random,98.2768245212,0.4587465398,0.5973701761431403,0.06424166678579948,98.05135899055402,0.4576819410860796,0.6007916199787111,0.06411798304489853,30.072000000000003,5
default,85,15,readwrite_random,73.43893529340001,13.2763194384,2.365551505533831,0.30920336931878917,73.27650496070255,13.246757647203557,2.368865045902759,0.3094942105196901,30.0704,5
interleaved,85,15,readwrite_random,75.76492069119999,13.520068040000002,1.1944460085033428,0.14271304724800105,75.58850150373227,13.488722177103512,1.1863252619783138,0.14641330304002498,30.0724,5
numabalancing,85,15,readwrite_random,69.5676964254,12.5478944132,5.516837391533491,0.9226453559629728,69.40077240101394,12.517985831368675,5.511880415436427,0.9225683281472863,30.075,5
repl,85,15,readwrite_random,115.053141988,0.7031101958000001,0.9934489568468391,0.00813517381731356,114.84166634253033,0.7018150109292766,0.9646723904291773,0.008198520942103379,30.0574,5
unrepl-bound,85,15,readwrite_random,54.160171612,6.3763749162,2.892260871646118,0.6068938101149809,54.00441254539684,6.357900071956998,2.8867373446103355,0.604641448102635,30.0894,5
unrepl-firsttouch,85,15,readwrite_random,81.3586844294,5.718985873399999,14.4132061926155,4.180773656539482,81.17974652256748,5.70507723494918,14.408704970094425,4.1703234112020775,30.0714,5
unrepl-interleaved,85,15,readwrite_random,84.493588707,5.9308913428,5.834338711724694,4.7072983281420315,84.30172447346808,5.915893713339597,5.858223865541361,4.6955301476921765,30.0716,5
default,80,20,readwrite_random,66.0268803186,16.5783632092,3.6210819517789012,0.5555826342855076,65.87654293063432,16.540866732271475,3.648251640058319,0.5619604331055272,30.071999999999996,5
interleaved,80,20,readwrite_random,70.061743024,17.339531646199998,0.41664771299378556,0.18742855371392858,69.90007298723046,17.29973398470297,0.418633838982476,0.18548440929708884,30.0726,5
