runner_name,nb_runs,tag,mean_recall,mean_time,std_time,mean_qps,std_qps,start_time,end_time
annoy,30,default,0.9761710000000002,0.7200301802333267,0.013305089039753555,13892.905809851052,248.98422921671258,2025-11-30T18:17:21.066911,2025-11-30T18:17:46.786868
annoy,30,imbalanced-memory,0.9761710000000002,0.7812457269666766,0.1251281488823065,12982.9942964233,1144.6867564673516,2025-11-30T18:28:26.984863,2025-11-30T18:28:54.507869
annoy,30,interleaved-memory,0.9761710000000002,0.7086639921666574,0.1137385194571153,14314.181369813783,1269.9092828937587,2025-11-30T18:37:29.864617,2025-11-30T18:37:55.399867
annoy,30,numa-balancing,0.9761710000000002,0.7050991152333609,0.11673254216078434,14396.21041396353,1295.1441949222333,2025-11-30T18:45:48.326928,2025-11-30T18:46:13.651140
annoy,30,patched-repl,0.9761710000000002,0.6555768567333341,0.07232026251162997,15375.906244886351,1112.657300133397,2025-11-30T22:28:33.058202,2025-11-30T22:28:56.867185
faiss,30,default,0.978358,1.8143221286000009,0.07763768426124076,5522.803715647691,260.0382098193878,2025-11-30T18:16:21.956140,2025-11-30T18:17:21.026996
faiss,30,imbalanced-memory,0.978358,1.8700501785000143,0.07814888155081326,5357.066774192248,230.60349118746743,2025-11-30T18:27:26.408948,2025-11-30T18:28:26.950597
faiss,30,interleaved-memory,0.978358,1.879300525266649,0.07161022390766927,5329.227212114541,213.0621279336006,2025-11-30T18:36:28.905294,2025-11-30T18:37:29.831084
faiss,30,numa-balancing,0.978358,1.6389343749667054,0.044798592749452686,6105.917997813764,160.85426018090405,2025-11-30T18:44:54.602724,2025-11-30T18:45:48.291377
faiss,30,patched-repl,0.978358,0.9139424646999998,0.04927381356712663,10968.044587803499,492.60846264122904,2025-11-30T22:28:00.987379,2025-11-30T22:28:32.955217
usearch,30,default,0.9829900000000003,0.03705610509999815,0.003161614182813941,271243.030730711,16225.538631955718,2025-11-30T18:17:46.892192,2025-11-30T18:17:53.933353
usearch,30,imbalanced-memory,0.9829900000000003,0.03975227700000232,0.014761128095126618,264038.7912447292,33756.55717881183,2025-11-30T18:28:54.687476,2025-11-30T18:29:01.734523
usearch,30,interleaved-memory,0.9829900000000003,0.03988504459999452,0.016769608156304076,265550.45675507165,35514.83381823916,2025-11-30T18:37:55.607121,2025-11-30T18:38:02.632319
usearch,30,numa-balancing,0.9829900000000003,0.07736129076670295,0.011340782962851046,131199.6478739468,13664.980536203611,2025-11-30T18:46:13.830462,2025-11-30T18:46:22.009591
usearch,30,patched-repl,0.9831429999999997,0.04209392056667032,0.02054915039967439,255290.2299103543,37623.9549771719,2025-11-30T22:28:57.290160,2025-11-30T22:29:04.420156
