build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,embeddings,no_op_offload,no_host,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"773340973","7217","MKL, Intel(R) Xeon(R) Gold 5320 CPU @ 2.20GHz","","BLAS","./llama.cpp/Llama-3.1-Tulu-3-8B-Q8_0.gguf","llama 8B Q8_0","8533004544","8030326848","2048","512","104","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","1","0","0","0","512","0","0","2026-03-16T00:00:38Z","6140435043","76567883","83.392060","1.037225"
"773340973","7217","MKL, Intel(R) Xeon(R) Gold 5320 CPU @ 2.20GHz","","BLAS","./llama.cpp/Llama-3.1-Tulu-3-8B-Q8_0.gguf","llama 8B Q8_0","8533004544","8030326848","2048","512","104","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","128","0","2026-03-16T00:01:37Z","8870453293","3855363","14.429930","0.006271"
"773340973","7217","MKL, Intel(R) Xeon(R) Gold 5320 CPU @ 2.20GHz","","BLAS","./llama.cpp/Llama-3.1-Tulu-3-8B-Q8_0.gguf","llama 8B Q8_0","8533004544","8030326848","2048","512","104","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","256","0","2026-03-16T00:02:22Z","17697794808","8257723","14.465082","0.006748"
"773340973","7217","MKL, Intel(R) Xeon(R) Gold 5320 CPU @ 2.20GHz","","BLAS","./llama.cpp/Llama-3.1-Tulu-3-8B-Q8_0.gguf","llama 8B Q8_0","8533004544","8030326848","2048","512","104","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","512","0","2026-03-16T00:03:50Z","35936543259","6526423","14.247336","0.002585"
