label,dataset,readratio,writeratio,run,benchmark,tag,ts_start,ts_end,read_bw_gb,write_bw_gb,read_bw_wall_gb,write_bw_wall_gb,wall_s,read_bw_std,write_bw_std,read_bw_std_pct,write_bw_std_pct,start_time,end_time,samples,local_pct,local_pct_skt0,local_pct_skt1,local_pct_skt2,local_pct_skt3,ipc,inst,inst_skt0,inst_skt1,inst_skt2,inst_skt3,afreq,freq,cpu_balance,l3hit,l2miss,l3miss,l3mpi,upi_in_gb,upi_out_gb,upi_out_pct,upi_in_pct,mem_bw_gb,mem_read_gb,mem_write_gb,mem_read_gb_skt0,mem_read_gb_skt1,mem_read_gb_skt2,mem_read_gb_skt3,mem_write_gb_skt0,mem_write_gb_skt1,mem_write_gb_skt2,mem_write_gb_skt3,data_mem_gb,data_mem_gb_node0,data_mem_gb_node1,data_mem_gb_node2,data_mem_gb_node3,pagetable_mb,pagetable_mb_node0,pagetable_mb_node1,pagetable_mb_node2,pagetable_mb_node3,tma_l3_bound,tma_dram_bound,tma_l1_bound,tma_store_bound,warmup_s
fio,details,100,0,1,readwrite_random,default,1788209017.9888115,1788209068.7658362,125.690242883,0.0,125.08989145177124,0.0,30.148,0.0178435107859999,0.0,0.0145297760835189,0.0,2026-08-31 22:43:37.988811493,2026-08-31 22:44:28.765836239,51,26.274509803921568,30.15686274509804,25.0,25.607843137254903,22.764705882352942,0.26372549019607844,10508.873725490197,3024.3664705882347,2416.3611764705884,2728.4339215686277,2339.7111764705883,0.9800000000000001,0.15490196078431373,0.7736202603831664,0.07529411764705883,184.70137254901957,176.93607843137258,0.015768627450980392,90.89009459252452,152.18950348498774,55.40196078431373,32.82352941176471,129.61075961243873,121.95407149969364,7.656689261642158,48.033408969056374,26.48878236060049,37.61592715992647,9.815952435661766,5.463560049019608,0.773009344362745,1.0567848115808822,0.3633350566789215,1.3129290412454044,0.5126221600700828,0.3135685640222886,0.3118605520211014,0.17488718967811734,13.598651960784315,9.73828125,1.3213082107843137,0.37109375,2.16796875,15.908333333333331,52.24791666666667,5.833333333333333,4.997916666666666,0.0
fio,details,100,0,2,readwrite_random,default,1788209069.7497926,1788209120.40967,100.72827884,0.0,100.49716617351112,0.0,30.073,0.001957879508,0.0,0.0019892212573601,0.0,2026-08-31 22:44:29.749792576,2026-08-31 22:45:20.409670115,50,32.82,40.72,21.48,21.62,20.96,0.21780000000000002,8390.6312,3304.9338000000002,1653.0089999999996,1685.4815999999998,1747.2084,0.98,0.15600000000000003,0.5001640274912615,0.07700000000000001,147.36360000000002,140.94299999999998,0.015738000000000002,67.1590337890625,118.46290878906251,42.86166666666667,24.03,100.59039062500003,94.73198261335783,5.858408203124999,54.16188648897059,13.821080920649507,10.83994753370098,15.909067670036766,4.508297334558824,0.45030215992647055,0.36424230238970584,0.5355656403186273,1.3206314849853515,0.7133833312988281,0.23733924865722658,0.11342620849609375,0.25648696899414064,13.61125,9.751953125,1.3215625,0.37109375,2.168984375,19.32826086956522,53.3,4.021739130434782,4.749999999999998,0.0
fio,details,100,0,3,readwrite_random,default,1788209121.772421,1788209172.484676,131.513863133,0.0,131.05084767264515,0.0,30.108,0.0146545689459999,0.0,0.0114006262524753,0.0,2026-08-31 22:45:21.772420883,2026-08-31 22:46:12.484675884,50,25.88,23.38,24.5,28.56,26.24,0.2698,11070.141599999999,2395.3082,2524.8487999999998,3192.4018000000005,2957.5826,0.9810000000000001,0.1566,0.7503153894976502,0.06960000000000001,195.40439999999998,187.14300000000003,0.015878,95.6653337890625,160.1958185546875,58.251666666666665,34.574999999999996,138.9509263939951,130.6501650582108,8.30076114430147,19.335190716911764,25.8027734375,45.768763786764715,39.74343654258578,4.6023481541053926,1.3061475566789216,1.237587507659314,1.1546785003063724,1.3111939239501953,0.24408439636230467,0.29329193115234375,0.3667987060546875,0.40702850341796876,12.4565625,5.691796875,4.1771875,0.353125,2.234453125,15.366666666666665,52.90208333333334,6.133333333333333,4.247916666666666,0.0
fio,details,100,0,4,readwrite_random,default,1788209173.913653,1788209224.6601312,130.22962319,0.0,129.61186839302064,0.0,30.146,0.009086073199,0.0,0.0071390324849682,0.0,2026-08-31 22:46:13.913652897,2026-08-31 22:47:04.660131216,50,25.66,24.04,25.7,27.66,27.08,0.27019999999999994,10964.721000000001,2283.3317999999995,2654.18,3008.0238,3019.1867999999995,0.9808,0.1562,0.7562737754417844,0.06880000000000001,192.42039999999997,184.206,0.015762,94.1985140625,158.06374824218747,57.48666666666666,33.99333333333333,137.3958944163603,129.39893822763477,7.996955231311274,10.548602558210783,34.12745289522059,43.247557636335785,41.47532705269608,4.113016237745098,1.4935091145833335,1.1808727787990196,1.2095578661151962,1.3121292114257814,0.1749834442138672,0.36513633728027345,0.3464690399169922,0.4255596160888672,12.353359375,5.595625,4.106875,0.3515625,2.299296875,14.902083333333335,53.76874999999999,6.079166666666668,4.022916666666667,0.0
fio,details,100,0,5,readwrite_random,default,1788209226.050021,1788209276.7628615,124.940173873,0.0,124.5292820282364,0.0,30.103,0.001891125875,0.0,0.0015487330419287,0.0,2026-08-31 22:47:06.050020933,2026-08-31 22:47:56.762861490,50,26.36,31.16,23.4,24.6,23.04,0.26039999999999996,10431.8104,3143.9193999999993,2276.2998000000002,2557.8116,2453.78,0.9786000000000001,0.1558,0.7240324926904935,0.0722,183.56560000000002,175.8836,0.015776000000000002,90.9226244140625,152.093237109375,55.26166666666666,32.85,128.642646484375,120.77040517769608,7.8722409237132345,49.00329580269609,16.125663679534313,31.78489928002451,23.856546415441176,5.716779258578431,0.49970703125,0.912466490502451,0.7432881433823528,1.3128157043457032,0.5117423248291015,0.23763992309570314,0.26943389892578123,0.29400794982910156,12.368515625,8.587578125,1.265625,0.3515625,2.16375,16.5125,51.375,5.764583333333334,5.40625,0.0
fio,details,100,0,1,readwrite_random,interleaved,1788209278.08142,1788209328.8172,146.560839295,0.0,146.03033315206056,0.0,30.113,0.002673868246,0.0,0.0018668682774455,0.0,2026-08-31 22:47:58.081419945,2026-08-31 22:48:48.817199945,50,24.9,26.16,24.62,24.76,23.98,0.29760000000000003,12287.893600000001,2933.2266000000004,3029.018,3142.5519999999997,3183.0969999999998,0.9793999999999999,0.1558,0.9215008527858248,0.0704,218.4162,209.5112,0.015998,107.87542128906249,174.08893652343752,63.35999999999999,39.089999999999996,153.3850398284314,144.59374310661764,8.791297487745098,36.05018478094362,36.53221660539216,36.171292509191176,35.84004806219363,1.9976457184436271,2.3722688802083334,2.2192895986519607,2.2020925245098044,1.2896680644914216,0.36136716954848347,0.3422868766036688,0.2474834217744715,0.3385494456571691,12.299402573529411,6.203890931372549,2.0605851715686274,1.1282169117647058,2.9067095588235294,14.020833333333334,51.806250000000006,6.1375,4.710416666666666,0.0
fio,details,100,0,2,readwrite_random,interleaved,1788209330.094578,1788209380.813367,146.994127023,0.0,146.56424821667608,0.0,30.091,0.002597438472,0.0,0.0018076474168037,0.0,2026-08-31 22:48:50.094578028,2026-08-31 22:49:40.813366890,50,24.96,27.2,24.18,25.1,24.06,0.29760000000000003,12329.0996,2970.4709999999995,3038.4424000000004,3143.8502000000003,3176.3352,0.9792000000000001,0.15580000000000002,0.9351881375743969,0.07180000000000002,219.2606,210.0974,0.01596,107.62631445312499,173.18585898437502,62.98666666666666,38.95,153.77415632659313,144.54231694240198,9.231839767156861,36.21687385110294,36.37823586856618,36.05000938265931,35.897198797487746,2.445985179227941,2.4392128140318627,2.2471618412990195,2.099481081495098,1.2924584033442479,0.36196256151386336,0.3433896233053768,0.24805068969726562,0.3390959197399663,12.313112745098039,6.232613357843137,2.033547794117647,1.0889246323529411,2.958486519607843,14.027083333333332,52.13333333333333,6.15625,4.370833333333334,0.0
fio,details,100,0,3,readwrite_random,interleaved,1788209382.0888598,1788209432.7912807,146.533416577,0.0,146.14376481356155,0.0,30.085,0.002405738392,0.0,0.0016798963325091,0.0,2026-08-31 22:49:42.088859797,2026-08-31 22:50:32.791280746,50,25.16,26.46,24.3,25.1,23.64,0.30000000000000004,12317.246799999999,2947.4734,3003.1394000000005,3158.1279999999997,3208.5071999999996,0.9796,0.1552,0.9186432244876995,0.0704,220.03999999999996,211.07659999999998,0.016037999999999997,108.07603261718748,174.62719179687502,63.525,39.07333333333333,153.5385631127451,144.59251091452205,8.946052389705883,36.43229836856617,35.81680702359069,36.01412798713235,36.3292760033701,2.351336550245098,1.9320503982843138,2.2681200214460784,2.3945458026960784,1.2993375396728515,0.36247352600097654,0.34854721069335937,0.24868125915527345,0.3396355438232422,12.321328125,6.243515625,2.083671875,1.0696875,2.924453125,13.997916666666663,52.02291666666665,6.135416666666667,4.702083333333333,0.0
fio,details,100,0,4,readwrite_random,interleaved,1788209434.1365814,1788209484.854381,146.718866753,0.0,146.2752243920917,0.0,30.095,0.003109177127,0.0,0.0021679715556349,0.0,2026-08-31 22:50:34.136581421,2026-08-31 22:51:24.854381084,50,24.72,25.52,23.92,24.74,24.78,0.29800000000000004,12325.417600000002,2937.388,3015.7487999999994,3142.9372,3229.3436000000006,0.9798,0.156,0.9095928968351338,0.07200000000000001,219.4698,210.42600000000002,0.016007999999999998,107.98485351562503,174.58271132812496,63.546666666666674,39.160000000000004,153.47699525122547,144.49764935661764,8.979345703125,36.32628753063725,36.17762197457108,35.87456246170343,36.119176623774514,2.2893382352941174,2.306984145220588,2.236779833026961,2.1462429151348044,1.3014727783203124,0.3630209350585938,0.3490900421142578,0.24910743713378905,0.34026397705078126,12.331484375,6.27703125,1.971796875,1.0821875,3.00046875,13.979166666666666,52.06666666666666,6.122916666666666,4.583333333333333,0.0
fio,details,100,0,5,readwrite_random,interleaved,1788209486.141266,1788209536.8833218,146.364770393,0.0,145.77204311491732,0.0,30.126,0.0025845972139999,0.0,0.001806857274183,0.0,2026-08-31 22:51:26.141266108,2026-08-31 22:52:16.883321762,50,24.92,25.26,24.52,25.18,24.26,0.29700000000000004,12358.332799999998,2964.8194,3052.1486000000004,3144.8068000000003,3196.5588000000002,0.9788,0.1564,0.927503476551096,0.0682,220.2106,211.0886,0.016021999999999998,108.01606816406249,173.841570703125,63.25999999999999,39.13166666666666,153.1817608762255,144.3514190793505,8.83034122242647,36.21581112132353,36.33951937806373,36.08691329656863,35.709176049325976,2.31674191942402,2.235728592218137,2.2214250153186272,2.056444929534314,1.3053287506103517,0.3640282440185547,0.35006492614746093,0.2501202392578125,0.34113121032714844,12.35140625,6.23578125,2.044765625,1.128203125,2.94265625,14.179166666666667,51.96666666666666,6.135416666666665,4.629166666666667,0.0
