label,dataset,tag,test,n_prompt,n_gen,runs,test_time,avg_ns,avg_ts,stddev_ts,start_time,end_time,samples,local_pct,local_pct_skt0,local_pct_skt1,local_pct_skt2,local_pct_skt3,ipc,inst,inst_skt0,inst_skt1,inst_skt2,inst_skt3,afreq,freq,cpu_balance,l3hit,l2miss,l3miss,l3mpi,upi_in_gb,upi_out_gb,upi_out_pct,upi_in_pct,mem_bw_gb,mem_read_gb,mem_write_gb,mem_read_gb_skt0,mem_read_gb_skt1,mem_read_gb_skt2,mem_read_gb_skt3,mem_write_gb_skt0,mem_write_gb_skt1,mem_write_gb_skt2,mem_write_gb_skt3,data_mem_gb,data_mem_gb_node0,data_mem_gb_node1,data_mem_gb_node2,data_mem_gb_node3,pagetable_mb,pagetable_mb_node0,pagetable_mb_node1,pagetable_mb_node2,pagetable_mb_node3,tma_l3_bound,tma_dram_bound,tma_l1_bound,tma_store_bound,warmup_s
llama,llama,baseline,pp512,512,0,10,2026-08-30T05:48:15Z,9087984688,56.3984,1.877074,2026-08-30 07:46:53.240306240,2026-08-30 07:49:55.000000000,129,43.689922480620154,56.93798449612403,43.82945736434109,54.65891472868217,44.116279069767444,0.41945736434108527,14683.012790697674,3538.9837984496126,3645.551240310078,3796.449224806201,3702.0277519379847,0.8665891472868217,0.11240310077519382,0.9321825708416445,0.6555813953488373,15.037596899224805,5.943643410852713,0.00037209302325581404,16.62722519985465,42.74070812136628,15.228682170542639,5.708010335917312,45.87355280949519,21.066399113581728,24.807153545673078,4.195784104567308,5.3369722806490385,4.255115384615384,7.278526367187499,5.490266451322116,5.6598236177884615,5.374161283052884,8.282902268629808,7.897330830115398,0.13215223705495588,7.375150636862252,0.13005922040866533,0.26063563805500056,26.90657800572519,3.2478530534351147,18.909619513358777,2.0087666984732824,2.7369692270992365,2.48046875,3.1796875,7.9078125,3.2249999999999996,0.0
llama,llama,baseline,tg128,0,128,10,2026-08-30T05:49:55Z,34453357234,3.715175,0.005353,2026-08-30 07:44:45.932855320,2026-08-30 07:56:15.000000000,509,30.62671905697446,55.52848722986248,30.17092337917485,38.87033398821218,46.6581532416503,0.19542239685658155,6896.3943025540275,1406.4372888015716,2523.0346365422392,1482.9456777996072,1483.9762868369353,0.9376031434184676,0.13163064833005894,0.5574387558662538,0.686090373280943,7.038644400785855,2.4076424361493123,0.0008214145383104127,21.57576196816675,57.603965189096265,20.68271119842829,7.500327439423707,39.34334300942412,30.758788736339636,8.584554062039537,1.1288544288740179,25.04952181053536,2.607859716509086,1.9725529147224954,1.4394816928106582,2.268594824410609,2.687067050896365,2.1894105706655207,8.291856784409973,0.12621938925666587,7.854615511959547,0.12038050612358198,0.19082381067443968,28.1461824241683,3.274232509784736,20.137460249510763,1.9483090753424657,2.7853167808219177,19.314141414141414,4.516330645161291,9.87600806451613,1.2463709677419355,0.0
llama,llama,baseline-warmup,pp512,512,0,10,2026-08-30T05:56:15Z,9236775009,55.51931,2.310638,2026-08-30 07:54:52.264499820,2026-08-30 07:57:57.000000000,185,39.567567567567565,59.52972972972973,40.567567567567565,46.32432432432432,44.524324324324326,0.3264324324324324,11717.316270270272,2769.5595675675677,3248.3853513513513,2915.439135135135,2783.932108108108,0.9090810810810813,0.12464864864864864,0.8525957569705858,0.6261621621621621,11.465567567567568,4.668378378378378,0.0017918918918918923,18.45714379222973,48.498356946790544,17.334684684684685,6.383783783783784,43.381684517238455,24.91945259425951,18.462231657608694,2.9644711701766306,12.788216871178667,4.157679124915082,5.009086277173913,3.720153543223505,4.447672490658967,4.316173891813859,5.978230776579484,8.254422954891039,0.14695269128550653,7.67948409785395,0.2016486292300017,0.22628504297007684,28.09370754076087,3.3975033967391304,19.60444972826087,2.3481657608695654,2.7355638586956523,8.802234636871509,5.897222222222222,7.796111111111109,2.292222222222222,0.0
llama,llama,baseline-warmup,tg128,0,128,10,2026-08-30T05:57:57Z,34350768389,3.726266,0.003277,2026-08-30 07:52:43.984632220,2026-08-30 08:04:11.000000000,686,30.075801749271136,53.36151603498542,29.807580174927114,32.22886297376093,37.46938775510204,0.17500000000000002,6362.984256559767,1264.3480174927113,2496.579606413994,1322.9299854227404,1279.126647230321,0.9544460641399417,0.1368075801749271,0.5064320858203195,0.6834839650145773,6.255393586005832,2.0848396501457724,0.0006724489795918367,22.489338656500546,59.98666361550201,21.507531584062196,7.844873663751213,39.60358509313592,32.434691394878094,7.168893627183407,0.8572420282933042,27.07231175229713,1.7860335499681586,2.7191042917576422,1.0394404168941047,1.6118763077692866,1.714800465679585,2.8027761241129916,8.474911308844652,0.13959953597266195,8.023464647743515,0.13857288749850524,0.17326869908991777,28.736117438046648,3.354267264941691,20.310575346209912,2.2914825528425657,2.7776398505830904,21.173233082706766,4.264864864864864,9.813213213213213,0.9623123123123124,0.0
llama,llama,baseline-balancing,pp512,512,0,10,2026-08-30T06:04:11Z,9664294341,53.0496,2.051184,2026-08-30 08:02:42.714113180,2026-08-30 08:05:56.000000000,193,37.487046632124354,47.248704663212436,34.27461139896373,46.10880829015544,44.30051813471503,0.3232124352331606,11536.508082901555,2574.34725388601,3273.258134715026,2921.2447668393784,2767.658756476684,0.91279792746114,0.1244559585492228,0.7864785323783015,0.6500518134715026,11.13580310880829,4.313626943005181,0.0003243523316062177,19.57732705229922,50.57821714094884,18.07512953367876,6.781951640759931,43.15477832537241,25.48621533962112,17.66856303635039,2.98206302623057,15.828271737370466,2.689246781897668,3.986634198915156,3.856470915641192,5.700527596745466,3.42713836828044,4.684426611075129,8.346247994220318,0.1673486936895341,7.859183672178594,0.134466675279054,0.18606790730372613,28.375728626943005,3.3441952720207255,20.115527849740932,2.1394915803108807,2.7766960816062176,9.741798941798942,3.142857142857143,8.075661375661376,2.2433862433862433,0.0
llama,llama,baseline-balancing,tg128,0,128,10,2026-08-30T06:05:56Z,34441041140,3.716522,0.010424,2026-08-30 08:00:47.179177200,2026-08-30 08:12:16.000000000,688,29.642441860465116,48.83720930232558,28.453488372093023,34.70348837209303,42.69767441860465,0.17454941860465115,6355.794316860465,1224.3266715116279,2497.2767441860465,1338.5404941860465,1295.6511773255816,0.9546366279069767,0.13629360465116278,0.49026471509895897,0.6910755813953489,6.286947674418605,2.0508575581395347,0.0006590116279069767,22.510802598110466,59.957511568291245,21.52422480620155,7.8660368217054275,39.387489256395135,32.19540834202649,7.192081126972969,0.9212120146952106,27.636741612050983,1.9898143397360304,1.6476406873639333,1.1512294765965168,2.231294632733128,2.038260499818578,1.77129644695664,8.486505635949069,0.14104642978934356,8.05946227007134,0.11529910287191703,0.17093466603478719,28.822061228197676,3.386105559593023,20.60542332848837,2.0700172601744184,2.760566179142442,21.138473053892216,4.1898355754858,9.84170403587444,0.9599402092675636,0.0
llama,llama,baseline-balancing-warmup,pp512,512,0,10,2026-08-30T06:12:16Z,9568751764,53.59369,2.26576,2026-08-30 08:10:49.624964720,2026-08-30 08:14:01.000000000,191,38.33507853403141,56.84293193717277,39.73298429319372,37.92146596858639,47.3717277486911,0.3203664921465969,11526.288952879579,2846.0933507853397,3251.465183246073,2642.7082198952876,2786.02277486911,0.9127748691099478,0.12450261780104713,0.8127745711417896,0.6281151832460733,11.234659685863878,4.605916230366493,0.0017329842931937173,18.752490029859292,48.96798628722186,17.516143106457243,6.506980802792321,42.5928952266034,24.74106046506872,17.851834761534686,3.664742719240838,12.80593760225785,3.3480782170320675,4.922301670893324,3.9241300413121736,4.060943686600131,4.028199903877618,5.838561436518326,8.311905766032753,0.1963892032962819,7.746115699488455,0.13030290853290658,0.23895129857887148,28.06971940445026,3.7555423756544504,19.667682428010473,1.807980202879581,2.838514397905759,9.048924731182796,5.63529411764706,7.803743315508021,2.1588235294117646,0.0
llama,llama,baseline-balancing-warmup,tg128,0,128,10,2026-08-30T06:14:01Z,34278207384,3.734301,0.024824,2026-08-30 08:08:19.435852320,2026-08-30 08:19:45.000000000,685,30.778102189781023,51.44671532846716,31.03211678832117,42.91386861313869,48.10802919708029,0.17183941605839417,6578.917313868614,1343.792613138686,2581.348540145985,1304.3508905109488,1349.4255620437957,0.9756350364963504,0.14277372262773722,0.5052982463333614,0.6695620437956205,6.551810218978102,2.191051094890511,0.0006858394160583942,23.74158215955748,63.0240180058166,22.687956204379564,8.28102189781022,41.38936641765511,33.892675210994526,7.496691577326642,1.1482876653740877,29.603996521441605,1.6575532761177005,1.4828376625228101,1.1833307054060218,2.841002580406022,1.755690707687044,1.7166672701870436,8.670627030712819,0.1806615528307463,8.209545866090652,0.10087905571474666,0.17949960385149683,29.20954404239766,3.756761695906433,20.728030199195906,1.9228287189327486,2.801923428362573,22.13529411764706,4.487048192771084,9.20933734939759,0.680421686746988,0.0
llama,llama,distribute,pp512,512,0,10,2026-08-30T06:19:45Z,8667327286,59.07907,0.659072,2026-08-30 08:18:52.653454280,2026-08-30 08:21:46.000000000,174,46.201149425287355,54.132183908045974,45.53448275862069,54.6551724137931,52.58045977011494,0.36660919540229886,13005.707068965516,3058.22908045977,3617.9280459770116,3184.5230459770114,3145.026149425287,0.9833333333333335,0.13540229885057473,0.8452984806760865,0.582471264367816,11.67183908045977,4.886436781609196,0.00034655172413793105,20.387229705459767,53.24117917115661,19.06226053639847,6.987547892720308,46.79007852014089,27.35592304913295,19.43415620484104,4.45112496613078,14.909888344472543,3.8984081466763003,4.096500575776734,5.01846002303107,5.470902219562861,4.409069048049132,4.535724970646676,7.921715025267849,1.8778997652792517,3.810302624123634,1.1051186357619445,1.129185274157221,28.493564848265898,7.575483200867052,12.165891437861271,3.9145366690751446,4.838127709537572,8.673529411764706,3.104705882352941,6.170588235294118,1.432941176470588,0.0
llama,llama,distribute,tg128,0,128,10,2026-08-30T06:21:46Z,25573548019,5.005183,0.008021,2026-08-30 08:18:03.529039620,2026-08-30 08:26:35.000000000,511,35.56947162426614,40.13894324853229,35.45009784735812,41.3091976516634,39.37377690802348,0.22309197651663404,7356.145538160469,1846.432661448141,2027.58771037182,1767.476614481409,1714.6483953033269,0.9756360078277887,0.1363013698630137,0.8456592957889323,0.644990215264188,7.8153816046966735,2.7342270058708418,0.00038864970645792566,26.08700709393346,67.8305700181935,24.42286366601435,9.047945205479452,45.162090283298674,36.07384757980675,9.088242990154107,9.688424428204502,12.986677489756605,5.77496936536815,7.62377606714775,1.864323190588307,2.317362268376957,1.548741820572407,3.357815672394814,7.9614228847675355,2.2041162837974713,3.152821527768488,1.3014862448735247,1.3032752333788489,28.617852556262232,7.9754999388454015,10.96907870596869,4.414154231898239,5.259349009295499,24.37995991983968,4.437675350701403,11.081563126252506,0.703006012024048,0.0
