label,dataset,streams,tag,run_id,elapsed_s,start_time,end_time,phase,samples,local_pct,local_pct_skt0,local_pct_skt1,local_pct_skt2,local_pct_skt3,ipc,inst,inst_skt0,inst_skt1,inst_skt2,inst_skt3,afreq,freq,cpu_balance,l3hit,l2miss,l3miss,l3mpi,upi_in_gb,upi_out_gb,upi_out_pct,upi_in_pct,mem_bw_gb,mem_read_gb,mem_write_gb,mem_read_gb_skt0,mem_read_gb_skt1,mem_read_gb_skt2,mem_read_gb_skt3,mem_write_gb_skt0,mem_write_gb_skt1,mem_write_gb_skt2,mem_write_gb_skt3,data_mem_gb,data_mem_gb_node0,data_mem_gb_node1,data_mem_gb_node2,data_mem_gb_node3,pagetable_mb,pagetable_mb_node0,pagetable_mb_node1,pagetable_mb_node2,pagetable_mb_node3,warmup_s,sf
duckdb,clickbench_s16_firsttouch,16,firsttouch,1,1452.0577,2026-08-27T15:41:38.231290,2026-08-27T15:43:28.560618,cold,111,78.23423423423424,79.1891891891892,78.78378378378379,76.12612612612612,77.6036036036036,1.0906306306306306,215076.24702702707,54432.47072072072,53479.41423423424,53763.62441441441,53400.737297297295,0.9972972972972973,0.7630630630630633,0.9810456257126929,0.5066666666666667,372.4378378378379,204.61621621621623,0.0011171171171171172,16.111982069960586,52.47966691300676,18.764264264264266,5.416666666666667,96.01529687499999,54.59843980823864,41.416857599431836,13.726168678977272,13.514847833806817,14.136377485795455,13.221045720880685,10.430649414062502,10.199436168323862,10.622200106534088,10.164570845170452,31.539431762695312,7.5773052562366825,7.7789386055686265,7.995581574873491,8.189069227738813,122.63323863636364,29.855113636363637,28.34541903409091,34.390376420454544,30.043039772727273,0.0,
duckdb,clickbench_s16_firsttouch,16,firsttouch,2,1073.6678,2026-08-27T15:43:28.565191,2026-08-27T15:44:58.929243,warm,90,82.56666666666666,84.4888888888889,81.91111111111111,81.0111111111111,82.73333333333333,0.9985555555555556,264130.4170000001,66555.37666666668,65853.99211111112,66169.47855555556,65551.57022222223,1.0,0.983,0.9849177257387953,0.46199999999999997,476.6642222222221,264.6148888888889,0.0012477777777777778,18.324161024305553,59.67163172743056,21.391666666666666,6.216666666666668,117.91525519402474,67.92176682692308,49.99348933293269,16.530940826751372,17.046987572973897,17.483170501373625,16.860668033138737,12.034241929945056,12.672099180116756,12.72462879893544,12.56251920930632,33.461481241079476,7.744509854159512,8.527464185442243,8.962872809106177,8.227001274025048,147.73343063186815,34.364268543956044,34.03030563186813,41.51309237637363,37.81962568681319,0.0,
duckdb,clickbench_s16_firsttouch,16,firsttouch,3,1043.0831,2026-08-27T15:44:58.932768,2026-08-27T15:46:28.886433,warm,90,83.05555555555556,84.45555555555555,82.63333333333334,81.87777777777778,83.13333333333334,1.0003333333333333,264833.6786666667,66433.41055555554,66053.67944444445,66913.66655555555,65432.921777777774,1.0,0.983,0.9778708169197636,0.4562222222222222,477.87322222222224,266.03622222222225,0.0012355555555555555,17.924835286458332,58.66791015625001,21.03796296296296,6.0703703703703695,119.24933604600695,68.95626649305555,50.29306966145833,17.058994574652782,17.228787977430557,17.44963997395833,17.218844618055552,12.33223383246528,12.660262261284725,12.563854383680557,12.736719618055556,32.46081311515208,7.541169455881869,8.201044832722523,8.177420069662372,8.540870966536275,146.78283005617976,33.699789325842694,34.40111481741573,41.083084620786515,37.59796348314607,0.0,
duckdb,clickbench_s16_firsttouch,16,firsttouch,4,1006.3673,2026-08-27T15:46:28.895049,2026-08-27T15:47:57.870904,warm,89,83.02247191011236,84.46067415730337,82.51685393258427,81.93258426966293,82.67415730337079,1.0051685393258427,267656.016741573,67221.93348314607,66239.05640449437,67389.44292134831,66805.58382022473,1.0,0.9907865168539327,0.982929276946293,0.4588764044943819,482.6521348314606,266.6798876404494,0.0012033707865168539,18.076433352352527,59.090763693820236,21.19194756554307,6.126404494382022,119.94294493943119,69.31269399578652,50.63025127282303,17.031304094978935,17.454841665203652,17.818983606917136,17.007563421699437,12.350362644838482,12.84843684164326,12.84264582601826,12.588805850596911,31.399266960915554,7.516197076004542,7.9413138400302845,8.088711599285684,7.853773824284586,146.38399754213484,33.51913623595506,34.18697331460674,40.63193469101124,38.03945751404494,0.0,
duckdb,clickbench_s16_firsttouch,16,firsttouch,5,1036.5258,2026-08-27T15:47:57.875459,2026-08-27T15:49:27.880978,warm,90,83.13333333333334,84.37777777777778,83.18888888888888,82.22222222222223,82.4,0.9996666666666667,265012.1528888889,66637.76088888888,65918.15444444444,66643.94,65812.29877777777,1.0,0.9853333333333333,0.987521127619072,0.4580000000000001,482.17166666666674,266.5497777777778,0.001216666666666667,17.891804253472223,58.5317158203125,20.97037037037037,6.0740740740740735,119.02025130208335,68.77676963975695,50.24348090277778,16.877727105034726,17.12799674479167,17.674116210937502,17.096930230034722,12.245011176215275,12.599731662326386,12.75587717013889,12.642861219618053,32.38430438571506,7.671919165717231,8.368635982937283,8.231208843655057,8.112279425726996,151.8176215277778,34.626475694444444,35.94279513888889,42.08259548611111,39.16653645833333,0.0,
duckdb,clickbench_s16_firsttouch,16,firsttouch,6,1041.4308,2026-08-27T15:49:27.884037,2026-08-27T15:50:57.903022,warm,90,82.82222222222222,84.7,82.12222222222222,81.5,82.54444444444445,1.000888888888889,264873.5827777778,66355.95766666667,65866.30777777778,66685.14388888888,65966.17300000001,1.0,0.9833333333333335,0.9877208615988675,0.45711111111111113,479.1496666666666,264.84311111111106,0.0012155555555555557,18.18175151909722,59.29494748263889,21.260185185185186,6.171296296296297,119.21168326822917,68.81972298177084,50.39195996093749,17.03847504340278,17.143523546006946,17.59516818576389,17.04255642361111,12.360709635416669,12.655476019965274,12.712314670138891,12.663459635416668,32.0637494828966,7.46356675889757,8.13385370042589,8.322893057929145,8.14477678934733,151.74157986111112,34.55160590277778,36.112630208333336,41.42478298611111,39.654079861111114,0.0,
duckdb,clickbench_s16_firsttouch,16,firsttouch,7,1096.8968,2026-08-27T15:50:57.907125,2026-08-27T15:52:27.613281,warm,89,82.86516853932584,84.92134831460675,81.68539325842697,81.64044943820225,82.74157303370787,1.0049438202247192,266444.58550561796,66637.06966292133,66477.26505617978,66915.33853932584,66414.91146067416,1.0,0.9857303370786519,0.992521489249321,0.4571910112359551,479.2347191011236,264.7868539325843,0.0012179775280898877,18.134633734199436,59.10307672050562,21.1938202247191,6.1367041198501875,119.07847425825139,68.78143258426967,50.29704145452949,17.29075864641854,17.05445071102528,17.585516700316013,16.850704990344102,12.546458589360952,12.576258010007024,12.690607443820225,12.483717959971909,32.180803534689915,7.765707123145629,8.18283333939113,8.254165477966994,7.97712754667475,153.59813904494382,35.20097436797753,36.42665905898876,41.899139747191015,40.070883075842694,0.0,
duckdb,clickbench_s16_firsttouch,16,firsttouch,8,1047.4055,2026-08-27T15:52:27.616383,2026-08-27T15:53:57.153445,warm,90,83.07777777777778,84.27777777777777,82.05555555555556,82.44444444444444,83.18888888888888,0.9986666666666666,265575.07166666666,66902.04233333335,65987.69877777777,66514.85088888889,66170.48077777779,1.0,0.9896666666666667,0.9863330995038994,0.4598888888888889,485.88655555555556,266.0305555555555,0.0012200000000000002,18.082048285590275,59.00421115451388,21.162037037037035,6.141666666666668,119.42965212673612,68.97543869357638,50.45421321614583,16.9493056640625,17.336477647569446,17.68121343315972,17.008441297743055,12.318071940104167,12.749206705729165,12.764655598958333,12.622279405381944,32.43424113412921,7.747874570696541,8.167498899309823,8.3764570429084,8.14283885312884,154.25131671348313,35.74389922752809,35.785814606741575,42.003730688202246,40.71624824438202,0.0,
duckdb,clickbench_s16_firsttouch,16,firsttouch,9,1078.9517,2026-08-27T15:53:57.160497,2026-08-27T15:55:27.196221,warm,90,82.72222222222223,84.12222222222222,81.57777777777778,82.87777777777778,82.23333333333333,0.9978888888888887,264871.3595555555,66848.51988888888,66235.60866666665,66206.43555555555,65580.7958888889,1.0,0.9858888888888888,0.9810358703213308,0.46255555555555566,483.8403333333334,267.6664444444445,0.001228888888888889,18.312019422743056,58.91577810329861,21.110185185185184,6.216666666666668,119.41514474826388,68.97450282118056,50.44064171006944,16.750043511284723,17.057685329861112,17.857164279513892,17.309609375000004,12.169199869791667,12.599549696180558,12.803990234375,12.867903211805555,33.21416575113932,7.724645868937174,8.366715918646918,8.82223417494032,8.29972152709961,157.955078125,36.437977430555556,36.81892361111111,42.85859375,41.83732638888889,0.0,
duckdb,clickbench_s16_firsttouch,16,firsttouch,10,1060.1158,2026-08-27T15:55:27.199687,2026-08-27T15:56:56.554485,warm,89,82.92134831460675,83.76404494382022,82.6067415730337,81.84269662921348,83.30337078651685,1.003932584269663,267217.68674157304,67029.75775280899,66683.02449438203,67224.85808988765,66280.04516853933,1.0,0.99,0.9859454828437869,0.45898876404494376,487.12808988764056,267.89022471910107,0.0012033707865168539,18.175276619557586,59.218610977001404,21.221910112359552,6.160112359550561,120.32442635182584,69.47270046962781,50.851726211376416,17.21100553019663,17.093666608146066,17.853772274403088,17.314255727703653,12.581610230863763,12.54398404582163,12.910323362886237,12.815807693995787,31.947440886765385,7.777912654233782,8.059075516261412,8.144398164213374,7.965376050284739,153.66801264044943,35.7860779494382,35.6670470505618,41.39097612359551,40.815308988764045,0.0,
