label,dataset,runner_name,tag,run_id,recall,total_time,qps,start_time,end_time,warmup,samples,local_pct,local_pct_skt0,local_pct_skt1,local_pct_skt2,local_pct_skt3,ipc,inst,inst_skt0,inst_skt1,inst_skt2,inst_skt3,afreq,freq,cpu_balance,l3hit,l2miss,l3miss,l3mpi,upi_in_gb,upi_out_gb,upi_out_pct,upi_in_pct,mem_bw_gb,mem_read_gb,mem_write_gb,mem_read_gb_skt0,mem_read_gb_skt1,mem_read_gb_skt2,mem_read_gb_skt3,mem_write_gb_skt0,mem_write_gb_skt1,mem_write_gb_skt2,mem_write_gb_skt3,data_mem_gb,data_mem_gb_node0,data_mem_gb_node1,data_mem_gb_node2,data_mem_gb_node3,pagetable_mb,pagetable_mb_node0,pagetable_mb_node1,pagetable_mb_node2,pagetable_mb_node3,tma_l3_bound,tma_dram_bound,tma_l1_bound,tma_store_bound,warmup_s
locality,gist-960-euclidean,usearch,firsttouch,17,0.97813,0.5993751959999827,1668.4040425323656,2026-09-04T20:32:20.731832,2026-09-04T20:32:21.331243,True,1,25.0,25.0,25.0,25.0,26.0,0.39,12178.43,2971.98,3030.28,2973.97,3202.2,1.0,0.12,0.9281056773468241,0.1,22.26,19.76,0.0016,102.340537109375,167.650068359375,60.833333333333336,37.083333333333336,131.40693359375,120.636455078125,10.77048828125,24.7978125,32.0357421875,28.1753515625,35.6275390625,2.343154296875,2.627080078125,2.53251953125,3.267724609375,2.560443878173828,0.459320068359375,0.5199356079101562,0.5279922485351562,1.0531959533691406,15.34765625,5.08203125,1.56640625,2.3671875,6.33203125,6.8,33.1,2.0,0.2,0.0
locality,gist-960-euclidean,usearch,firsttouch,19,0.97813,0.6020108230000005,1661.0997041825594,2026-09-04T20:32:22.026562,2026-09-04T20:32:22.628612,True,1,25.0,26.0,25.0,25.0,25.0,0.41,10845.5,2777.24,2741.23,2640.93,2686.1,1.0,0.1,0.9509188978986332,0.1,19.82,17.43,0.0016,89.58462890625,148.38447265625,53.833333333333336,32.25,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
locality,gist-960-euclidean,usearch,firsttouch,20,0.97813,0.5887199410000221,1698.600523538173,2026-09-04T20:32:22.674627,2026-09-04T20:32:23.263386,True,1,25.0,25.0,25.0,26.0,25.0,0.4,12407.88,3026.61,3152.62,3073.82,3154.84,1.0,0.12,0.9593545156014252,0.1,22.61,20.05,0.0016,101.599931640625,166.730654296875,60.583333333333336,36.75,134.843837890625,124.0086328125,10.835205078125,25.43396484375,32.88978515625,28.9387890625,36.746083984375,2.2879296875,2.71701171875,2.508720703125,3.32154296875,2.560504913330078,0.4592247009277344,0.5203056335449219,0.5278816223144531,1.0530929565429688,15.375,4.6015625,2.07421875,2.3671875,6.33203125,6.7,33.0,2.0,0.2,0.0
locality,gist-960-euclidean,usearch,firsttouch,22,0.97813,0.6051528140000073,1652.4751713374465,2026-09-04T20:32:23.956533,2026-09-04T20:32:24.561722,True,1,25.0,25.0,25.0,25.0,24.0,0.4,11081.4,2753.94,2846.19,2741.74,2739.53,1.0,0.1,0.9625253408943184,0.11,20.27,17.79,0.0016,91.905302734375,151.6095703125,55.0,33.25,,,,,,,,,,,,,,,,,,,,,,8.1,32.9,2.0,0.2,0.0
locality,gist-960-euclidean,usearch,firsttouch,23,0.97813,0.586372525999991,1705.4005016599556,2026-09-04T20:32:24.607353,2026-09-04T20:32:25.193764,True,1,25.0,26.0,25.0,25.0,25.0,0.4,11376.33,2903.58,2856.46,2795.76,2820.53,1.0,0.11,0.9628665302833055,0.1,20.69,18.33,0.0016,96.222490234375,158.707001953125,57.916666666666664,34.833333333333336,145.336044921875,133.691845703125,11.64419921875,27.45705078125,35.508232421875,31.15796875,39.568603515625,2.46201171875,2.89916015625,2.71986328125,3.563154296875,2.5605735778808594,0.45923614501953125,0.52032470703125,0.5279045104980469,1.0531082153320312,15.3984375,4.6015625,2.09765625,2.3671875,6.33203125,7.3,32.9,2.0,0.2,0.0
locality,gist-960-euclidean,usearch,firsttouch,25,0.97813,0.597288396999943,1674.2330924605178,2026-09-04T20:32:25.884846,2026-09-04T20:32:26.482171,True,1,25.0,24.0,25.0,25.0,26.0,0.39,11880.14,2884.66,2986.21,2885.44,3123.84,1.0,0.11,0.9234339786928907,0.1,21.71,19.23,0.0016,97.557646484375,159.63056640625,57.666666666666664,35.0,133.87103515625,123.318623046875,10.552421875,25.350654296875,32.77705078125,28.755234375,36.435673828125,2.256650390625,2.639033203125,2.45625,3.200478515625,,,,,,,,,,,6.9,33.1,2.0,0.2,0.0
locality,gist-960-euclidean,usearch,firsttouch,27,0.97813,0.6005933170000617,1665.020192024377,2026-09-04T20:32:27.169511,2026-09-04T20:32:27.770145,True,1,25.0,26.0,25.0,26.0,24.0,0.4,10856.79,2643.9,2830.43,2769.12,2613.34,1.0,0.1,0.9233014065000725,0.1,19.74,17.4,0.0016,91.018984375,150.63451171875,54.666666666666664,32.75,,,,,,,,,,,,,,,,,,,,,,7.6,33.0,2.0,0.2,0.0
locality,gist-960-euclidean,usearch,firsttouch,28,0.97813,0.5945667510000021,1681.896941458801,2026-09-04T20:32:27.816020,2026-09-04T20:32:28.410622,True,1,25.0,25.0,25.0,25.0,26.0,0.39,12433.34,2993.6,3141.07,3024.11,3274.56,1.0,0.12,0.9141991595817454,0.1,22.66,20.1,0.0016,102.345908203125,167.2338671875,60.916666666666664,37.166666666666664,131.88943359375,121.6427734375,10.24666015625,24.976435546875,32.357294921875,28.34970703125,35.95935546875,2.131767578125,2.586796875,2.3823828125,3.145712890625,2.5604286193847656,0.45935821533203125,0.5199165344238281,0.5279769897460938,1.0531768798828125,15.4296875,4.6015625,2.12890625,2.3671875,6.33203125,6.9,33.0,2.0,0.2,0.0
locality,gist-960-euclidean,usearch,firsttouch,30,0.97813,0.6053669870000249,1651.8905415632764,2026-09-04T20:32:29.098763,2026-09-04T20:32:29.704165,True,1,25.0,26.0,25.0,26.0,24.0,0.41,10873.97,2700.0,2774.92,2697.15,2701.9,1.0,0.1,0.9719739668170614,0.1,19.85,17.47,0.0016,90.78814453125,149.938271484375,54.25,32.75,,,,,,,,,,,,,,,,,,,,,,7.7,33.0,2.0,0.2,0.0
locality,gist-960-euclidean,usearch,firsttouch,31,0.97813,0.5885954610000681,1698.9597546350842,2026-09-04T20:32:29.749677,2026-09-04T20:32:30.338315,True,1,25.0,25.0,25.0,24.0,26.0,0.39,12162.2,2960.84,3063.99,2976.57,3160.81,1.0,0.12,0.9367345712016857,0.1,22.15,19.66,0.0016,102.374287109375,167.25330078125,60.75,37.083333333333336,131.391767578125,121.069736328125,10.322041015625,24.92603515625,32.167861328125,28.201767578125,35.774072265625,2.188818359375,2.571201171875,2.429150390625,3.13287109375,2.5605087280273438,0.45938873291015625,0.519927978515625,0.5279922485351562,1.0531997680664062,15.453125,4.6015625,2.15234375,2.3671875,6.33203125,,,,,0.0
