label,dataset,ops_sec,mb_sec,lsm_sz,blob_sz,c_wgb,w_amp,c_mbps,c_wsecs,c_csecs,b_rgb,b_wgb,usec_op,p50,p99,p99.9,p99.99,pmax,uptime,stall%,u_cpu,s_cpu,rss,test,date,version,githash,tag,nb_runs,start_time,end_time,samples,local_pct,local_pct_skt0,local_pct_skt1,local_pct_skt2,local_pct_skt3,ipc,inst,inst_skt0,inst_skt1,inst_skt2,inst_skt3,afreq,freq,cpu_balance,l3hit,l2miss,l3miss,l3mpi,upi_in_gb,upi_out_gb,upi_out_pct,upi_in_pct,mem_bw_gb,mem_read_gb,mem_write_gb,mem_read_gb_skt0,mem_read_gb_skt1,mem_read_gb_skt2,mem_read_gb_skt3,mem_write_gb_skt0,mem_write_gb_skt1,mem_write_gb_skt2,mem_write_gb_skt3,data_mem_gb,data_mem_gb_node0,data_mem_gb_node1,data_mem_gb_node2,data_mem_gb_node3,pagetable_mb,pagetable_mb_node0,pagetable_mb_node1,pagetable_mb_node2,pagetable_mb_node3,tma_l3_bound,tma_dram_bound,tma_l1_bound,tma_store_bound,warmup_s
rocksdb,results,701809,56220.7,8GB,0GB,0.0,,0.0,0,0,0,0,239.9,205.0,249,28461,48411,131521,120,0.0,11.6,0.1,8.1,fwdrange,2026-08-19T21:28:07,10.5.0,11a259a5f0,default-fwdrange,2,2026-08-19T21:28:07.476514,2026-08-19T21:30:09.780500,38,25.0,25.0,25.0,25.0,25.0,0.9655263157894737,257982.45263157898,64791.522894736845,63836.942631578946,64479.100263157896,64874.88657894739,1.0,0.996842105263158,0.9840008360383743,0.4126315789473684,70.01894736842105,36.44684210526316,9.999999999999998e-05,58.175387027138164,117.14387746710527,42.52412280701754,20.888157894736846,84.39138012035473,76.34745169974663,8.043928156672298,21.599090213260137,11.587254275760134,20.545997941300676,22.61511111697635,1.3151541385135133,0.8596872360641893,1.2157796663851352,4.653307643581081,8.433753451785526,2.6968158000224345,1.3354408676559861,2.397882719297667,2.0036140648094385,27.84744510135135,6.401499155405405,2.4808910472972974,4.382495777027027,14.582559121621621,,,,,75
rocksdb,results,700071,56081.6,8GB,0GB,0.0,,0.0,0,0,0,0,240.5,205.7,249,28512,48417,133864,120,0.0,11.6,0.1,8.1,fwdrange,2026-08-19T21:30:11,10.5.0,11a259a5f0,default-fwdrange,3,2026-08-19T21:30:11.540472,2026-08-19T21:32:13.855707,38,25.0,25.0,25.0,25.0,25.0,0.9607894736842106,257487.8255263158,64853.64131578948,63622.42605263158,64106.75789473684,64905.00289473684,1.0,0.9984210526315791,0.9802391682473945,0.43,72.7226315789474,36.717631578947376,9.999999999999998e-05,58.36396664268094,115.8857211143092,42.006578947368425,20.958333333333332,84.4099540751689,76.27642446157094,8.133529349662162,23.068864548141892,11.214668760557434,17.529369193412162,24.46352169552365,1.3731759396114864,0.7565094489020271,1.1945639780405408,4.809280247043919,8.433942594026263,2.8386457342850533,1.3372061880011308,2.060902244166324,2.197188427573756,27.88024259868421,7.901110197368421,1.5517064144736843,2.0950863486842106,16.332339638157894,,,,,75
rocksdb,results,699208,56012.4,8GB,0GB,0.0,,0.0,0,0,0,0,241.0,206.0,249,28590,48416,135728,120,0.0,11.6,0.1,8.1,fwdrange,2026-08-19T21:32:15,10.5.0,11a259a5f0,default-fwdrange,4,2026-08-19T21:32:15.607045,2026-08-19T21:34:17.934009,38,25.0,25.0,25.0,25.0,25.0,0.9605263157894737,257039.53210526318,64769.68552631577,64358.27684210526,64017.70973684209,63893.86105263158,1.0,0.9986842105263158,0.986477864350162,0.42,73.31789473684208,37.475789473684216,9.999999999999998e-05,58.549615028782895,116.5193914473684,42.23026315789474,20.95394736842105,85.19892129434122,76.68819969383445,8.510721864442568,23.37456767314189,22.400840107685813,16.02121859163852,14.891573321368242,1.3880307749155405,5.147507126266891,1.0827219700168917,0.8924625211148648,8.433919958166173,2.914122401057063,1.7841034966546137,1.8622927279085726,1.873401332545925,27.882706925675677,8.305532094594595,10.662901182432432,1.28515625,7.629117398648648,,,,,75
rocksdb,results,511623,40985.2,8GB,0GB,0.0,,0.0,0,0,0,0,327.7,243.1,378,35710,48946,127014,120,0.0,11.7,0.1,8.1,revrange,2026-08-19T21:35:45,10.5.0,11a259a5f0,default-revrange,0,2026-08-19T21:35:44.828377,2026-08-19T21:37:47.239365,38,25.0,25.0,25.13157894736842,25.0,25.026315789473685,0.987894736842105,264200.01710526313,66449.36052631578,66088.70210526316,65918.79605263157,65743.15894736843,1.0,0.9986842105263158,0.9893723344611017,0.5278947368421053,57.88026315789473,23.915263157894735,9.999999999999998e-05,43.859059673108554,96.73369680304276,34.989035087719294,15.631578947368423,65.73175035978616,57.16588892886513,8.565860916940792,17.65592413651316,15.729655633223684,13.562424958881579,10.217883429276313,1.5974213610197368,4.7439509662828945,1.1806874486019736,1.0438019120065791,8.435208501042547,2.977351626834354,1.5460415401974241,2.1973925410090267,1.714422793001742,27.925675675675677,11.28441722972973,7.6004011824324325,3.008129222972973,6.03272804054054,,,,,75
rocksdb,results,517034,41418.7,8GB,0GB,0.0,,0.0,0,0,0,0,324.8,232.0,378,35619,48972,142079,120,0.0,11.7,0.1,8.1,revrange,2026-08-19T21:37:49,10.5.0,11a259a5f0,default-revrange,1,2026-08-19T21:37:49.026674,2026-08-19T21:39:51.416945,38,25.0,25.0,25.05263157894737,25.0,25.0,0.9923684210526318,266966.6055263158,67033.43026315789,66436.32289473683,66588.76263157895,66908.09,1.0,0.9994736842105264,0.9910923942564636,0.43999999999999995,47.28157894736843,23.258421052631586,9.999999999999998e-05,43.03280350534539,94.67576788651314,34.22149122807018,15.217105263157896,64.2761515727796,56.52347450657894,7.752676552220397,17.496094263980268,9.08160310444079,13.574436420641447,16.371339432565794,1.6147401829769734,0.9377066200657895,1.2446792763157897,3.9555504728618422,8.43515478598105,2.9343285431733004,1.4525437226166595,2.174219389219542,1.8740631309715476,27.885663006756758,5.716110641891892,3.930637668918919,5.578547297297297,12.66036739864865,,,,,75
rocksdb,results,504503,40414.9,8GB,0GB,0.0,,0.0,0,0,0,0,332.8,269.6,379,35996,49029,151817,120,0.0,11.7,0.1,8.1,revrange,2026-08-19T21:39:53,10.5.0,11a259a5f0,default-revrange,2,2026-08-19T21:39:53.187646,2026-08-19T21:41:55.553181,37,25.0,25.0,25.0,25.0,25.18918918918919,0.97027027027027,260374.47297297296,65954.39783783784,64814.98324324324,64861.68837837837,64743.40378378378,1.0,0.9997297297297297,0.9816389188021771,0.44999999999999996,47.43837837837839,22.95189189189189,9.999999999999998e-05,42.13401763091217,91.92840107685811,33.22297297297297,14.867117117117118,62.538095439189185,54.994230363175674,7.543865603885135,22.89168549408784,9.78685203758446,12.373317145270269,9.942375422297298,4.334596178209459,1.008898331925676,1.1552298880912162,1.0451409417229731,8.433183412294131,3.119050928064295,1.6089238347233954,2.010891579292916,1.6943170702135242,27.87690033783784,15.683488175675675,3.9927153716216215,2.924831081081081,5.27586570945946,,,,,75
rocksdb,results,513061,41100.6,8GB,0GB,0.0,,0.0,0,0,0,0,327.4,241.4,378,35701,48996,147905,120,0.0,11.6,0.1,8.1,revrange,2026-08-19T21:41:57,10.5.0,11a259a5f0,default-revrange,3,2026-08-19T21:41:57.328403,2026-08-19T21:43:59.683092,37,25.0,25.0,25.0,25.0,25.0,0.9900000000000002,264779.6116216216,66543.16189189188,65813.3591891892,66587.77432432432,65835.31486486486,1.0,0.9994594594594596,0.988370010215941,0.44999999999999996,51.28891891891892,24.83810810810811,9.999999999999998e-05,42.859827385979735,94.32326488597974,34.12162162162162,15.256756756756756,63.505521273226364,56.00378589527027,7.5017340582770276,16.395063080658787,9.043557326858108,20.438466796875,10.126697107263515,1.5245370565878382,0.9606139146959457,4.002072687922297,1.01451171875,8.433227126662796,2.7916211308659733,1.4120540103396855,2.5337382136164486,1.6958137718406883,27.862964527027028,6.667863175675675,4.096706081081081,11.667863175675675,5.430532094594595,,,,,75
rocksdb,results,515523,41297.7,8GB,0GB,0.0,,0.0,0,0,0,0,325.9,235.5,378,35684,49039,134280,120,0.0,11.7,0.1,8.1,revrange,2026-08-19T21:44:01,10.5.0,11a259a5f0,default-revrange,4,2026-08-19T21:44:01.463611,2026-08-19T21:46:03.849049,37,25.0,25.0,25.0,25.0,25.0,0.9900000000000002,265898.66702702706,66686.01675675674,66172.16189189188,66318.31567567568,66722.17486486488,1.0,0.9994594594594596,0.991756668992176,0.4443243243243243,47.86432432432432,23.4045945945946,9.999999999999998e-05,43.247236064189195,94.30446104307433,34.11711711711711,15.367117117117118,63.73212494721285,56.28785525760136,7.444269689611488,15.73192066089527,10.027446157094595,12.984268105996623,17.54421901393581,1.4216775760135134,0.9563780088682432,1.3056083720439187,3.7606059966216216,8.433219809281198,2.653589449430767,1.6164874026649876,2.0264046317652653,2.136738325420179,27.84683388157895,5.037006578947368,4.53515625,2.41015625,15.864514802631579,,,,,75
rocksdb,results,10158164,2575.6,8GB,0GB,0.0,0.0,0.0,0,0,0,0,19.6,12.2,28,3111,9752,44640,120,0.0,9.6,0.2,8.2,readwhilewriting,2026-08-19T21:47:38,10.5.0,11a259a5f0,default-readwhilewriting,0,2026-08-19T21:47:38.021060,2026-08-19T21:49:40.242845,37,25.0,25.972972972972972,25.0,25.0,25.0,0.5562162162162164,148713.47432432434,38132.08864864864,36752.50945945947,36976.17297297297,36852.70378378379,1.0,0.9981081081081081,0.9638210431665389,0.7710810810810812,327.60891891891896,73.18891891891893,0.0004945945945945947,55.11507495777027,118.62581767314191,43.015765765765764,19.731981981981985,86.81165830869931,74.00384897592905,12.807810124577705,30.53487911739865,12.401738017314191,17.575238597972973,13.491993243243243,5.84614574535473,1.9669309543918923,2.782379909206081,2.2123543074324323,8.47629165649414,3.0809276683910474,1.582094244054846,2.138324737548828,1.6749452126992714,27.99366554054054,21.2378589527027,1.3036317567567568,1.2294130067567568,4.222761824324325,,,,,75
rocksdb,results,10294295,2610.4,8GB,0GB,0.0,0.0,0.0,0,0,0,0,19.3,12.0,26,3003,9693,45477,120,0.0,9.6,0.2,8.2,readwhilewriting,2026-08-19T21:51:09,10.5.0,11a259a5f0,default-readwhilewriting,1,2026-08-19T21:51:08.865867,2026-08-19T21:53:11.131894,37,25.0,25.0,25.0,25.0,25.0,0.5697297297297297,152118.45108108106,38431.39891891891,37668.961621621616,37973.40243243242,38044.68756756757,1.0,0.9986486486486488,0.9801610839380098,0.7713513513513516,336.12972972972966,74.94702702702702,0.0004972972972972974,56.017850506756766,120.4326388302365,43.71846846846847,20.036036036036034,88.196708984375,75.32778293918916,12.868925781249999,21.166806112753378,14.167135504645268,17.541282200168922,22.45255648226351,3.244217430320946,2.3019298986486487,2.791035420185811,4.531743296030404,8.478396544585356,2.82903867154508,1.6155973898397908,2.042037757667335,1.9917227255331504,28.060177364864863,7.066934121621622,1.5714738175675675,1.7197001689189189,17.702069256756758,,,,,75
