round,elapsed_ms,tag
0,0.006709,pgtable_sync_repl_2n
1,0.006241,pgtable_sync_repl_2n
2,0.006397,pgtable_sync_repl_2n
3,0.006118,pgtable_sync_repl_2n
4,0.006849,pgtable_sync_repl_2n
5,0.005924,pgtable_sync_repl_2n
6,0.006601,pgtable_sync_repl_2n
7,0.005737,pgtable_sync_repl_2n
8,0.006911,pgtable_sync_repl_2n
9,0.005671,pgtable_sync_repl_2n
10,0.006805,pgtable_sync_repl_2n
11,0.006838,pgtable_sync_repl_2n
12,0.006543,pgtable_sync_repl_2n
13,0.005725,pgtable_sync_repl_2n
14,0.005720,pgtable_sync_repl_2n
15,0.006834,pgtable_sync_repl_2n
16,0.006354,pgtable_sync_repl_2n
17,0.006594,pgtable_sync_repl_2n
18,0.006840,pgtable_sync_repl_2n
19,0.006848,pgtable_sync_repl_2n
0,0.004097,pgtable_sync_norepl_2n
1,0.004071,pgtable_sync_norepl_2n
2,0.004050,pgtable_sync_norepl_2n
3,0.004072,pgtable_sync_norepl_2n
4,0.004090,pgtable_sync_norepl_2n
5,0.004067,pgtable_sync_norepl_2n
6,0.004061,pgtable_sync_norepl_2n
7,0.004069,pgtable_sync_norepl_2n
8,0.004084,pgtable_sync_norepl_2n
9,0.004182,pgtable_sync_norepl_2n
10,0.004025,pgtable_sync_norepl_2n
11,0.004031,pgtable_sync_norepl_2n
12,0.004064,pgtable_sync_norepl_2n
13,0.004030,pgtable_sync_norepl_2n
14,0.004165,pgtable_sync_norepl_2n
15,0.004038,pgtable_sync_norepl_2n
16,0.004048,pgtable_sync_norepl_2n
17,0.004040,pgtable_sync_norepl_2n
18,0.004103,pgtable_sync_norepl_2n
19,0.004059,pgtable_sync_norepl_2n
