round,elapsed_ms,tag
0,0.007709,pgtable_sync_repl_3n
1,0.008237,pgtable_sync_repl_3n
2,0.008224,pgtable_sync_repl_3n
3,0.008572,pgtable_sync_repl_3n
4,0.008443,pgtable_sync_repl_3n
5,0.007503,pgtable_sync_repl_3n
6,0.007860,pgtable_sync_repl_3n
7,0.008127,pgtable_sync_repl_3n
8,0.007408,pgtable_sync_repl_3n
9,0.008107,pgtable_sync_repl_3n
10,0.008517,pgtable_sync_repl_3n
11,0.008339,pgtable_sync_repl_3n
12,0.006352,pgtable_sync_repl_3n
13,0.006972,pgtable_sync_repl_3n
14,0.008068,pgtable_sync_repl_3n
15,0.008302,pgtable_sync_repl_3n
16,0.008486,pgtable_sync_repl_3n
17,0.008248,pgtable_sync_repl_3n
18,0.008358,pgtable_sync_repl_3n
19,0.008424,pgtable_sync_repl_3n
0,0.004102,pgtable_sync_norepl_3n
1,0.004042,pgtable_sync_norepl_3n
2,0.004040,pgtable_sync_norepl_3n
3,0.004045,pgtable_sync_norepl_3n
4,0.004053,pgtable_sync_norepl_3n
5,0.004048,pgtable_sync_norepl_3n
6,0.004070,pgtable_sync_norepl_3n
7,0.004043,pgtable_sync_norepl_3n
8,0.004036,pgtable_sync_norepl_3n
9,0.004054,pgtable_sync_norepl_3n
10,0.004058,pgtable_sync_norepl_3n
11,0.004198,pgtable_sync_norepl_3n
12,0.004034,pgtable_sync_norepl_3n
13,0.004076,pgtable_sync_norepl_3n
14,0.004067,pgtable_sync_norepl_3n
15,0.004083,pgtable_sync_norepl_3n
16,0.004043,pgtable_sync_norepl_3n
17,0.004022,pgtable_sync_norepl_3n
18,0.004023,pgtable_sync_norepl_3n
19,0.004024,pgtable_sync_norepl_3n
