round,elapsed_ms,tag
0,0.009345,pgtable_sync_repl
1,0.008053,pgtable_sync_repl
2,0.008885,pgtable_sync_repl
3,0.008324,pgtable_sync_repl
4,0.009382,pgtable_sync_repl
5,0.009146,pgtable_sync_repl
6,0.007038,pgtable_sync_repl
7,0.009011,pgtable_sync_repl
8,0.008496,pgtable_sync_repl
9,0.009736,pgtable_sync_repl
10,0.008461,pgtable_sync_repl
11,0.007929,pgtable_sync_repl
12,0.009418,pgtable_sync_repl
13,0.009781,pgtable_sync_repl
14,0.009203,pgtable_sync_repl
15,0.009081,pgtable_sync_repl
16,0.008271,pgtable_sync_repl
17,0.008398,pgtable_sync_repl
18,0.008802,pgtable_sync_repl
19,0.007132,pgtable_sync_repl
0,0.004188,pgtable_sync_norepl
1,0.004144,pgtable_sync_norepl
2,0.004171,pgtable_sync_norepl
3,0.004181,pgtable_sync_norepl
4,0.004148,pgtable_sync_norepl
5,0.004128,pgtable_sync_norepl
6,0.004145,pgtable_sync_norepl
7,0.004147,pgtable_sync_norepl
8,0.004330,pgtable_sync_norepl
9,0.004143,pgtable_sync_norepl
10,0.004130,pgtable_sync_norepl
11,0.004173,pgtable_sync_norepl
12,0.004132,pgtable_sync_norepl
13,0.004293,pgtable_sync_norepl
14,0.004123,pgtable_sync_norepl
15,0.004123,pgtable_sync_norepl
16,0.004142,pgtable_sync_norepl
17,0.004134,pgtable_sync_norepl
18,0.004119,pgtable_sync_norepl
19,0.004147,pgtable_sync_norepl
