label,dataset,runner_name,tag,run_id,recall,total_time,qps,start_time,end_time,samples,local_pct,local_pct_skt0,local_pct_skt1,lmb_gb_skt0,lmb_gb_skt1,rmb_gb_skt0,rmb_gb_skt1,ipc,inst,inst_skt0,inst_skt1,cpu_balance,llc_rd_miss_lat_ns,l3hit,l2miss,l3miss,l3mpi,upi_in_gb,upi_out_gb,upi_out_pct,upi_in_pct,mem_bw_gb,mem_read_gb,mem_write_gb,mem_read_gb_skt0,mem_read_gb_skt1,mem_write_gb_skt0,mem_write_gb_skt1,warmup_s
ann,sift-128-euclidean,annoy,imbalanced-memory,1,0.976239,4.744668678999915,2107.6287253228834,2026-03-15T10:48:18.765342,2026-03-15T10:48:23.510021,5,59.2,59.6,57.8,11.337890625,0.1208984375,0.035546875,12.690625,0.388,14930.362,8332.124,6598.242,0.7919039611028353,285.32399999999996,0.506,103.77000000000001,83.316,0.0029,13.463591796874999,27.920654296875,18.46666666666667,8.9,31.67016796875,25.327685546875,6.342482421874999,25.232902343750002,0.09478125,6.265726562500001,0.0767578125,0.0
ann,sift-128-euclidean,annoy,imbalanced-memory,2,0.976239,1.5260543240001423,6552.846673103799,2026-03-15T10:48:23.742931,2026-03-15T10:48:25.287740,2,55.0,55.0,74.5,45.20458984375,0.25830078125,0.07568359375,37.32666015625,0.3,51951.25,29448.875,22502.379999999997,0.7641167956331099,391.2,0.065,367.885,331.54499999999996,0.0064,38.4555810546875,82.15283203125,55.666666666666664,25.5,76.039501953125,64.28828125,11.751220703125,64.10345703125,0.184814453125,11.681025390625,0.0701953125,0.0
ann,sift-128-euclidean,annoy,imbalanced-memory,3,0.976239,1.5326298700001644,6524.7325500702445,2026-03-15T10:48:25.522932,2026-03-15T10:48:27.072812,2,53.5,53.5,73.5,42.94921875,0.24365234375,0.0654296875,37.0576171875,0.315,49056.675,27393.495,21663.18,0.7908147536486309,374.0,0.065,349.07,314.92,0.00645,38.1213037109375,80.67839355468749,54.666666666666664,25.5,88.364521484375,74.78861328125,13.5758984375,74.570087890625,0.218525390625,13.492529296875,0.083369140625,0.0
ann,sift-128-euclidean,annoy,imbalanced-memory,4,0.976239,1.4740541149999444,6784.0114540166505,2026-03-15T10:48:27.307913,2026-03-15T10:48:28.800689,1,56.0,56.0,77.0,38.587890625,0.216796875,0.056640625,30.6748046875,0.29,45344.17,26390.46,18953.71,0.7182030930874262,401.52,0.07,319.47,285.79,0.0063,31.0794921875,67.332265625,44.833333333333336,20.5,90.47132324218751,76.982763671875,13.4885595703125,76.7772216796875,0.2055419921875,13.4121630859375,0.07639648437499999,0.0
ann,sift-128-euclidean,annoy,imbalanced-memory,5,0.976239,1.5166200980002031,6593.609047635515,2026-03-15T10:48:29.037621,2026-03-15T10:48:30.572783,1,56.0,56.0,78.0,52.58984375,0.294921875,0.0673828125,42.4541015625,0.29,60442.43,34257.74,26184.68,0.7643434739127567,395.69,0.07,432.96,388.87,0.0064,43.462197265625,93.096845703125,62.5,29.0,91.397919921875,78.2045556640625,13.1933642578125,78.00125,0.20330078125,13.114633789062498,0.07873046875,0.0
ann,sift-128-euclidean,annoy,imbalanced-memory,6,0.976239,1.5871271450000677,6300.692437592688,2026-03-15T10:48:30.808469,2026-03-15T10:48:32.414493,2,54.0,54.0,75.5,41.7958984375,0.24365234375,0.0888671875,35.4111328125,0.31,49247.45,27796.16,21451.29,0.7717357361592393,384.95500000000004,0.065,349.32,314.04,0.00635,36.4925830078125,77.50069335937499,52.416666666666664,24.5,84.3793408203125,72.292021484375,12.08732421875,72.0814208984375,0.2106005859375,12.0058740234375,0.0814501953125,0.0
ann,sift-128-euclidean,annoy,imbalanced-memory,7,0.976239,1.4874251589999403,6723.027333169104,2026-03-15T10:48:32.650433,2026-03-15T10:48:34.156866,2,55.0,54.5,74.0,45.0302734375,0.263671875,0.0732421875,36.7041015625,0.315,50907.21,28927.095,21980.114999999998,0.7598452246933194,375.525,0.065,362.04,326.51,0.0064,37.8654931640625,81.05162109375,54.75,25.25,76.26296875,64.91,11.352978515625,64.729912109375,0.180078125,11.283603515625,0.069365234375,0.0
ann,sift-128-euclidean,annoy,imbalanced-memory,8,0.976239,1.479327522999938,6759.8282628588795,2026-03-15T10:48:34.394500,2026-03-15T10:48:35.893060,1,55.0,55.0,75.0,36.91015625,0.2109375,0.060546875,30.6015625,0.31,42618.75,24388.07,18230.68,0.7475245068592964,380.59,0.07,301.44,270.3,0.0063,31.418251953125,67.12625,45.166666666666664,21.0,103.48865234375,88.30470703125,15.1839453125,88.063828125,0.240869140625,15.096357421875,0.087587890625,0.0
ann,sift-128-euclidean,annoy,imbalanced-memory,9,0.976239,1.4644046309999794,6828.713723181431,2026-03-15T10:48:36.128750,2026-03-15T10:48:37.607817,1,56.0,56.0,78.0,49.1201171875,0.2587890625,0.060546875,38.37109375,0.29,56492.17,32585.75,23906.42,0.7336464558894609,399.33,0.06,402.9,362.37,0.0064,39.153779296875,84.568916015625,57.0,26.0,91.5764404296875,78.5978857421875,12.9785546875,78.3985888671875,0.199306640625,12.9039111328125,0.074638671875,0.0
ann,sift-128-euclidean,annoy,imbalanced-memory,10,0.976239,1.5597650939998855,6411.221816969788,2026-03-15T10:48:37.842856,2026-03-15T10:48:39.422504,2,55.5,55.5,72.5,45.73779296875,0.26513671875,0.0986328125,36.4833984375,0.31,51001.45,29213.05,21788.41,0.7458450932032089,374.775,0.07,362.015,325.875,0.00635,37.534189453125,80.555908203125,54.666666666666664,25.0,88.96476074218751,76.7132080078125,12.251552734375,76.4716357421875,0.2415771484375,12.1564111328125,0.0951416015625,0.0
ann,sift-128-euclidean,annoy,imbalanced-memory,11,0.976239,1.5200313729997106,6578.811580885643,2026-03-15T10:48:39.663158,2026-03-15T10:48:41.200841,2,53.5,53.5,74.5,44.27978515625,0.2568359375,0.07568359375,37.728515625,0.315,50800.925,28440.18,22360.75,0.7862379914613761,377.33500000000004,0.065,360.86,325.86,0.0063999999999999994,39.0812255859375,81.889462890625,55.5,26.083333333333332,75.402490234375,64.475390625,10.927099609375,64.284873046875,0.1905078125,10.85193359375,0.075166015625,0.0
ann,sift-128-euclidean,annoy,imbalanced-memory,12,0.976239,1.4665007700000388,6818.95311926753,2026-03-15T10:48:41.437334,2026-03-15T10:48:42.922116,1,53.0,53.0,76.0,34.70703125,0.1953125,0.0576171875,30.58203125,0.31,41834.79,23422.38,18412.41,0.7861032909550609,381.17,0.07,296.34,266.92,0.0064,31.776103515625,66.974755859375,45.0,21.0,100.10486328125,85.737705078125,14.3671484375,85.510478515625,0.2272265625,14.284775390625,0.082373046875,0.0
ann,sift-128-euclidean,annoy,imbalanced-memory,13,0.976239,1.5401523870000349,6492.864007748199,2026-03-15T10:48:43.159146,2026-03-15T10:48:44.716767,1,54.0,54.0,76.0,46.00390625,0.302734375,0.09765625,38.1142578125,0.31,52645.92,29642.8,23003.11,0.7760100260434237,386.28,0.07,374.09,336.14,0.0064,39.532509765625,83.04841796875,56.0,26.5,92.4030712890625,79.6357421875,12.767329101562499,79.39961914062499,0.2361181640625,12.6708984375,0.0964306640625,0.0
ann,sift-128-euclidean,annoy,imbalanced-memory,14,0.976239,1.5057212510000682,6641.335501745899,2026-03-15T10:48:44.950824,2026-03-15T10:48:46.475529,2,53.5,53.0,76.0,43.12060546875,0.2578125,0.0849609375,37.14794921875,0.305,50829.665,28312.04,22517.625,0.7953374253497805,383.14,0.06,360.57,324.92,0.0063999999999999994,38.569497070312494,80.91962890625001,54.75,25.75,88.2931103515625,76.1037158203125,12.18939453125,75.8939453125,0.209765625,12.110361328125,0.0790380859375,0.0
ann,sift-128-euclidean,annoy,imbalanced-memory,15,0.976239,1.4906726819999676,6708.380800662058,2026-03-15T10:48:46.711320,2026-03-15T10:48:48.220051,2,56.0,56.0,74.5,46.107421875,0.25390625,0.080078125,36.7626953125,0.31,52327.770000000004,30052.170000000002,22275.6,0.7412309992922307,379.77,0.06,372.245,335.87,0.0064,37.9690234375,81.457939453125,55.083333333333336,25.25,74.50865234375,64.1279296875,10.38072265625,63.943681640625,0.184248046875,10.30779296875,0.0729296875,0.0
