runner_name,nb_runs,tag,mean_recall,mean_time,std_time,mean_qps,std_qps
annoy,3,default,0.967915,9.036439411666644,0.060995063864087415,1106.6807562019728,7.436701740585776
annoy,10,patched-imbalanced-memory,0.967915,12.88216802269999,0.2790421381641815,776.6341113359158,16.957339766746255
annoy,14,imbalanced-memory,0.9679149999999999,13.016037608214317,1.5548147341332816,776.3742441912758,67.95827780066773
annoy,21,patched-repl,0.9679150000000002,5.628920604428653,4.115003110044595,2042.5200251807712,364.136558597674
annoy,26,interleaved-memory,0.9679150000000001,6.776316558038493,1.2077517463630636,1501.539438602784,145.03916071641927
faiss,3,default,0.929989,14.979214794999999,0.07667731379518886,667.6092441219434,3.4204178122529254
faiss,8,patched-imbalanced-memory,0.929989,15.217213378750017,0.23585062837258824,657.3106319307681,10.330334933283938
faiss,12,imbalanced-memory,0.9299889999999996,15.225315862666642,0.28316789123764263,657.0242763532307,12.017103873501801
faiss,26,patched-repl,0.9299889999999998,4.54377127530772,0.32800347309361705,2209.6600422081833,123.05181915423212
faiss,27,interleaved-memory,0.9299889999999998,6.478469892592615,0.22284866258151936,1545.2034917609328,47.43692869781384
usearch,3,default,0.969294,4.246506361999991,0.06676438838773337,2355.4604410109478,37.114033310555826
usearch,10,patched-imbalanced-memory,0.969426,4.886480931600045,0.03877262022640101,2046.5898352464799,16.048482638889837
usearch,35,imbalanced-memory,0.9692939999999999,4.893484863400031,0.11362247950012162,2044.512149955961,42.159588293494856
usearch,39,patched-repl,0.9694259999999998,2.8309719463846377,0.16469754559713176,3541.3495882745888,154.83452977562982
usearch,58,interleaved-memory,0.9692939999999999,2.896775091224111,0.14511842507527098,3458.463688306222,126.79256317306073
