runner_name,nb_runs,tag,mean_recall,mean_time,std_time,mean_qps,std_qps
annoy,3,default,0.97457,8.065253679666663,0.07909894521593103,124.00066506503565,1.2240428605651412
annoy,15,patched-imbalanced-memory,0.97457,8.35715138033335,0.10744009180975239,119.67806139752066,1.5608656338518014
annoy,20,imbalanced-memory,0.9745700000000002,9.190336338350061,3.387199736670917,115.00782006798204,16.8233240796415
annoy,43,interleaved-memory,0.97457,4.2115462484185775,2.4495304153326822,255.95218285956562,31.847330125872244
annoy,50,patched-repl,0.97457,2.4120873505200144,3.406905819632837,510.23753443734927,69.06909359490757
faiss,10,patched-imbalanced-memory,0.9242700000000001,12.983394717800048,0.5786422725202668,77.17461577115687,3.4382013145705224
faiss,14,default,0.92427,12.859352724571425,0.4209426630274681,77.84806640024819,2.5570512983370985
faiss,14,imbalanced-memory,0.92427,13.707535960500033,2.070729143085878,74.1096351048714,7.701014677928845
faiss,24,patched-repl,0.92427,5.0074104520000065,3.1660454380870506,223.6539629881178,40.01488035494457
faiss,27,interleaved-memory,0.92427,6.800643898185188,1.7266774326628613,151.5212842485763,17.907421192383485
usearch,3,default,0.98083,1.5126004769999781,0.015533631304634562,661.1826276702728,6.769846378506216
usearch,10,patched-imbalanced-memory,0.9808600000000001,1.654391713199948,0.020627809173508763,604.546957581844,7.634663036859647
usearch,103,imbalanced-memory,0.9808299999999996,1.7199131784271857,0.507932852701398,594.5894829634416,44.79785085216665
usearch,165,patched-repl,0.9808600000000002,0.6998514178121117,0.5815989623175962,1519.8756672035604,111.70536420476795
usearch,254,interleaved-memory,0.9808299999999999,0.6802466359055107,0.31849447304930506,1509.4561631856413,84.86167874699234
