ops_sec,mb_sec,lsm_sz,blob_sz,c_wgb,w_amp,c_mbps,c_wsecs,c_csecs,b_rgb,b_wgb,usec_op,p50,p99,p99.9,p99.99,pmax,uptime,stall%,Nstall,u_cpu,s_cpu,rss,test,date,version,job_id,githash,tag,nb_runs,start_time,end_time
13403724,3394.1,10GB,0GB,0.0,NA,0.0,0,0,0,0,7.8,7.7,15,22,35,17894,210,0.0,,21.7,0.1,10.1,readrandom.t104,2026-03-15T11:40:24,10.5.0,,11a259a5f0,readrandom,0,2026-03-15T11:40:24.394996,2026-03-15T11:43:55.828741
13585904,3439.6,10GB,0GB,0.0,NA,0.0,0,0,0,0,7.7,7.5,15,22,34,28576,210,0.0,,21.7,0.1,10.1,readrandom.t104,2026-03-15T11:45:21,10.5.0,,11a259a5f0,readrandom,1,2026-03-15T11:45:21.725331,2026-03-15T11:48:53.155533
13566572,3434.2,10GB,0GB,0.0,NA,0.0,0,0,0,0,7.7,7.6,15,22,34,29818,210,0.0,,21.7,0.1,10.1,readrandom.t104,2026-03-15T11:50:16,10.5.0,,11a259a5f0,readrandom,2,2026-03-15T11:50:16.484158,2026-03-15T11:53:47.915461
13440323,3403.1,10GB,0GB,0.0,NA,0.0,0,0,0,0,7.7,7.7,15,22,35,15710,210,0.0,,21.7,0.1,10.1,readrandom.t104,2026-03-15T11:55:15,10.5.0,,11a259a5f0,readrandom,3,2026-03-15T11:55:15.483919,2026-03-15T11:58:46.899168
13451316,3405.9,10GB,0GB,0.0,NA,0.0,0,0,0,0,7.7,7.7,15,22,34,26443,210,0.0,,21.7,0.1,10.1,readrandom.t104,2026-03-15T12:00:12,10.5.0,,11a259a5f0,readrandom,4,2026-03-15T12:00:12.578166,2026-03-15T12:03:43.994932
13671082,3461.7,10GB,0GB,0.0,NA,0.0,0,0,0,0,7.6,7.5,15,22,34,16297,210,0.0,,21.7,0.1,10.1,readrandom.t104,2026-03-15T12:05:08,10.5.0,,11a259a5f0,imbalanced-readrandom,0,2026-03-15T12:05:08.450853,2026-03-15T12:08:39.879732
13341758,3377.7,10GB,0GB,0.0,NA,0.0,0,0,0,0,7.8,7.8,15,22,36,14091,210,0.0,,21.7,0.1,10.1,readrandom.t104,2026-03-15T12:10:05,10.5.0,,11a259a5f0,imbalanced-readrandom,1,2026-03-15T12:10:05.516713,2026-03-15T12:13:36.934707
13305533,3369.0,10GB,0GB,0.0,NA,0.0,0,0,0,0,7.8,7.8,15,22,34,54471,210,0.0,,21.7,0.1,10.1,readrandom.t104,2026-03-15T12:15:04,10.5.0,,11a259a5f0,imbalanced-readrandom,2,2026-03-15T12:15:04.451240,2026-03-15T12:18:35.928225
13573327,3436.5,10GB,0GB,0.0,NA,0.0,0,0,0,0,7.7,7.6,15,22,34,21339,210,0.0,,21.8,0.1,10.1,readrandom.t104,2026-03-15T12:20:02,10.5.0,,11a259a5f0,imbalanced-readrandom,3,2026-03-15T12:20:02.434466,2026-03-15T12:23:33.850512
13284123,3363.2,10GB,0GB,0.0,NA,0.0,0,0,0,0,7.8,7.8,15,22,34,18201,210,0.0,,21.7,0.1,10.1,readrandom.t104,2026-03-15T12:24:59,10.5.0,,11a259a5f0,imbalanced-readrandom,4,2026-03-15T12:24:59.879479,2026-03-15T12:28:31.308833
13380766,3387.7,10GB,0GB,0.0,NA,0.0,0,0,0,0,7.8,7.6,15,23,37,21194,210,0.0,,21.7,0.1,10.1,readrandom.t104,2026-03-15T12:29:57,10.5.0,,11a259a5f0,interleaved-readrandom,0,2026-03-15T12:29:57.134877,2026-03-15T12:33:28.559133
13521880,3423.4,10GB,0GB,0.0,NA,0.0,0,0,0,0,7.7,7.6,15,22,34,22900,210,0.0,,21.8,0.1,10.1,readrandom.t104,2026-03-15T12:34:52,10.5.0,,11a259a5f0,interleaved-readrandom,1,2026-03-15T12:34:52.650442,2026-03-15T12:38:24.077025
13599348,3443.4,10GB,0GB,0.0,NA,0.0,0,0,0,0,7.6,7.6,15,22,34,40040,210,0.0,,21.8,0.1,10.1,readrandom.t104,2026-03-15T12:39:50,10.5.0,,11a259a5f0,interleaved-readrandom,2,2026-03-15T12:39:50.468737,2026-03-15T12:43:21.903685
