round,mem_used,tag
0,654236.000000,mem_repl
1,656032.000000,mem_repl
2,654240.000000,mem_repl
3,654240.000000,mem_repl
4,657248.000000,mem_repl
5,654584.000000,mem_repl
6,654240.000000,mem_repl
7,656608.000000,mem_repl
8,654392.000000,mem_repl
9,654240.000000,mem_repl
10,657248.000000,mem_repl
11,654240.000000,mem_repl
12,654652.000000,mem_repl
13,657248.000000,mem_repl
14,654496.000000,mem_repl
15,654932.000000,mem_repl
16,654240.000000,mem_repl
17,656928.000000,mem_repl
18,654240.000000,mem_repl
19,654240.000000,mem_repl
