round,elapsed_ms,tag
0,0.066381,pgtable_repl
1,0.123957,pgtable_repl
2,0.121349,pgtable_repl
3,0.122641,pgtable_repl
4,0.123454,pgtable_repl
5,0.123869,pgtable_repl
6,0.121525,pgtable_repl
7,0.121614,pgtable_repl
8,0.123869,pgtable_repl
9,0.124915,pgtable_repl
10,0.125432,pgtable_repl
11,0.126429,pgtable_repl
12,0.123356,pgtable_repl
13,0.121132,pgtable_repl
14,0.125777,pgtable_repl
15,0.130999,pgtable_repl
16,0.121612,pgtable_repl
17,0.124958,pgtable_repl
18,0.122790,pgtable_repl
19,0.124000,pgtable_repl
0,0.052802,pgtable_norepl
1,0.052157,pgtable_norepl
2,0.050982,pgtable_norepl
3,0.056181,pgtable_norepl
4,0.055839,pgtable_norepl
5,0.055328,pgtable_norepl
6,0.056306,pgtable_norepl
7,0.054121,pgtable_norepl
8,0.053265,pgtable_norepl
9,0.055770,pgtable_norepl
10,0.055972,pgtable_norepl
11,0.052729,pgtable_norepl
12,0.054693,pgtable_norepl
13,0.061920,pgtable_norepl
14,0.053878,pgtable_norepl
15,0.055984,pgtable_norepl
16,0.056821,pgtable_norepl
17,0.054057,pgtable_norepl
18,0.052498,pgtable_norepl
19,0.057479,pgtable_norepl
