round,mem_used,tag
0,654672.000000,mem_repl
1,654240.000000,mem_repl
2,656928.000000,mem_repl
3,654240.000000,mem_repl
4,654240.000000,mem_repl
5,657364.000000,mem_repl
6,654240.000000,mem_repl
7,654240.000000,mem_repl
8,656608.000000,mem_repl
9,654240.000000,mem_repl
10,652868.000000,mem_repl
11,657248.000000,mem_repl
12,654240.000000,mem_repl
13,655712.000000,mem_repl
14,654240.000000,mem_repl
15,654240.000000,mem_repl
16,657076.000000,mem_repl
17,654240.000000,mem_repl
18,655712.000000,mem_repl
19,654240.000000,mem_repl
