phase,limit,start_time,end_time
normal,max,2026-08-29 20:27:56.395104,2026-08-29 20:28:56.665381
3.5G,3500M,2026-08-29 20:28:56.665417,2026-08-29 20:29:56.848013
3G,3G,2026-08-29 20:29:56.848033,2026-08-29 20:30:57.109993
2.5G,2560M,2026-08-29 20:30:57.110025,2026-08-29 20:31:57.388599
release,max,2026-08-29 20:31:57.388643,2026-08-29 20:32:57.594358
