phase,limit,start_time,end_time
normal,max,2026-08-18 17:57:11.963395,2026-08-18 17:57:41.979322
4G,4G,2026-08-18 17:57:41.979341,2026-08-18 17:58:41.992549
3G,3G,2026-08-18 17:58:41.992571,2026-08-18 17:59:42.015815
2.5G,2560M,2026-08-18 17:59:42.015865,2026-08-18 18:00:42.030055
release,max,2026-08-18 18:00:42.030089,2026-08-18 18:01:42.043727
