phase,limit,start_time,end_time
normal,max,2026-08-29 20:40:06.125377,2026-08-29 20:41:06.451508
3.5G,3500M,2026-08-29 20:41:06.451544,2026-08-29 20:42:06.764311
3G,3G,2026-08-29 20:42:06.764347,2026-08-29 20:43:07.076537
2.5G,2560M,2026-08-29 20:43:07.076564,2026-08-29 20:44:07.263661
release,max,2026-08-29 20:44:07.263684,2026-08-29 20:45:07.463554
