time,variant,elapsed,phase,limit,current_mb,high_events,psi_some_avg10,anon,file,pgscan,pgsteal,pgmajfault,vm_numa_pte_updates,vm_numa_huge_pte_updates,vm_numa_hint_faults,vm_numa_hint_faults_local,vm_numa_pages_migrated,vm_pgmigrate_success,vm_pgmigrate_fail
2026-08-29T23:39:27.303,interleaved,0.0,normal,max,2242,0,0.00,217120768,2107424768,0,0,20347,401893,0,366360,254412,68862,68862,0
2026-08-29T23:39:27.803,interleaved,0.501,normal,max,2243,0,0.00,216637440,2107424768,0,0,20347,401893,0,366360,254412,68862,68862,0
2026-08-29T23:39:28.303,interleaved,1.001,normal,max,2242,0,0.00,216637440,2107424768,0,0,20347,401893,0,366360,254412,68862,68862,0
2026-08-29T23:39:28.803,interleaved,1.501,normal,max,2244,0,0.00,216637440,2107424768,0,0,20347,401893,0,366360,254412,68862,68862,0
2026-08-29T23:39:29.303,interleaved,2.001,normal,max,2242,0,0.00,216637440,2107424768,0,0,20347,401893,0,366360,254412,68862,68862,0
2026-08-29T23:39:29.803,interleaved,2.501,normal,max,2244,0,0.00,217120768,2107424768,0,0,20347,401893,0,366360,254412,68862,68862,0
2026-08-29T23:39:30.303,interleaved,3.001,normal,max,2244,0,0.00,217120768,2107424768,0,0,20347,401893,0,366360,254412,68862,68862,0
2026-08-29T23:39:30.803,interleaved,3.501,normal,max,2244,0,0.00,217120768,2107424768,0,0,20347,401893,0,366360,254412,68862,68862,0
2026-08-29T23:39:31.303,interleaved,4.001,normal,max,2244,0,0.00,217120768,2107424768,0,0,20347,401893,0,366360,254412,68862,68862,0
2026-08-29T23:39:31.803,interleaved,4.501,normal,max,2244,0,0.00,217120768,2107424768,0,0,20347,401893,0,366360,254412,68862,68862,0
2026-08-29T23:39:32.303,interleaved,5.001,normal,max,2244,0,0.00,217120768,2107424768,0,0,20347,401893,0,366360,254412,68862,68862,0
2026-08-29T23:39:32.803,interleaved,5.501,normal,max,2244,0,0.00,217120768,2107424768,0,0,20347,401893,0,366360,254412,68862,68862,0
2026-08-29T23:39:33.303,interleaved,6.001,normal,max,2244,0,0.00,217120768,2107424768,0,0,20347,401893,0,366360,254412,68862,68862,0
2026-08-29T23:39:33.803,interleaved,6.501,normal,max,2244,0,0.00,217120768,2107424768,0,0,20347,401893,0,366360,254412,68862,68862,0
2026-08-29T23:39:34.303,interleaved,7.001,normal,max,2244,0,0.00,217120768,2107424768,0,0,20347,401893,0,366360,254412,68862,68862,0
2026-08-29T23:39:34.803,interleaved,7.501,normal,max,2243,0,0.00,217120768,2107424768,0,0,20347,401893,0,366360,254412,68862,68862,0
2026-08-29T23:39:35.303,interleaved,8.001,normal,max,2244,0,0.00,217120768,2107424768,0,0,20347,401893,0,366360,254412,68862,68862,0
2026-08-29T23:39:35.803,interleaved,8.501,normal,max,2241,0,0.00,217120768,2107424768,0,0,20347,401893,0,366360,254412,68862,68862,0
2026-08-29T23:39:36.303,interleaved,9.001,normal,max,2243,0,0.00,217120768,2107424768,0,0,20347,401893,0,366360,254412,68862,68862,0
2026-08-29T23:39:36.803,interleaved,9.501,normal,max,2243,0,0.00,217120768,2107424768,0,0,20347,401893,0,366360,254412,68862,68862,0
2026-08-29T23:39:37.303,interleaved,10.001,normal,max,2243,0,0.00,217120768,2107424768,0,0,20347,401893,0,366360,254412,68862,68862,0
2026-08-29T23:39:37.803,interleaved,10.501,normal,max,2243,0,0.00,217120768,2107424768,0,0,20347,401893,0,366360,254412,68862,68862,0
2026-08-29T23:39:38.303,interleaved,11.001,normal,max,2243,0,0.00,217120768,2107424768,0,0,20347,401893,0,366360,254412,68862,68862,0
2026-08-29T23:39:38.803,interleaved,11.501,normal,max,2243,0,0.00,217120768,2107424768,0,0,20347,401893,0,366360,254412,68862,68862,0
2026-08-29T23:39:39.303,interleaved,12.001,normal,max,2243,0,0.00,217120768,2107424768,0,0,20347,401893,0,366360,254412,68862,68862,0
2026-08-29T23:39:39.803,interleaved,12.501,normal,max,2244,0,0.00,216637440,2107424768,0,0,20347,401893,0,366360,254412,68862,68862,0
2026-08-29T23:39:40.303,interleaved,13.001,normal,max,2244,0,0.00,216637440,2107424768,0,0,20347,401893,0,366360,254412,68862,68862,0
2026-08-29T23:39:40.803,interleaved,13.501,normal,max,2244,0,0.00,216637440,2107424768,0,0,20347,401893,0,366361,254413,68862,68862,0
2026-08-29T23:39:41.303,interleaved,14.001,normal,max,2243,0,0.00,216637440,2107424768,0,0,20347,401893,0,366361,254413,68862,68862,0
2026-08-29T23:39:41.803,interleaved,14.501,normal,max,2245,0,0.00,217120768,2107424768,0,0,20347,401893,0,366361,254413,68862,68862,0
2026-08-29T23:39:42.303,interleaved,15.001,normal,max,2244,0,0.00,217120768,2107424768,0,0,20347,401893,0,366361,254413,68862,68862,0
2026-08-29T23:39:42.803,interleaved,15.501,normal,max,2242,0,0.00,217120768,2107424768,0,0,20347,401893,0,366361,254413,68862,68862,0
2026-08-29T23:39:43.303,interleaved,16.001,normal,max,2244,0,0.00,217120768,2107424768,0,0,20347,401893,0,366361,254413,68862,68862,0
2026-08-29T23:39:43.803,interleaved,16.501,normal,max,2245,0,0.00,217124864,2107424768,0,0,20347,401893,0,366361,254413,68862,68862,0
2026-08-29T23:39:44.303,interleaved,17.001,normal,max,2244,0,0.00,217124864,2107424768,0,0,20347,401893,0,366361,254413,68862,68862,0
2026-08-29T23:39:44.803,interleaved,17.501,normal,max,2244,0,0.00,217124864,2107424768,0,0,20347,401893,0,366361,254413,68862,68862,0
