time,variant,elapsed,phase,limit,current_mb,high_events,psi_some_avg10,anon,file,pgscan,pgsteal,pgmajfault,repl_fail_events,repl_lock_main_lost,repl_pg_private_alloc,repl_pg_private_free,repl_pte_miss_events,repl_rdprotect_handled,repl_reclaimed,repl_reclaimed_replicas,repl_remote_faults_on_main,repl_repl_allocated,repl_repl_copy_events,repl_skipped_pressure,repl_tlb_flushed,repl_total_faults,repl_unreplicated,repl_writes_to_replicated,vm_numa_pte_updates,vm_numa_huge_pte_updates,vm_numa_hint_faults,vm_numa_hint_faults_local,vm_numa_pages_migrated,vm_pgmigrate_success,vm_pgmigrate_fail
2026-08-27T19:11:28.863,repl-bound,16.001,normal,max,4237,0,0.00,2285096960,2124312576,0,0,458441,459724,0,0,0,1340756,0,0,0,309405,504772,504772,0,1009544,1605619,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:29.363,repl-bound,16.501,normal,max,4234,0,0.00,2285096960,2124312576,0,0,458441,459724,0,0,0,1340756,0,0,0,309405,504772,504772,0,1009544,1605619,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:29.863,repl-bound,17.001,normal,max,4237,0,0.00,2285096960,2124312576,0,0,458441,459724,0,0,0,1340756,0,0,0,309405,504772,504772,0,1009544,1605619,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:30.363,repl-bound,17.501,normal,max,4235,0,0.00,2285096960,2124312576,0,0,458441,459724,0,0,0,1340756,0,0,0,309405,504772,504772,0,1009544,1605619,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:30.863,repl-bound,18.001,normal,max,4235,0,0.00,2285096960,2124312576,0,0,458441,459724,0,0,0,1340756,0,0,0,309405,504772,504772,0,1009544,1605619,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:31.363,repl-bound,18.501,normal,max,4235,0,0.00,2285096960,2124312576,0,0,458441,459724,0,0,0,1340756,0,0,0,309405,504772,504772,0,1009544,1605619,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:31.863,repl-bound,19.001,normal,max,4236,0,0.00,2285096960,2124312576,0,0,458441,459724,0,0,0,1340756,0,0,0,309405,504772,504772,0,1009544,1605619,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:32.363,repl-bound,19.501,normal,max,4236,0,0.00,2285096960,2124312576,0,0,458441,459724,0,0,0,1340756,0,0,0,309405,504772,504772,0,1009544,1605619,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:32.863,repl-bound,20.001,normal,max,4236,0,0.00,2285096960,2124312576,0,0,458441,459724,0,0,0,1340756,0,0,0,309405,504772,504772,0,1009544,1605619,0,0,173,0,168,109,45,45,0
2026-08-27T19:11:33.363,repl-bound,20.501,normal,max,4236,0,0.00,2285109248,2124312576,0,0,458441,459724,0,0,0,1340758,0,0,0,309405,504774,504774,0,1009548,1605621,0,0,173,0,168,109,45,45,0
