phase,limit,start_time,end_time
normal,max,2026-08-29 23:33:22.947094,2026-08-29 23:34:22.948174
3.5G,3500M,2026-08-29 23:34:22.948200,2026-08-29 23:35:22.948798
3G,3G,2026-08-29 23:35:22.948846,2026-08-29 23:36:22.949561
2.5G,2560M,2026-08-29 23:36:22.949615,2026-08-29 23:37:22.950427
release,max,2026-08-29 23:37:22.950481,2026-08-29 23:38:22.951320
