label,dataset,benchmark,tag,readratio,writeratio,read_bw_gb,write_bw_gb,read_bw_std,write_bw_std,read_bw_std_pct,write_bw_std_pct,samples,local_pct,local_pct_skt0,local_pct_skt1,local_pct_skt2,local_pct_skt3,ipc,inst,inst_skt0,inst_skt1,inst_skt2,inst_skt3,afreq,freq,cpu_balance,l3hit,l2miss,l3miss,l3mpi,upi_in_gb,upi_out_gb,upi_out_pct,upi_in_pct,mem_bw_gb,mem_read_gb,mem_write_gb,mem_read_gb_skt0,mem_read_gb_skt1,mem_read_gb_skt2,mem_read_gb_skt3,mem_write_gb_skt0,mem_write_gb_skt1,mem_write_gb_skt2,mem_write_gb_skt3,data_mem_gb,data_mem_gb_node0,data_mem_gb_node1,data_mem_gb_node2,data_mem_gb_node3,pagetable_mb,pagetable_mb_node0,pagetable_mb_node1,pagetable_mb_node2,pagetable_mb_node3,tma_l3_bound,tma_dram_bound,tma_l1_bound,tma_store_bound,warmup_s,read_bw_gb_std,write_bw_gb_std,runs
fio,details,readwrite_random,default,10,90,9.4592376394,87.2201921404,0.09524106854459996,0.09760945905139998,0.8311242486347048,0.10319654288604732,54.6,27.17741176470588,29.590509803921567,25.545915966386552,25.520358543417366,24.14931092436975,0.2160069467787115,44576.85539204482,12499.777761344538,10173.270172661065,11341.852632492997,10561.954973109243,0.984381400560224,0.8448250980392157,0.7470725244648293,0.1631393837535014,83.78853915966387,70.20679002801121,0.0015495641456582635,101.7542427501313,164.21442775855655,59.748396825396824,36.849825396825395,182.88659137911415,73.34170581352853,109.54488621006215,26.048376795671395,12.76049103170956,19.72943306974352,14.803405081735821,39.15404838858981,19.15615673647584,29.676756549698005,21.557924083070727,1.052158132616837,0.39230543978653437,0.15032793996031857,0.25393297269073717,0.2555384472054495,13.157275968309857,4.544443933823529,1.4717176669083125,1.0401521851698425,6.100854952016017,,,,,0.0,1.7434242475846184,12.376026686303327,5
fio,details,readwrite_random,default,20,80,20.829931854599998,83.90246747379999,0.12005089743599998,0.10654514175479998,0.5023924983045509,0.11902187191302012,52.4,26.167961448986375,27.670457959454968,23.298816882685276,25.74133200398804,25.316607510800928,0.23758423396477238,49642.91890621469,12467.742757234962,11992.288484227318,12804.55461620472,12378.333791465604,0.9846080159521436,0.8518743236955799,0.8894571286857731,0.14043260884014627,170.62997405117977,152.07767763376538,0.002875610900631439,110.93477043388063,177.5914820115175,64.67821369225656,40.2184046748643,197.36116993605123,82.37077230235076,114.99039692648617,23.12480921621853,17.517676306977506,21.775172407763687,19.953115039361084,32.61435692394171,24.568266901638832,30.542537298040777,27.26523570183979,1.0488181641750773,0.33781177987542094,0.18130345999152606,0.24115759377243434,0.2885260473259583,13.157070206048521,3.790675245098039,2.144763833499501,1.1401470588235294,6.081193014705883,,,,,0.0,3.523456079094805,10.696988486663873,5
fio,details,readwrite_random,default,30,70,30.7040551304,74.41172306680001,0.12014294159179999,0.1113059149772,0.3231521567339141,0.1366084564480728,54.2,27.45443137254902,31.218,22.782156862745097,23.979490196078434,24.07294117647059,0.2235478431372549,47982.47941803921,13965.231181176472,10769.10051882353,11811.141417647057,11437.005989411764,0.9844643137254903,0.8552113725490196,0.7299713567591128,0.10403254901960786,231.06889176470585,211.7954788235294,0.004184419607843137,102.87986972886029,170.72234678691788,62.137493464052284,37.26549673202614,185.70568706992952,81.02220461971508,104.68348275314031,27.05428656671262,12.8165091149663,22.526062694163603,18.625345876225488,34.81617709558823,16.5428071752451,29.62372234949449,23.700775575214458,1.0499892634971468,0.3906757659912109,0.13196532036276426,0.24787570040833717,0.2794576383104511,13.152915134803923,4.562884497549019,1.401608455882353,1.1848892463235294,6.003532935049019,,,,,0.0,8.138009201834738,14.82319407173756,5
fio,details,readwrite_random,default,40,60,44.992004151399996,69.9807224798,0.12447139594579999,0.11462399572819996,0.24108876641659452,0.14881689351284802,53.6,26.14075414781297,28.86355957767723,24.101092006033184,23.90998491704374,24.913586726998492,0.24132355957767726,52970.66396078431,14596.209626546002,12583.15761912519,12702.872715414782,13088.423915233787,0.9837286274509804,0.8579809954751131,0.8328000057198957,0.09135776772247362,338.5920602714932,314.8941223529412,0.005603528808446456,110.69779979443581,183.25716237980768,66.72062745098039,40.114267471091,198.14878440687454,90.56873992193393,107.58004444511218,29.66404491916478,19.472244236484254,22.016946275334654,19.415504012596625,35.53725378670579,23.169501146010084,26.452168476208993,22.421121688937596,1.0523002366055911,0.37191698509895244,0.1769873501416605,0.22722229047634301,0.27617965150490786,13.161216134049772,4.3498052413273,1.6046674443815987,1.1351668316365007,6.071576616704374,,,,,0.0,8.56301928832619,10.742600182925946,5
fio,details,readwrite_random,default,50,50,51.79849854060001,55.13014806900001,0.12064625227959999,0.114539467331,0.2086522997013122,0.19257961204150545,54.0,27.02669007901668,29.966661984196662,23.043405326309628,24.20917061750073,24.631014340064382,0.2387559730757975,49379.70409918642,14035.997719625404,11313.66410200761,12257.130587509511,11772.912126684225,0.9860703541117939,0.8570936025753586,0.7457312825674444,0.08614115305823823,393.7690183084577,368.54570521510095,0.007072899736611062,97.6705714806025,171.0003629765808,62.26729519071311,35.35363584040582,177.73302119974574,85.80531441073585,91.92770659982486,30.915666292389158,15.313525509115726,21.28718231377579,18.288939763315774,33.45633566214195,16.338195031003075,22.981835430361976,19.15134074552559,1.0587671187224708,0.39962342642453946,0.14974597787340724,0.2339181033953052,0.2754641169189953,13.163512643583553,4.498517129426397,1.6087435661764704,1.3856720716271584,5.670579876353527,,,,,0.0,7.268681625495864,6.302661357972045,5
fio,details,readwrite_random,default,60,40,65.69734057939999,45.3419829636,0.1141649201828,0.11110105998359998,0.15420987710026793,0.22793485337045688,52.8,27.036842504743834,29.193320683111956,23.806755218216317,23.960278304870336,25.184073371283997,0.24877907653383935,51401.601533206835,13450.410550588236,12450.416641315624,12534.219163415559,12966.554338266922,0.9835139025932953,0.8495523086654015,0.7928363152274364,0.10768721062618598,498.8823595951929,469.35443089184065,0.00839143807716635,96.83917381406646,172.31603819803527,62.732807294961006,35.043418722327644,174.3681562492588,89.6137676320367,84.75438800591003,27.368716398269488,17.121167619386462,23.482803992083728,21.64108015175324,25.895779147864282,15.991678767394053,22.149456292447418,20.71747386318489,1.0542312012201318,0.3648735041754069,0.1562453009396094,0.24673231496696305,0.2863737803295698,13.162555245888678,4.141357022849462,1.6155873161764707,1.0778051470588235,6.327805759803922,,,,,0.0,13.606417023953172,8.010363788546568,5
fio,details,readwrite_random,default,70,30,81.3348917934,35.1332320316,0.09561484225179999,0.07578917415359998,0.11528278049632419,0.21558872141781812,52.2,26.02882217714672,26.13035564570656,24.165249492900607,25.167015551048003,25.956121703853956,0.2611222447599729,55583.42327556458,14350.048982123055,12698.785059959431,14146.378101176471,14388.211189452331,0.9846333198106828,0.8666481947261664,0.8302431213745678,0.07927764705882355,639.8302281000676,604.5290620960109,0.010270702096010819,99.96504679602984,180.42792597225744,65.69877710164526,36.18095244534596,178.03619511658002,98.62803087728196,79.40816417118302,27.239192288523707,16.82165391013248,28.14440444197938,26.422780741764917,21.99251832427421,12.95536835604716,22.72103954680633,21.739237709680317,1.059168785665708,0.32989230971433037,0.1509508037421346,0.2577154485487629,0.32059312892316705,13.167035965021602,4.1534356721502155,1.68080182369558,1.2464574921070124,6.086340977068794,,,,,0.0,4.79887866781492,1.338927457442005,5
fio,details,readwrite_random,default,80,20,88.4271504424,23.1458851526,0.0383755393978,0.04101023734459998,0.04487801027761842,0.1796873232279138,50.6,27.137803921568626,27.52792156862745,25.8481568627451,24.50588235294118,23.923529411764708,0.22992313725490193,54409.863090980405,14598.681667450981,14176.23654745098,13128.034023529413,12506.911013333334,0.9876101960784315,0.9062164705882353,0.7267562082808965,0.07920705882352942,727.6672392156862,688.4155450980393,0.011788447058823528,91.11170712086397,171.88897720664826,62.56776470588236,32.93229411764706,164.24340990579043,99.1626600268076,65.0807491819853,28.024589885876225,28.07924127910539,23.50993975183824,19.54888930759804,18.51978622855392,18.625356357230395,15.14993777879902,12.785669859068628,1.0583088301116343,0.34376901843501073,0.2437461326449525,0.21316631930482152,0.2576336418600643,13.170648284313724,4.450684742647058,1.8811446078431373,1.159563112745098,5.679255821078431,,,,,0.0,10.250479127220949,1.8695525194770755,5
fio,details,readwrite_random,default,85,15,104.36262527240001,18.5908870676,0.03966503389059998,0.05216637763839997,0.03883326022008182,0.28774774313034535,50.8,26.340549019607845,28.990666666666662,23.552313725490198,24.335764705882355,24.791843137254904,0.2524941176470588,60061.27434588235,16819.665938823528,14060.095615686276,15075.831703529411,14105.68123607843,0.9861294117647059,0.9025262745098039,0.7937752910120143,0.0789764705882353,864.156808627451,818.1214266666667,0.012683584313725491,97.52299757889094,181.01816565333948,65.90860130718954,35.284281045751634,171.61579084175858,110.32555944010417,61.29023094056373,36.370951287530644,21.146203613664216,30.311153664981617,22.49724994485294,20.50516500076593,11.572775828737745,16.6303529810049,12.581937402726716,1.060247126859777,0.37727727463666133,0.1711790206011604,0.24849819198309206,0.26329994141821766,13.171254595588234,4.088395220588235,2.138285539215686,1.3227610294117649,5.6218128063725485,,,,,0.0,6.298275555967093,0.7561525321455673,5
fio,details,readwrite_random,default,90,10,112.8453971012,12.5227744316,0.04098705126699998,0.06127590241059996,0.03703906803248888,0.5004365673911897,50.6,26.460470588235296,27.59270588235294,22.897333333333332,25.651372549019605,25.44878431372549,0.2540470588235294,60848.571341960786,16605.838574117646,13801.211759215686,15033.608566274512,15407.911970196079,0.9859545098039216,0.9032164705882353,0.7690482917858279,0.0777121568627451,939.2746509803922,890.1246439215687,0.013600094117647057,94.8062130713848,176.82857254748777,64.37245751633986,34.25852287581699,163.472452243413,112.6137308134191,50.85872166513481,33.996034830729165,18.450266331188725,31.539869270067403,28.627560268075978,15.512221770067402,7.771651566329657,13.63403930376838,13.940809021139705,1.054905797621783,0.3564970119700712,0.14726047979616652,0.2510090095669616,0.30009894845999924,13.173579044117648,3.8673180147058823,1.9051562499999999,1.7279270833333336,5.673177696078431,,,,,0.0,7.171806791559538,0.5125379166376571,5
