label,dataset,test,tag,ops_sec,mb_sec,c_wgb,w_amp,c_mbps,c_wsecs,c_csecs,b_rgb,b_wgb,usec_op,p50,p99,p99.9,p99.99,pmax,uptime,stall%,u_cpu,s_cpu,rss,nb_runs,samples,local_pct,local_pct_skt0,local_pct_skt1,local_pct_skt2,local_pct_skt3,ipc,inst,inst_skt0,inst_skt1,inst_skt2,inst_skt3,afreq,freq,cpu_balance,l3hit,l2miss,l3miss,l3mpi,upi_in_gb,upi_out_gb,upi_out_pct,upi_in_pct,mem_bw_gb,mem_read_gb,mem_write_gb,mem_read_gb_skt0,mem_read_gb_skt1,mem_read_gb_skt2,mem_read_gb_skt3,mem_write_gb_skt0,mem_write_gb_skt1,mem_write_gb_skt2,mem_write_gb_skt3,data_mem_gb,data_mem_gb_node0,data_mem_gb_node1,data_mem_gb_node2,data_mem_gb_node3,pagetable_mb,pagetable_mb_node0,pagetable_mb_node1,pagetable_mb_node2,pagetable_mb_node3,tma_l3_bound,tma_dram_bound,tma_l1_bound,tma_store_bound,warmup_s,ops_sec_std,mb_sec_std,runs
rocksdb,results,fwdrange,balancing-fwdrange,694658.6,55647.92,0.0,,0.0,0.0,0.0,0.0,0.0,242.6,206.45999999999998,250.0,28692.0,48408.4,147839.6,120.0,0.0,11.6,0.1,8.1,2.0,37.0,26.0,26.0,26.0,26.0,26.205405405405408,0.9572972972972973,39505.16864864864,10065.605891891892,9917.084594594595,9782.47772972973,9740.000216216216,1.0,0.15513513513513516,0.9676239827987947,0.42329729729729726,11.373837837837838,5.775351351351351,0.00010108108108108106,58.18403763724662,116.90129724451012,42.397747747747744,20.852702702702704,85.68929972967416,76.96585479224083,8.72344406227774,23.407706510324058,17.861314986553168,20.690288756890112,15.006544542640915,2.5406040837815613,2.4733688419607933,2.1194357760824145,1.5900354132401315,8.426833985438558,2.582544910110756,1.9299133230239196,2.282009538240826,1.6323662140630557,28.444831303342816,6.527784383890468,13.362983974928875,5.149381001066856,3.4046819434566147,1.3350900900900897,9.24834834834835,17.720435435435437,0.5268018018018019,75.0,6788.936352625491,543.8530104724994,5
rocksdb,results,fwdrange,default-fwdrange,695911.2,55748.240000000005,0.0,,0.0,0.0,0.0,0.0,0.0,242.58,206.1,250.0,28704.4,48483.4,278275.4,120.0,0.0,11.6,0.12000000000000002,8.1,2.0,38.0,26.0,26.0,25.878947368421052,26.0,25.942105263157895,0.9591052631578949,39586.82873684211,10096.47247368421,9947.93705263158,9765.67005263158,9776.748368421053,1.0,0.15521052631578952,0.9660363870793409,0.4196842105263158,11.426,5.843473684210527,0.00011315789473684211,58.39002677837171,116.63916688939146,42.285964912280704,20.845175438596492,85.4656554095728,76.82872823779783,8.636927385701902,23.733448992320856,18.118544419007822,17.761272526226882,17.21546256973462,2.1623434902315966,3.3935838801898113,1.1516264613709104,1.9293727232063476,8.423706858866923,2.675688315726615,1.8060408514899176,2.1134954916464315,1.828482200003959,28.42837837837838,9.179877533783785,10.366047297297296,3.190625,5.691828547297297,1.3632282282282282,9.425540540540542,17.753378378378375,0.5373273273273274,75.0,1692.991789702484,135.6284188509173,5
rocksdb,results,fwdrange,imbalanced-fwdrange,573221.4,45919.8,0.0,,0.0,0.0,0.0,0.0,0.0,288.74,214.28000000000003,372.2,33731.8,48750.8,128970.2,120.0,0.0,11.6,0.18,8.1,2.0,37.0,29.98378378378378,28.989189189189187,95.16216216216216,84.84324324324325,94.64324324324325,0.7916216216216216,32674.84551351351,9547.99810810811,7790.0350810810805,7678.02145945946,7658.7908648648645,1.0,0.15502702702702706,0.8014993628135102,0.4257837837837838,9.348162162162161,4.734378378378379,9.999999999999998e-05,45.60967050253379,86.22137985641892,31.235585585585586,16.26126126126126,66.17094927153715,59.81508387880067,6.355865551097973,58.990612542229734,0.25989014991554055,0.3056991659628378,0.2588830236486486,6.106913112331081,0.07454692778716217,0.10104735008445946,0.07335837204391893,8.421388995087842,8.135785326679605,0.22516537173882994,0.040161935906661186,0.02027636076274671,28.404306876778094,21.951181876778094,3.42578125,0.67578125,2.3515625,3.2068468468468465,18.921231231231232,15.019609609609608,0.7767867867867868,75.0,1321.9486752517907,105.92775840166045,5
rocksdb,results,fwdrange,interleaved-fwdrange,699032.2,55998.3,0.0,,0.0,0.0,0.0,0.0,0.0,241.06,206.0,250.0,28513.6,48434.2,156005.0,120.0,0.0,11.6,0.1,8.1,2.0,37.2,26.0,26.0,25.71849217638691,26.0,26.0,0.9619416785206258,39743.57668278805,10101.169368421051,9988.80881934566,9832.340990042674,9821.257015647227,1.0,0.15510953058321483,0.9722882838902379,0.41583783783783784,11.126530583214793,5.741864864864865,0.00010054054054054052,58.356307675531205,116.31784868698881,42.185372214319585,20.942140825035562,85.37361388691322,77.19121020264713,8.182403216127312,19.377585623555298,20.070327254011822,18.937769900760138,18.80552773548631,1.7404441650737907,2.7515225637335528,1.8713636438144559,1.8190727865509424,8.42339739955506,2.063120465122619,2.2499430128724276,2.0652549428926252,2.045079741606841,28.421562722261733,8.380090905049787,7.89676775871266,5.216573501955904,6.928510624110953,1.278948948948949,9.20484984984985,17.866171171171167,0.5127777777777778,75.0,1758.0212456053976,140.82712806842156,5
rocksdb,results,fwdrangewhilewriting,balancing-fwdrangewhilewriting,657797.6,52695.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.73999999999995,210.06,292.2,52753.6,74441.6,247559.6,120.0,0.0,9.62,0.1,8.2,2.0,37.4,26.0,25.94665718349929,25.97908961593172,25.951209103840682,26.167567567567566,0.9704267425320054,39872.00537411096,10157.680048364153,9999.560549075391,9862.780798008534,9851.984460881935,1.0,0.15347652916073973,0.9694952759081463,0.4782745376955903,12.696209103840683,6.012648648648648,0.00016312944523470834,54.50065155610997,114.51996871666074,41.51459222380275,19.507467994310097,82.5465770248044,72.54087281350019,10.005704365498309,24.158116056743417,15.112938176509155,17.719617754267425,15.550200985730793,3.4499435107908076,2.002043845294719,2.3573800856263336,2.1963368654427455,8.472074620991648,2.7359599964038748,1.9188148889229613,2.0516214601345792,1.765680223033574,28.52783439278094,10.634320545874823,7.353604529694168,5.609907872510668,4.930001444701281,1.426981981981982,9.515735735735737,17.398918918918916,0.44304804804804804,75.0,395.6391032241447,31.67809969047947,5
rocksdb,results,fwdrangewhilewriting,default-fwdrangewhilewriting,657086.8,52638.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.71999999999997,210.17999999999998,289.2,52921.4,74938.6,202784.0,120.0,0.0,9.639999999999999,0.1,8.2,2.0,37.4,26.0,25.97339971550498,26.13499288762447,25.962588904694165,26.0,0.9660554765291606,39847.713428165014,10164.098372688477,10002.393375533427,9872.173681365577,9809.046918918919,1.0,0.15476244665718353,0.9651134712637812,0.4769473684210526,12.50557894736842,5.947623044096728,0.00015224751066856326,54.47424278760669,114.17085351284672,41.391228070175444,19.458368895211002,82.25707499944436,72.31900679565256,9.938068360764138,23.783897452602684,13.552715643892247,20.42918916418474,14.553203637591128,3.465475196979463,1.87446952930521,3.125357756656739,1.4727659264424786,8.467108607936549,2.6788027995341532,1.7435759673247468,2.262996756063925,1.7817330850137245,28.53086993243243,11.536676520270271,5.989083614864865,6.519552364864865,4.485557432432432,1.5128528528528526,9.560645645645645,17.38555555555555,0.45390390390390384,75.0,1358.0810726904394,108.75815831467528,5
rocksdb,results,fwdrangewhilewriting,imbalanced-fwdrangewhilewriting,570067.6,45667.18000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.21999999999997,213.9,375.0,55565.2,74169.8,207306.2,120.0,0.0,9.7,0.14,8.2,2.0,37.4,28.98933143669986,27.98933143669986,91.23115220483642,81.92019914651493,93.68648648648649,0.8407524893314365,34673.941396870556,9863.798786628733,8358.189850640114,8232.715652916075,8219.237106685634,1.0,0.1543798008534851,0.83327897980037,0.490456614509246,11.048371266002846,5.120741109530583,0.00011297297297297294,45.44136584976218,87.04677392369754,31.391322901849218,16.046645329540063,66.55775173364154,59.89097953663985,6.666772615131579,59.00676527493776,0.2847978265580548,0.3351022612353307,0.26431358074768846,6.392341225940168,0.08254846139313657,0.11292115403849574,0.07896093611086415,8.467690388339003,8.182281504450618,0.22488487645199426,0.04016687547838366,0.020357131958007812,28.495795919274535,22.042670919274535,3.42578125,0.67578125,2.3515625,2.6027777777777774,17.163888888888888,15.347777777777779,0.6033333333333334,75.0,683.3800553132809,54.80791001306324,5
rocksdb,results,fwdrangewhilewriting,interleaved-fwdrangewhilewriting,658598.8,52759.31999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.5,210.17999999999998,288.2,52818.6,73969.2,265412.8,120.0,0.0,9.66,0.14,8.2,2.0,37.6,26.0,26.0,25.952347083926032,25.989473684210527,25.98392603129445,0.9683214793741108,39966.19203698436,10157.023975817923,10053.132236130868,9882.090496443812,9873.944907539119,1.0,0.15558321479374113,0.9710042690125793,0.4735433854907539,12.64628733997155,6.039408250355619,0.00016863442389758175,54.75871188072324,114.03324131651182,41.350414888572786,19.591524419156,82.28700278799565,72.85282582598018,9.434177274571034,18.20154367720928,18.750037685866374,18.026384885090685,17.87485894992443,1.727211234775071,2.985712437766714,2.392349438511291,2.3289040565544985,8.469306736887772,2.072045937506946,2.2627716493131764,2.0747502116695746,2.0597389383980764,28.532877511557608,8.266260112908961,7.992728151671409,5.28506790096017,6.988821346017071,1.4283333333333332,9.369444444444444,17.411111111111108,0.4638888888888889,75.0,3662.644836726609,293.3938428120133,5
rocksdb,results,multireadrandom,balancing-multireadrandom,13294056.0,3366.0800000000004,0.0,,0.0,0.0,0.0,0.0,0.0,12.66,94.72,168.8,11102.0,35176.6,120715.0,120.0,0.0,11.4,0.3,8.1,2.0,37.2,26.0,26.0,26.0,25.643243243243244,25.989189189189187,0.5939928876244666,24525.18515504979,6269.517324324324,6171.477085348507,6101.455991465149,5982.734914651494,1.0,0.15489758179231866,0.9514164487205308,0.7231763869132288,45.21656899004268,11.951045519203413,0.0005000000000000001,72.48063129139625,138.67411317289742,50.3773352299668,26.098281175912756,109.14373656566723,97.12297752656028,12.02075972950747,29.030220111353128,21.819834960937506,27.460916073968708,18.812005801031297,3.1760648434721728,3.455796201269114,3.2544240337171053,2.1344740176031296,8.432190993025497,2.7675846821552996,1.6570764902475716,2.3136629053064293,1.693866915316195,28.429413006756754,4.463576858108108,13.28589527027027,7.936887668918919,2.7430532094594597,4.720000000000001,17.808333333333334,15.90111111111111,3.0094444444444446,75.0,99877.22175000665,25.28600403385255,5
rocksdb,results,multireadrandom,default-multireadrandom,13216338.4,3346.2599999999998,0.0,,0.0,0.0,0.0,0.0,0.0,12.739999999999998,95.24,169.0,11223.2,35580.6,152213.2,120.0,0.0,11.38,0.3,8.1,2.0,37.4,26.0,25.82176386913229,26.0,25.491607396870556,25.91394025604552,0.5908648648648649,24379.245890469418,6169.754567567567,6169.187768136558,6116.442487908962,5923.860375533428,1.0,0.15513798008534857,0.9410571862927112,0.7231607396870553,45.38836842105263,11.984731152204835,0.0005000000000000001,72.00754868782228,138.101149654383,50.17574679943102,25.92126600284495,108.12361467872067,96.13479681526715,11.988818073213015,25.670998085770805,23.33936870999289,30.201245568656653,16.923184399448793,2.179217803998489,4.180908242020804,4.108702160939723,1.519989812077703,8.429451843956286,2.558477308943465,1.7492220394302738,2.483880502909719,1.6378719926728293,28.421674964438125,3.9479740842816495,13.799826080192034,8.160881934566145,2.512992865398293,4.830120120120119,18.035690690690693,15.900540540540538,2.9722222222222223,75.0,181299.16248786155,45.912884901735374,5
