arch,variant,label,phase,limit,qps_mean_steady,qps_std,qps_median,runs,qps_mean_full_phase,runs_full_phase
gold,firsttouch,First Touch,normal,max,1659.9706240500102,34.05502163750994,1663.610423004502,47,1661.7162159188886,93
gold,firsttouch,First Touch,6G,6G,1682.4904674702746,20.116576286767575,1680.8880469076155,47,1676.9052876205028,93
gold,firsttouch,First Touch,4.5G,4500M,1675.6868788178817,25.906840392025874,1679.2155403416336,46,1673.6432897159705,93
gold,firsttouch,First Touch,3G,3G,1659.1151929278244,27.178550075672657,1661.546678698193,46,1662.1084257690052,93
gold,firsttouch,First Touch,release,max,1641.6493427458038,90.3496572441929,1659.945770336955,47,1651.3345146821994,93
gold,interleaved,Interleave,normal,max,1746.4593478043223,36.094296838949816,1754.563234284911,49,1751.316534457611,98
gold,interleaved,Interleave,6G,6G,1755.6341979826661,16.57403673137265,1754.9187890446665,49,1750.6523778928497,97
gold,interleaved,Interleave,4.5G,4500M,1751.7595841191608,14.265757695265092,1751.884049683854,48,1754.8106080177388,97
gold,interleaved,Interleave,3G,3G,1756.0710020759134,15.425394116282453,1754.5988839464333,49,1754.0094268271584,98
gold,interleaved,Interleave,release,max,1756.988441547083,17.940154561464524,1758.5183596509212,49,1753.8484819864314,97
gold,numa-balancing,Linux Vanilla,normal,max,1287.4432763935952,210.72409610487856,1232.663284280122,35,1225.5920988064559,67
gold,numa-balancing,Linux Vanilla,6G,6G,1313.8415028742081,201.3410818454266,1247.515655315351,36,1320.9088371355263,73
gold,numa-balancing,Linux Vanilla,4.5G,4500M,1438.2838434554653,211.1868756347478,1396.7044441527307,40,1411.1682814371613,78
gold,numa-balancing,Linux Vanilla,3G,3G,1417.8293708536758,208.98480285183823,1332.1684426173545,39,1402.7623755629147,78
gold,numa-balancing,Linux Vanilla,release,max,1495.2613012383285,201.47115538512952,1412.1478046367256,41,1471.6412013155834,81
gold,repl-bound,SPARe (First Touch),normal,max,2676.8114450899425,282.228598090898,2711.449216473912,72,2697.7384292769684,146
gold,repl-bound,SPARe (First Touch),6G,6G,1403.7153436234328,99.66228773869119,1420.8196072924409,39,1411.1349275818993,76
gold,repl-bound,SPARe (First Touch),4.5G,4500M,1005.1168077645002,6.370103977076901,1004.5915277707592,29,997.065894238763,57
gold,repl-bound,SPARe (First Touch),3G,3G,749.5672924706699,15.491603127651517,749.5676516271533,21,743.1783951001478,43
gold,repl-bound,SPARe (First Touch),release,max,2609.925163088296,181.28455478929448,2635.8688888100924,70,2543.4613422123234,125
gold,repl-firsttouch,SPARe (First Touch),normal,max,2278.047389257843,166.54176821713324,2291.5450151075647,62,2280.1172765699685,124
gold,repl-firsttouch,SPARe (First Touch),6G,6G,2226.626851297489,141.71649104495947,2243.031533558537,61,2217.0464691943266,120
gold,repl-firsttouch,SPARe (First Touch),4.5G,4500M,1381.5792514131017,74.058155315224,1393.8301037208928,39,1375.2316834095557,73
gold,repl-firsttouch,SPARe (First Touch),3G,3G,1267.270936517464,86.40331043404305,1282.845622797075,36,1263.4281456304261,71
gold,repl-firsttouch,SPARe (First Touch),release,max,2470.8691389230257,184.27431966405607,2497.2998507245634,67,2411.206341993109,125
gold,repl-interleaved,SPARe (Interleave),normal,max,2017.9321374119434,122.51822428975174,2034.1802576384212,55,2029.1392616143585,112
gold,repl-interleaved,SPARe (Interleave),6G,6G,2055.185311259575,108.73465124586322,2062.243821901857,56,2033.3818291148636,112
gold,repl-interleaved,SPARe (Interleave),4.5G,4500M,2019.397891829753,149.1487180911502,2038.7299776453676,55,2003.2818661330298,97
gold,repl-interleaved,SPARe (Interleave),3G,3G,1908.8585372007349,164.79219656208633,1931.2773868411216,53,1909.6905923674806,105
gold,repl-interleaved,SPARe (Interleave),release,max,2079.3264821398056,133.95991017282947,2093.263141335225,57,2066.5464556139186,110
gold,repl-dynamic,SPARe (Dynamic),normal,max,2673.197882760986,188.78698747828503,2697.47865618046,71,2677.9698324750925,144
gold,repl-dynamic,SPARe (Dynamic),6G,6G,2032.9199105345583,261.9727036256663,2087.0094200274452,56,1994.1220196688337,95
gold,repl-dynamic,SPARe (Dynamic),4.5G,4500M,2016.1546554139074,160.2702434155377,2047.6209679949088,55,2020.9645706327024,106
gold,repl-dynamic,SPARe (Dynamic),3G,3G,1896.090140279051,165.41708391024966,1929.638478317659,52,1900.3600674671368,103
gold,repl-dynamic,SPARe (Dynamic),release,max,2636.7449005314625,139.35767969345136,2655.5457368202115,71,2574.4429476231967,120
