label,dataset,runner_name,tag,recall,total_time,qps,samples,local_pct,local_pct_skt0,local_pct_skt1,local_pct_skt2,local_pct_skt3,ipc,inst,exec,inst_skt0,inst_skt1,inst_skt2,inst_skt3,exec_skt0,exec_skt1,exec_skt2,exec_skt3,cpu_balance,l3hit,l2miss,l3miss,l3mpi,l2mpi,upi_to_mc,upi_in_gb,upi_out_gb,upi_out_pct,upi_in_pct,mem_bw_gb,mem_read_gb,mem_write_gb,mem_read_gb_skt0,mem_read_gb_skt1,mem_read_gb_skt2,mem_read_gb_skt3,data_mem_gb,data_mem_gb_node0,data_mem_gb_node1,data_mem_gb_node2,data_mem_gb_node3,pagetable_mb,pagetable_mb_node0,pagetable_mb_node1,pagetable_mb_node2,pagetable_mb_node3,warmup_s,qps_std,runs
ann,gist-960-euclidean,annoy,default,0.97457,8.17381909896549,122.35565539007743,8.206896551724139,44.45402298850575,45.53639846743295,18.058908045977013,22.08955938697318,21.18151340996169,0.08412356321839082,17776.337940613026,0.0669204980842912,8490.90546934866,3091.8794827586207,3095.7737260536396,3097.779037356322,0.12642241379310346,0.04596264367816092,0.046245210727969346,0.04581896551724138,0.3594916689936123,0.02414750957854406,194.83381704980843,187.73446360153258,0.010564655172413794,0.010964894636015325,0.5264894636015325,37.11125102894516,72.16120638207914,25.973419540229884,13.071479885057473,71.77569877536817,67.64666900985543,4.12902972341954,65.14833794020146,0.7567592483462044,0.849669329763829,0.8919019723943367,15.841898382851904,10.451357134457293,1.7485057567727977,1.8517431883976376,1.7902923032241764,33.74895608836207,18.1796875,4.624680091594827,4.405525996767241,6.5390625,0.0,1.3274385371661406,29
ann,gist-960-euclidean,annoy,imbalanced-memory,0.97457,8.45624578144816,118.26307050390174,8.448275862068966,46.96168582375479,46.81800766283525,96.1661877394636,64.05124521072797,79.51484674329502,0.0810344827586207,17251.30510057471,0.06451149425287357,8394.104324712644,2936.5214942528737,2950.1560105363988,2970.523601532567,0.125,0.04423371647509578,0.043912835249042145,0.04397988505747126,0.3468202822989709,0.024497126436781612,187.92233237547893,180.93016762452106,0.010498132183908045,0.01090603448275862,0.507198275862069,34.52165165342133,67.22472176855095,24.382982120051086,12.391962005108557,69.33808890273288,66.04723911095397,3.290849726300587,65.81552278832915,0.05675808376736111,0.10252416618025623,0.07243430185135297,9.921784011796975,9.806867047744692,0.04764556884765625,0.03417128347345696,0.033100128173828125,31.560191421216476,27.919566421216476,0.62890625,0.484375,2.52734375,0.0,0.9402571542115297,29
ann,gist-960-euclidean,annoy,interleaved-memory,0.97457,3.8002547770689676,263.1465460489339,3.8275862068965516,24.0,24.04310344827586,24.247126436781606,24.100574712643677,24.025862068965516,0.17077586206896553,37941.64652298851,0.14149425287356324,9468.583477011494,9500.274798850574,9483.930747126438,9488.855603448275,0.14089080459770115,0.14183908045977014,0.1409770114942529,0.14109195402298852,0.977170816386912,0.012902298850574714,418.03385057471263,407.1844252873563,0.010743390804597701,0.011029597701149424,0.6910344827586207,113.14233628547055,181.88681590113146,66.22533524904215,41.04956896551724,163.77653323118713,154.83115380298133,8.945379680765086,38.43818115234375,38.8147752503143,38.75811057605963,38.82008744163075,9.947928593076508,2.6156993624807776,2.4553330191250504,2.429785443448472,2.4471136290451576,31.52482938218391,9.6611328125,6.912872665229885,5.990930316091954,8.95989358836207,0.0,1.3100022626830192,29
ann,gist-960-euclidean,annoy,numa-balancing,0.97457,3.871700440310382,258.3044808703138,3.8275862068965516,25.82183908045977,25.637931034482758,26.73563218390805,25.382183908045977,25.635057471264368,0.16991379310344829,37446.035775862074,0.13956896551724138,9337.91790229885,9783.081206896552,9180.2191954023,9144.817270114943,0.13899425287356323,0.14545977011494254,0.13669540229885058,0.13614942528735632,0.92991747802556,0.013074712643678162,410.59114942528737,399.82459770114946,0.01067816091954023,0.010971264367816091,0.6839080459770115,109.04019438644934,175.91346730199353,64.03591954022988,39.52705938697318,159.59426679238507,151.7522762886135,7.841990279274426,37.824541773302805,44.20479697041128,35.1612576329023,34.56168024874282,9.945929549206262,1.3519846598307292,6.281689161541818,1.1730062879365066,1.1392486835348195,31.62360811781609,7.632004310344827,15.783539870689655,3.193842043821839,5.01422189295977,0.0,2.318082376663627,29
ann,gist-960-euclidean,faiss,default,0.97873,18.650979345937486,53.667498164871326,18.625,36.60544590643275,36.4922331871345,54.095248538011695,41.84778874269006,67.83841374269007,0.0523936403508772,4241.001133040935,0.01742288011695907,1651.12218000731,856.132021381579,873.6210093201754,860.1259804459064,0.024420869883040937,0.011970760233918128,0.01222861842105263,0.01219828216374269,0.502449391511392,0.07172605994152047,23.4164192251462,21.762882858187133,0.004957253289473685,0.00535015899122807,0.6152708333333333,36.582527969449586,68.52324010480915,24.765928057992202,13.212754325048733,61.70595630458101,60.767261295640104,0.9386943203795189,60.398283792186696,0.11330102501269834,0.1827523627345161,0.07292478285173719,14.61820398632259,9.332878817038148,1.6934970322408174,1.814888453897759,1.7769392101224197,33.43556100525805,17.780946071376743,4.617616883478995,4.444805519778498,6.592130139130762,0.0,1.7183547727512514,16
ann,gist-960-euclidean,faiss,imbalanced-memory,0.97873,17.999399894499817,55.583586994702856,18.0625,40.2827549879601,40.22409270725834,79.3500924492604,39.82975361197111,67.72958591331269,0.05542752407980737,4364.020193068455,0.018276466288269698,1871.1175041924666,834.9521600877193,839.3094765866873,818.6413123495012,0.027623301513587894,0.011507675438596491,0.011343416752665978,0.011107671138630891,0.42423920367739837,0.06664011437908497,24.53627450980392,22.901922084623322,0.005073355263157895,0.00545327657378741,0.5823549836601307,35.505654476495145,66.05094024143803,23.89888541308336,12.837577757711271,63.139660824571315,62.36753024116676,0.7721303910818713,62.06042520371507,0.05826290984886964,0.18285595411281633,0.06598641977221605,8.593646506324928,8.478732283475434,0.047645635075039335,0.034168243408203125,0.033100128173828125,28.44239297452808,24.80194509615798,0.6290690104166666,0.484375,2.52734375,0.0,1.24242642243287,16
ann,gist-960-euclidean,faiss,interleaved-memory,0.97873,8.821356738310364,113.45992597502288,8.758620689655173,25.0,23.5617816091954,24.687643678160917,25.77634099616858,24.7272030651341,0.09218390804597701,8808.110024904214,0.033700191570881236,2139.7842021072797,2195.184948275862,2239.9567940613024,2233.1841647509577,0.031418582375478926,0.03258333333333334,0.03321072796934866,0.0327595785440613,0.8548669472567414,0.0415852490421456,47.16139367816092,44.84808045977012,0.004932318007662835,0.005202816091954023,0.7083199233716474,94.85008692248114,155.42441375568725,56.50477330779055,34.28295019157088,134.13402966355363,132.4921935773243,1.6418367653331536,33.10343585181693,33.23636353568008,33.18874108091625,32.963653942356615,8.629217131384488,2.290216913625198,2.1309408995383547,2.098118014719294,2.109940232901738,28.47564019097222,9.048362293462644,6.048921665469349,5.344719079262452,8.033887841235632,0.0,3.4242165936149185,29
ann,gist-960-euclidean,faiss,numa-balancing,0.97873,10.423546483962935,96.01774393754964,10.407407407407407,25.244444444444444,24.53367003367003,28.196632996632996,23.215488215488215,22.87171717171717,0.09642087542087542,7424.54606060606,0.0267979797979798,1869.2280437710438,2054.70901010101,1775.4346801346803,1725.1746262626261,0.027474747474747478,0.030508417508417512,0.026212121212121214,0.025693602693602696,0.7694802768825655,0.04934343434343434,36.01689898989899,33.95119865319865,0.004512693602693602,0.0048103367003367,0.7078013468013468,79.16271075007892,133.93109397687815,48.63886083052749,28.5341189674523,112.17785536024304,110.60462769623317,1.5732287129103535,33.44561724339752,37.18740860427189,21.20402025134154,18.76758194904777,8.624788618248319,1.6102087836474281,5.269388519955003,0.9863002751411413,0.7588923290522411,28.57052293771044,8.115133101851852,13.352374000420875,2.839625420875421,4.264439972643097,0.0,2.8360949459283065,27
ann,gist-960-euclidean,usearch,default,0.97754,1.3506310049654937,740.454530000173,1.4137931034482758,26.810344827586206,28.75862068965517,26.551724137931036,27.53448275862069,29.5,0.18775862068965518,38034.63913793103,0.1413793103448276,9418.573965517242,10286.985344827586,9154.298448275864,9174.780862068967,0.14,0.15327586206896554,0.1356896551724138,0.13741379310344828,0.7069696463158001,0.12017241379310345,64.88431034482758,56.13879310344828,0.0014724137931034483,0.0016948275862068965,0.683448275862069,43.156528488685346,82.12773370150863,29.56896551724138,15.339080459770114,63.39568948679957,58.1929800309806,5.202708782327587,2.3731635573814653,53.73482186153017,1.048674737338362,1.0363190328663792,13.121770990305933,5.805179859029836,3.674309697644464,1.8518337381297145,1.7904395399422481,37.64870689655172,19.511988146551722,5.71484375,5.1484375,7.2734375,0.0,6.792385793359259,29
ann,gist-960-euclidean,usearch,imbalanced-memory,0.97754,1.4550708212412968,687.2948526778905,1.2758620689655173,28.051724137931036,27.75862068965517,94.27586206896552,59.758620689655174,83.87931034482759,0.17275862068965517,36023.07534482759,0.13310344827586207,10305.51724137931,8542.681034482759,8479.77275862069,8695.103448275862,0.15362068965517242,0.12810344827586206,0.12517241379310345,0.12982758620689655,0.7578657127251597,0.12965517241379312,58.14086206896552,49.69620689655173,0.0013758620689655172,0.0016172413793103448,0.6751724137931036,39.97609021417026,75.27614628232759,27.26867816091954,14.359195402298852,59.742145575161636,54.88521720096983,4.856928710937501,54.67370184536638,0.04763351966594828,0.1066022359913793,0.05728077855603448,7.218135439116379,7.10321044921875,0.04764556884765625,0.0341796875,0.033100128173828125,26.062769396551722,22.422144396551722,0.62890625,0.484375,2.52734375,0.0,5.589708442697266,29
