metric,local-1node,firsttouch-allnodes,balancing-allnodes,interleaved-allnodes,imbalanced-allnodes,repl-allnodes
recall,0.97791,0.97791,0.97791,0.9779100000000001,0.97791,0.9779099999999998
total_time,1.3177855064838706,0.901747108098765,1.1012342747789454,0.8880412581707384,1.4034962845932215,0.6950987061392442
qps,759.2809721465786,1109.0382434177038,918.3205341770795,1126.6666030646038,712.5253040661369,1441.3908501408473
samples,1.3387096774193548,1.0,1.1157894736842104,1.0,1.4067796610169492,1.0
local_pct,99.0,49.97530864197531,51.57368421052632,50.0,49.61864406779661,95.9873417721519
local_pct_skt0,99.0,50.111111111111114,66.39893617021276,50.46341463414634,49.398305084745765,93.88607594936708
local_pct_skt1,18.427419354838708,49.123456790123456,33.861702127659576,49.15853658536585,90.72033898305085,98.0126582278481
lmb_gb_skt0,49.59728610131048,19.58860325168919,21.91467544880319,19.36043701171875,24.454901333512932,44.93346354166667
lmb_gb_skt1,0.01794039818548387,17.81425517314189,9.577417834051724,18.689378955696203,0.3985508510044643,41.98510116185897
rmb_gb_skt0,0.011624243951612902,16.772422388980264,17.600841433502907,18.5038467035061,0.019208635602678572,0.8871143196202531
rmb_gb_skt1,0.00581999747983871,17.765840604707794,10.268835979959238,17.908870648734176,22.746986126077587,2.5043569711538463
ipc,0.6611290322580645,0.5103703703703704,0.5638421052631579,0.5110975609756098,0.37254237288135594,0.6615189873417722
inst,2251.816451612903,3270.3927160493827,2699.292736842105,3317.1635365853654,2175.185593220339,4189.799493670886
inst_skt0,2241.326935483871,1657.3034567901234,1755.4127127659576,1685.9581707317075,1095.9184745762711,2128.3067088607595
inst_skt1,10.489193548387098,1613.0893827160494,939.8938829787234,1631.2048780487803,1079.2672033898305,2061.492658227848
afreq,0.9998387096774194,1.0,1.0,1.0,1.0,1.0
freq,0.025241935483870968,0.04950617283950617,0.035894736842105264,0.04963414634146342,0.04355932203389831,0.047721518987341775
cpu_balance,0.004722515285797485,0.9730318266329379,0.5398303960910322,0.9575485323030426,0.8447771735206959,0.9511065790213997
llc_rd_miss_lat_ns,113.49225806451612,179.84432098765433,168.24057894736842,180.1737804878049,253.78406779661017,115.14253164556962
l3hit,0.1293548387096774,0.09259259259259259,0.09431578947368421,0.09268292682926829,0.09711864406779662,0.2169620253164557
l2miss,4.522258064516129,6.368395061728395,5.213526315789474,6.414878048780488,4.171864406779661,8.204556962025316
l3miss,3.861612903225806,5.671851851851852,4.633684210526316,5.713170731707318,3.702118644067797,6.330506329113924
l3mpi,0.0017056451612903225,0.0017061728395061726,0.0017031578947368422,0.0017,0.0016983050847457627,0.0014987341772151898
upi_in_gb,0.0347255386844758,43.41060173128858,34.471697060032895,44.054274366425304,28.45563352423199,4.047305305577532
upi_out_gb,0.22290519468245967,63.77132366415895,54.509913548519734,64.67980778391768,49.830661745233044,9.790894976265824
upi_out_pct,0.0,75.53703703703704,64.40558510638297,76.65243902439025,58.84322033898305,11.132911392405063
upi_in_pct,0.0,51.22530864197531,40.513297872340424,52.042682926829265,33.30296610169491,4.287974683544304
mem_bw_gb,60.193778194304436,95.65472023547535,78.73358499278193,97.40186411830358,62.59986063294492,107.56824536700583
mem_read_gb,58.67141822076613,85.99787356954226,72.36782428243886,87.35695982142857,55.89900018207098,103.89658498364825
mem_write_gb,1.5223595010080644,9.65684639084507,6.365761028787364,10.044904017857142,6.700860533633475,3.671661064680232
mem_read_gb_skt0,58.593355043472776,44.608219905369715,38.707452379452285,43.678234374999995,55.57376580707098,54.17357013081396
mem_read_gb_skt1,0.07806231098790321,41.389653664172535,33.714033203125,43.67872572544643,0.3252337956832627,49.72301530704942
mem_write_gb_skt0,1.4910524036038306,5.081834286971831,4.09410166750672,5.009033342633929,6.6212689519332635,2.7210197129360467
mem_write_gb_skt1,0.03130741242439516,4.5750119663292255,2.2725449537194296,5.035870954241071,0.07959158170021186,0.9506404433139535
data_mem_gb,2.5171269755209646,2.496584721100636,2.477648243151213,2.4784466334751674,2.477390450946355,4.4019927978515625
data_mem_gb_node0,2.350032898687547,1.4320844503549428,1.4444331118935032,1.2569365910121373,2.3469751002424855,2.3371767412152207
data_mem_gb_node1,0.16709407683341734,1.0645002707456932,1.033215412340666,1.22151004246303,0.13041535070386984,2.064816056636342
pagetable_mb,13.110761088709678,13.545572916666666,13.877939967105263,13.759430803571428,13.686142743644067,17.81297971491228
pagetable_mb_node0,8.591702368951612,7.860977564102564,7.898375822368421,6.641238839285714,9.393173993644067,9.49657346491228
pagetable_mb_node1,4.519058719758065,5.684595352564102,5.979564144736842,7.118191964285714,4.29296875,8.31640625
tma_l3_bound,4.104838709677419,4.055555555555555,4.085106382978723,4.014285714285714,3.0,4.30188679245283
tma_dram_bound,26.43548387096774,31.833333333333332,29.95212765957447,31.785714285714285,34.889830508474574,26.9811320754717
tma_l1_bound,4.016129032258065,3.0,2.9893617021276597,3.0,2.0,3.981132075471698
tma_store_bound,0.0,0.0,0.0,0.0,0.0,0.0
warmup_s,0.0,0.0,0.0,0.0,0.0,0.0
qps_std,18.19029288395288,9.437094063107104,95.79596868569381,23.798641272488968,3.711902793799303,52.753719684865864
runs,62.0,81.0,95.0,82.0,59.0,79.0
