metric,firsttouch,balancing,interleaved,repl-no-unreplication,repl-main-bound,repl-main-firsttouch,repl-main-interleaved
readratio,95.0,95.0,95.0,95.0,95.0,95.0,95.0
writeratio,5.0,5.0,5.0,5.0,5.0,5.0,5.0
read_bw_gb,86.801493165,82.4243302364,92.82194384740001,144.871060337,144.2382097506,113.448116602,104.6637885378
write_bw_gb,3.9794030914000005,3.8005999574000002,4.2375843736,0.256774978,0.2582912632,0.2020888108,0.19277507840000002
read_bw_wall_gb,86.80962307413333,82.43331063808,92.83245512021334,144.88261752149333,144.25362077013332,113.45943543808,104.67355541503998
write_bw_wall_gb,3.9795849898666673,3.800908977493333,4.238038084266667,0.25679047338666666,0.25830334464,0.20209554773333327,0.19278667775999997
wall_s,30.0,30.0,30.0,30.0,30.0,30.0,30.0
read_bw_std,0.06941942463039999,0.0597054034016,0.070892993542,0.10809050429059996,0.11349195522759999,0.0895559687428,0.08077405217199998
write_bw_std,0.1001752517378,0.0851737929094,0.11945612124939994,0.0029022490483999997,0.0034679041282,0.0029512428352,0.0025686682244
read_bw_std_pct,0.0819869005551929,0.07400076252600532,0.07816482151009746,0.07624472018794357,0.08042003591226839,0.08076701751464378,0.07897530083801674
write_bw_std_pct,2.582754417316992,2.278936687393319,2.8934664054273114,1.1573958950068508,1.374396227123463,1.4997550673212092,1.3586741333323658
samples,50.4,50.4,50.4,50.8,50.8,51.0,50.2
local_pct,50.363058823529414,50.81623529411765,49.139607843137256,93.7356862745098,93.48635294117648,75.67843137254901,72.08486274509804
local_pct_skt0,52.90737254901961,53.74980392156863,50.2483137254902,94.80682352941177,94.70235294117647,68.2,64.09662745098039
local_pct_skt1,47.232862745098046,46.323921568627455,48.717098039215685,92.95254901960784,92.48619607843138,91.09803921568627,91.13592156862745
lmb_gb_skt0,26.53195258259554,28.468263791300807,23.297328125,73.7108386182598,69.1617578125,52.11153651460584,50.06832192095588
lmb_gb_skt1,18.163495444616508,14.512976027366566,24.585041579164912,70.75352355317128,73.92909663865547,37.534560759110825,28.770285029636852
rmb_gb_skt0,18.388693458600194,14.109189725499572,22.943174728289755,2.81779128370098,7.116484145220587,1.879656862745098,2.0279695396969735
rmb_gb_skt1,24.49809596946023,25.620357311470787,22.428885258672082,5.782371400122549,0.8534266300270108,21.149852608650168,26.612291341145834
ipc,0.40124313725490196,0.38831921568627453,0.4142329411764706,0.6216376470588235,0.6191450980392157,0.49454901960784314,0.45277568627450987
inst,2652.195334901961,2517.4089215686276,2825.112840784314,4443.2418894117645,4433.331741960785,3458.839647058824,3210.6575780392154
inst_skt0,1355.9172737254903,1306.585836862745,1410.623785882353,2220.3868643137257,2214.876745098039,1666.1620392156863,1574.4862682352941
inst_skt1,1296.2783380392157,1210.8234,1414.4890156862743,2222.855026666667,2218.455151372549,1792.677254901961,1636.1712690196077
afreq,0.9939686274509804,0.994049411764706,0.994726274509804,0.9951552941176469,0.995076862745098,0.9949803921568627,0.9963819607843136
freq,0.054962352941176476,0.05488235294117647,0.05488313725490196,0.054370196078431375,0.054450196078431365,0.054588235294117646,0.05502117647058824
cpu_balance,0.9539343087207468,0.9239602471788361,0.9940416708028866,0.990089206500168,0.9834748395094982,0.9072906239244934,0.9622796645924568
llc_rd_miss_lat_ns,289.4132956862745,303.62724,271.6916650980392,129.86124392156862,130.58942980392158,183.67313725490197,201.1648117647059
l3hit,0.061543529411764705,0.06579686274509804,0.058217254901960794,0.09108313725490198,0.09228627450980394,0.09188235294117648,0.09004627450980393
l2miss,44.042822745098036,41.680321568627456,47.02926039215686,72.43736470588235,71.93574039215686,55.79701960784314,52.836196078431364
l3miss,42.36864784313725,40.08726745098039,45.2563537254902,67.44577098039215,66.84571137254902,51.67333333333333,48.87573803921568
l3mpi,0.015025835294117645,0.014936619607843139,0.015049835294117648,0.014122752941176469,0.014041145098039215,0.014014117647058824,0.014339466666666667
upi_in_gb,44.863561059283086,42.10270263939951,48.10091905713848,4.612643956035539,5.072499008118873,24.61574728094363,27.578731495863973
upi_out_gb,67.56285282628676,64.89596081188726,70.66379111136642,11.887723017769607,12.703130183823529,44.16722154564951,48.442299208792896
upi_out_pct,80.05174509803922,76.88858823529412,83.71354901960784,13.682156862745098,14.66607843137255,52.19411764705882,57.29982352941177
upi_in_pct,52.97178431372549,49.75374509803922,56.91686274509804,4.998156862745098,5.567235294117647,28.904901960784315,32.42464705882353
mem_bw_gb,123.8043075245098,117.49503003370096,130.956147097886,143.13764975413602,143.1608535546875,117.39822696997548,109.02314200367645
mem_read_gb,83.43496459558824,79.28988060968138,88.14711748161764,138.7114436795343,138.69736481770832,109.09581784313725,100.29373510263478
mem_write_gb,40.36934323912378,38.20515023590686,42.809030307904415,4.426205963541666,4.463488966758578,8.302408547028186,8.729406939338237
mem_read_gb_skt0,48.543281067708335,51.042164592524514,44.10523727941177,69.27081688648897,68.72354272748161,71.00851086933211,70.40488924632352
mem_read_gb_skt1,34.891683253676476,28.247715901501227,44.04188012561275,69.44062671568628,69.9738220511642,38.08730754825367,29.88884566482843
mem_write_gb_skt0,23.844069738817403,25.1611393359375,21.386154401807595,1.432318020067402,1.4511200337009804,5.758082095588235,6.528857000612746
mem_write_gb_skt1,16.525273657322305,13.044010361519607,21.422875746783085,2.9938876738664217,3.0123687392769605,2.5443267608762254,2.200549632352941
data_mem_gb,1.2746338198792702,1.273698610193589,1.2757593045702167,2.207571142159256,2.198403144088446,1.9206955781824449,1.9235240559297448
data_mem_gb_node0,0.7452908824845856,0.8097255766625497,0.6524284273035386,1.0838209063960056,1.0748214254940258,1.129359005797143,1.1820840819115732
data_mem_gb_node1,0.5293454356474034,0.46398042686312807,0.623338529998181,1.1237535196940105,1.1235760638667087,0.7913360122979857,0.7414343946868298
pagetable_mb,10.323526348039216,10.390810049019608,10.367857843137255,12.883657781862746,12.914825674019607,13.377078431372547,13.828359987745097
pagetable_mb_node0,5.846599877450981,6.422979166666667,5.121570465686275,5.9233054534313725,6.036033700980392,6.06413449754902,6.16836550245098
pagetable_mb_node1,4.477539215686274,3.967830882352941,5.24628737745098,6.960352328431372,6.878791973039216,7.312989889705882,7.659994485294118
