metric,local,firsttouch,balancing,interleaved,imbalanced
recall,0.97873,0.97873,0.97873,0.97873,0.97873
total_time,10.5945942082501,10.662908514249978,9.618461397749948,9.595042942222285,14.376844735999915
qps,94.39047004785947,93.7999309848967,103.98470760316684,104.22626851322661,69.58433436258974
samples,10.625,10.75,9.583333333333334,9.555555555555555,14.333333333333334
local_pct,99.0,49.923863636363635,50.16296296296296,50.0,53.27936507936508
local_pct_skt0,99.0375,50.00568181818182,50.07222222222222,49.953086419753085,53.17619047619048
local_pct_skt1,6.755681818181818,49.91590909090909,50.38055555555555,49.88765432098765,89.17619047619047
lmb_gb_skt0,86.85446888316761,29.158549360795455,23.36778603205605,24.097996238425925,35.70853949652778
lmb_gb_skt1,0.001717862215909091,14.611977317116477,24.999535648406496,24.195496961805556,0.4911962494970307
rmb_gb_skt0,0.01989413174715909,14.650504927201705,18.384533239293983,23.687897858796294,0.018961588541666668
rmb_gb_skt1,0.0026100852272727274,27.620984996448865,20.010474892268103,23.287458664021162,24.64768610837947
ipc,0.13930681818181817,0.13836363636363636,0.14828703703703702,0.14743209876543212,0.11564285714285714
inst,378.51352272727274,372.0711818181818,409.7716574074074,414.2832962962963,279.80257936507934
inst_skt0,374.6888977272727,189.40754545454547,203.96853703703707,206.5663950617284,155.09679365079364
inst_skt1,3.824522727272727,182.664,205.80307407407406,207.71696296296298,124.70556349206349
afreq,0.7691590909090908,0.7778636363636364,0.7758981481481482,0.7777777777777778,0.7813095238095237
freq,0.018840909090909092,0.01863636363636364,0.01887962962962963,0.018987654320987656,0.017452380952380952
cpu_balance,0.010204877418363385,0.9650950556485571,0.9776665117368496,0.9839096568542356,0.8048783315320293
llc_rd_miss_lat_ns,165.94885227272727,235.9075909090909,208.68813888888891,207.8622839506173,325.04950793650795
l3hit,0.032909090909090916,0.033875,0.030250000000000003,0.029753086419753088,0.040674603174603176
l2miss,1.708784090909091,1.3729431818181819,1.5437314814814815,1.6593703703703704,1.0377698412698413
l3miss,1.6216931818181817,1.2969431818181818,1.469074074074074,1.5799012345679013,0.9768650793650794
l3mpi,0.004272613636363636,0.0035055681818181817,0.003605833333333333,0.0038343209876543216,0.0034666666666666665
upi_in_gb,0.03496893865411932,44.33522938121449,48.71045817057291,49.65591711275077,29.843773406498016
upi_out_gb,0.09826574707031249,67.04113926003195,71.20360038700811,72.21099151234567,53.10116829427083
upi_out_pct,0.0,79.17642045454545,84.17175925925926,85.36141975308641,62.645634920634926
upi_in_pct,0.0,52.22102272727273,57.40277777777778,58.5679012345679,35.111111111111114
mem_bw_gb,91.0480702792081,103.47527019708807,111.38021248372395,112.96683651620371,77.08903197854663
mem_read_gb,90.92473804820668,91.21462704190341,99.84225989221643,101.13482132523148,66.80357466052827
mem_write_gb,0.12333266379616478,12.260642555930398,11.537952727141203,11.832014491705246,10.285457736545139
mem_read_gb_skt0,90.86849381880326,59.86778530051492,48.169338505497684,50.49673479697145,66.46214729042659
mem_read_gb_skt1,0.05624365234375,31.34684206321023,51.67292158564815,50.63808640769676,0.3414282846602183
mem_write_gb_skt0,0.09390760387073864,7.978281893643465,5.782124773943866,6.200117127218364,10.194981367807541
mem_write_gb_skt1,0.02942509321732955,4.28236006303267,5.755827817563659,5.6318970389660485,0.09047616722470238
data_mem_gb,4.052460033243353,4.053467798233032,4.0541117208975335,4.053647043675552,4.0531168226211784
data_mem_gb_node0,3.935743592002175,2.613779913295399,2.07978660442211,2.0580838097466363,3.9330747180514862
data_mem_gb_node1,0.11671644124117765,1.4396878849376331,1.9743251164754232,1.995563233928916,0.12004210456969246
pagetable_mb,16.979638671875,17.085222833806817,17.32378833912037,17.30932195216049,17.2950675843254
pagetable_mb_node0,12.456201171875,9.54497958096591,8.548253038194444,8.064771412037038,12.580223834325396
pagetable_mb_node1,4.5234375,7.540243252840909,8.775535300925926,9.244550540123457,4.71484375
tma_l3_bound,4.106944444444444,0.908234126984127,1.6103174603174601,0.4975749559082892,2.2833333333333337
tma_dram_bound,77.98409090909091,83.83977272727273,82.97962962962963,83.60864197530864,87.15873015873017
tma_l1_bound,2.6556818181818183,0.046590909090909086,0.0,0.022222222222222223,0.023809523809523808
tma_store_bound,0.0,0.0,0.0,0.0,0.0
warmup_s,0.0,0.0,0.0,0.0,0.0
qps_std,0.5412476192336052,1.3511135533075829,1.42920868976335,0.8240140409424392,1.5283966710895849
runs,8.0,8.0,12.0,9.0,6.0
