metric,disjoint,shared,delta,delta_pct
overlap,0.0,100.0,100.0,
threads,16.0,16.0,0.0,0.0
mb,512.0,512.0,0.0,0.0
secs,200.0,200.0,0.0,0.0
read_gb_s,111.69,99.35,-12.340000000000003,-11.048437639896145
samples,199.0,199.0,0.0,0.0
local_pct,50.0,50.0,0.0,0.0
local_pct_skt0,50.0,50.01005025125628,0.010050251256281229,0.020100502512562457
local_pct_skt1,49.994974874371856,49.98994974874372,-0.0050251256281370615,-0.010051261433302596
lmb_gb_skt0,26.610908867801047,25.524664463141026,-1.0862444046600217,-4.081951541213113
lmb_gb_skt1,26.534789419416242,25.324576986494975,-1.2102124329212671,-4.560851845448305
rmb_gb_skt0,24.929551866319443,24.3401171875,-0.589434678819444,-2.36440142197577
rmb_gb_skt1,25.734379907349247,24.862436930338543,-0.8719429770107041,-3.38824164464011
ipc,0.3304522613065327,0.29864321608040195,-0.03180904522613076,-9.625912408759156
inst,891.3142713567838,791.5659296482413,-99.74834170854251,-11.191152763289962
inst_skt0,445.37552763819093,395.78567839195983,-49.5898492462311,-11.134390232261781
inst_skt1,445.93904522613065,395.78050251256286,-50.15854271356778,-11.247847267586303
afreq,1.3269346733668348,1.3190452261306533,-0.007889447236181457,-0.5945618420056461
freq,0.01994974874371859,0.019899497487437183,-5.0251256281406975e-05,-0.2518891687657428
cpu_balance,0.998736334945387,0.9999869225197384,0.0012505875743513695,0.1252169897693523
llc_rd_miss_lat_ns,0.0,0.003869346733668342,0.003869346733668342,
l3hit,0.009999999999999998,5.0251256281407036e-05,-0.009949748743718591,-99.49748743718594
l2miss,78.80954773869345,68.22170854271356,-10.587839195979896,-13.434716350721475
l3miss,77.88809045226131,68.18763819095477,-9.700452261306538,-12.454345978929961
l3mpi,0.08738442211055279,0.08610251256281407,-0.0012819095477387271,-1.4669771988844222
upi_in_gb,54.51355822079146,52.1575807749686,-2.355977445822859,-4.321819236749601
upi_out_gb,76.33217101130653,76.15818521317526,-0.17398579813126958,-0.22793246389585634
upi_out_pct,90.10929648241206,90.05778894472363,-0.051507537688436855,-0.05716118058749946
upi_in_pct,64.01256281407035,61.64321608040201,-2.369346733668337,-3.7013777132315346
mem_bw_gb,112.14149364989007,114.48170147613067,2.3402078262406008,2.0868348994412513
mem_read_gb,111.99750024536749,96.56293626334798,-15.434563982019512,-13.781168283403654
mem_write_gb,0.14399325730213566,17.918765507223615,17.77477224992148,12344.16984722093
mem_read_gb_skt0,55.98193109100188,48.869941308103016,-7.111989782898867,-12.704080842330919
mem_read_gb_skt1,56.015569939541464,47.69299520061245,-8.322574738929013,-14.857609675152295
mem_write_gb_skt0,0.0694152402638191,8.09476979624686,8.025354555983041,11561.372582565346
mem_write_gb_skt1,0.07457870406721107,9.82399556375628,9.74941685968907,13072.65523265569
data_mem_gb,0.8587308883666993,0.8588929748535157,0.00016208648681637072,0.018875120135093567
data_mem_gb_node0,0.5299602699279785,0.5299729156494141,1.2645721435555757e-05,0.0023861640491039653
data_mem_gb_node1,0.3287706184387207,0.32892005920410156,0.00014944076538087048,0.045454416240277455
pagetable_mb,8.72888671875,8.71875,-0.010136718749999218,-0.11612842595637242
pagetable_mb_node0,5.28783203125,5.28125,-0.006582031249999787,-0.12447504404643218
pagetable_mb_node1,3.4410546875,3.4375,-0.0035546874999998757,-0.10330226697392109
dir_update_m_s,0.14376930572041918,2.249082880576042,2.105313574855623,1464.3692993480254
dir_update_m_s_skt0,0.05811759184685634,1.138852742233385,1.0807351503865286,1859.5662966117668
dir_update_m_s_skt1,0.08565171387356285,1.1102301383426563,1.0245784244690934,1196.2147377244
dir_lookup_snp_m_s,0.03911401417645504,2.2538072757320164,2.2146932615555612,5662.147719138251
dir_lookup_snp_m_s_skt0,0.016420680894837426,1.1358549334917432,1.1194342525969057,6817.221890895217
dir_lookup_snp_m_s_skt1,0.02269333328161761,1.1179523422402733,1.0952590089586556,4826.346995246633
dir_lookup_no_snp_m_s,1750.7887623924198,1397.7446384560733,-353.0441239363465,-20.164861205409977
dir_state_i_m_s,890.8528617555241,11.176973376488476,-879.6758883790357,-98.74536257823058
dir_state_s_m_s,0.9474519051806456,1523.8972972581664,1522.9498453529857,160741.65211189407
dir_state_a_m_s,893.5088904520846,2.402047639869182,-891.1068428122154,-99.73116690101944
dir_i2a_m_s,0.11872289018456945,2.233806556971124,2.1150836667865542,1781.529798927902
tma_l3_bound,19.61111111111111,19.939086294416242,0.3279751833051314,1.6723947024057693
tma_dram_bound,85.03535353535354,86.1472081218274,1.1118545864738678,1.3075203903416632
tma_l1_bound,0.0,0.0,0.0,
tma_store_bound,0.0,0.005076142131979695,0.005076142131979695,
warmup_s,0.0,0.0,0.0,
runs,1.0,1.0,0.0,0.0
