metric,local,firsttouch,balancing,interleaved,imbalanced
recall,0.97791,0.97791,0.9779099999999998,0.97791,0.97791
total_time,1.3126792186031593,1.3617128770819675,1.4834682707432385,1.3538297918032751,1.506959440142842
qps,762.3092005001291,736.1155158586762,676.9482492050437,740.5814165722581,668.8357069798482
samples,1.3015873015873016,1.3442622950819672,1.4864864864864864,1.360655737704918,1.5178571428571428
local_pct,99.0,50.13934426229508,52.9054054054054,50.0,54.75
local_pct_skt0,99.04761904761905,49.959016393442624,67.45270270270271,49.5,54.589285714285715
local_pct_skt1,6.222222222222222,50.16393442622951,32.601351351351354,50.368852459016395,87.8125
lmb_gb_skt0,50.68767826140873,11.012759349385245,17.854757018008474,12.701235911885245,25.172389439174108
lmb_gb_skt1,0.001689608134920635,14.453277087602459,6.433064778645833,12.5424560546875,0.40582405252659576
rmb_gb_skt0,0.019624255952380952,13.971591636782787,9.169499577702704,12.007564357069672,0.018755231584821428
rmb_gb_skt1,0.00289093501984127,10.62038133965164,8.099272392165492,12.159634294181034,17.188023158482142
ipc,0.660079365079365,0.7229508196721312,0.7462837837837838,0.7223770491803279,0.62875
inst,2256.0231746031745,2213.0731147540982,2028.5602702702702,2225.8183606557377,2010.4225892857141
inst_skt0,2252.019365079365,1103.4545081967215,1351.1435135135134,1105.7809016393442,1117.3815178571429
inst_skt1,4.003809523809524,1109.6182786885245,677.4174324324324,1120.0368852459017,893.0415178571428
afreq,1.0,1.0,1.0,1.0,1.0
freq,0.025793650793650792,0.021147540983606557,0.02027027027027027,0.021639344262295083,0.022857142857142857
cpu_balance,0.0017896041252884601,0.7892157796598646,0.5027071113230989,0.8045027838696369,0.7751650696424992
llc_rd_miss_lat_ns,113.63960317460318,155.00073770491804,145.7625,154.0134426229508,187.90196428571429
l3hit,0.12444444444444444,0.09819672131147542,0.10128378378378379,0.09737704918032787,0.09776785714285716
l2miss,4.523650793650794,3.944672131147541,3.623040540540541,3.9462295081967214,3.5672321428571427
l3miss,3.885,3.491311475409836,3.198445945945946,3.49672131147541,3.1623214285714285
l3mpi,0.0017079365079365077,0.0015967213114754099,0.001595945945945946,0.0015918032786885247,0.0015857142857142858
upi_in_gb,0.031164124503968254,28.930190829918033,24.96826165276605,29.16551621734119,23.402931605747767
upi_out_gb,0.2099779110863095,48.46220230852971,43.757481524493244,48.605923331839136,42.74608694893973
upi_out_pct,0.0,57.10655737704918,51.53378378378378,57.27459016393443,50.357142857142854
upi_in_pct,0.0,33.90573770491803,29.18918918918919,34.1844262295082,27.337053571428573
mem_bw_gb,60.39387013268849,65.60272196785348,59.10685237400968,65.75659043609119,57.65933811732701
mem_read_gb,58.86771949404762,59.294187451972334,53.954661779269365,59.43140929175205,51.77718688964843
mem_write_gb,1.526150406125992,6.308534435835041,5.152190044564261,6.325179863601434,5.882150617327008
mem_read_gb_skt0,58.8100882781498,25.90589171362705,31.11011691241197,29.672930568007175,51.458275320870534
mem_read_gb_skt1,0.05763082837301588,33.388295978483605,22.844545348261445,29.75847960425205,0.3189109584263393
mem_write_gb_skt0,1.499738498263889,2.652846759733607,3.121036875550176,3.1326765817110656,5.792836216517857
mem_write_gb_skt1,0.02641144283234127,3.6556884765624997,2.0311534441021126,3.19250256147541,0.08931483677455357
data_mem_gb,2.47798332335457,2.478109203401159,2.478272231849464,2.478421664628826,2.4780372210911343
data_mem_gb_node0,2.360833728124225,1.290479441158107,1.5359000386418522,1.2704679145187627,2.3607719966343472
data_mem_gb_node1,0.11714959523034474,1.187629856047083,0.942372347857501,1.2079537501100635,0.11726522445678711
pagetable_mb,13.464471726190476,13.655545594262295,13.663772170608109,13.683209528688524,13.687639508928571
pagetable_mb_node0,8.941034226190476,6.169313524590164,7.143026815878378,6.092085040983607,8.972795758928571
pagetable_mb_node1,4.5234375,7.486232069672131,6.52074535472973,7.591124487704918,4.71484375
tma_l3_bound,4.801587301587301,2.4916666666666667,2.945945945945946,2.691666666666667,2.267857142857143
tma_dram_bound,26.841269841269842,32.114754098360656,31.22972972972973,32.18852459016394,34.36607142857143
tma_l1_bound,4.0,1.0081967213114753,1.054054054054054,1.0,1.0089285714285714
tma_store_bound,0.0,0.0,0.0,0.0,0.0
warmup_s,0.0,0.0,0.0,0.0,0.0
qps_std,19.68892370182524,36.822692863071325,45.050886761694564,39.032575503413945,58.20547422033112
runs,63.0,61.0,74.0,61.0,56.0
