metric,spare-interleave,spare-repl-pt,spare-repl,mitosis-interleave,mitosis-repl,hydra-interleave,hydra-repl
readratio,100.0,100.0,100.0,100.0,100.0,100.0,100.0
writeratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0
read_bw_gb,99.57383472379999,101.2177606126,152.5790565428,96.8077613474,98.0673855134,96.87231096240001,97.36276040999999
write_bw_gb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
read_bw_std,0.0238714771498,0.024405388936799978,0.0330647615128,0.008228250252,0.008099906561600001,0.0076797694106,0.007386857891199999
write_bw_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0
read_bw_std_pct,0.02452418063336826,0.02466983273818102,0.02216631158754838,0.008695885801619821,0.00844572481978354,0.008110039613916781,0.007762188136099921
write_bw_std_pct,0.0,0.0,0.0,0.0,0.0,0.0,0.0
samples,50.4,51.0,49.6,53.2,49.2,54.0,50.4
local_pct,49.06392156862745,49.90196078431372,86.52266752854987,49.11537628384687,49.9156862745098,49.54527629233512,49.618382352941175
local_pct_skt0,50.067764705882354,50.44313725490196,88.33232718978773,59.319809523809525,57.544257703081236,54.4192513368984,52.86274509803921
local_pct_skt1,47.36886274509804,48.01960784313725,85.817148585513,38.51706442577031,41.88579626972741,43.34046345811051,45.39901960784314
lmb_gb_skt0,20.42946434993268,21.225619756957922,65.13571583370701,17.591472772243492,19.110037149274405,17.8961964076965,18.921026852806726
lmb_gb_skt1,18.968229512117347,20.543260852013677,62.59838313872454,18.091435512245123,19.287610418615916,16.993012393476413,19.286341103772646
rmb_gb_skt0,18.927532063802083,19.5960876444822,1.6132246788002216,17.25258360179516,17.755651453844074,17.2290959716888,18.14792291497565
rmb_gb_skt1,19.418445163450187,19.91666756057892,0.19892619011794427,16.78021051740378,16.92285043862222,17.056502732078002,17.485027573529415
ipc,0.4885952941176471,0.4816078431372549,0.6240476190476189,0.3532984126984126,0.33182633053221294,0.4747076648841354,0.4300686274509803
inst,20259.165064313725,20498.702509803923,29959.323974251234,36679.41374028011,38985.39669467787,37521.30789661319,39629.8908504902
inst_skt0,10138.935616470588,10276.259490196078,15155.327850218886,18941.54628328665,20043.799408963583,19231.6188912656,20253.649955882353
inst_skt1,10120.229564705882,10222.44294117647,14735.854217544053,17737.867369225023,18900.785834528935,18289.688918003565,19376.240781862747
afreq,0.9861882352941176,0.9878823529411764,0.99120232708468,1.2474879178338,1.2625910364145658,1.2098983957219251,1.239031862745098
freq,0.37061176470588236,0.3706666666666667,0.36434744667097607,0.8959135760971056,0.9292577030812327,0.8848556149732622,0.9318014705882354
cpu_balance,0.9945658753037951,0.9929121292077794,0.9495432649693946,0.9373511357383693,0.9431310068710224,0.9507470745052071,0.9566780256148333
llc_rd_miss_lat_ns,204.7887443137255,203.1639607843137,139.13735584740462,203.31765217553686,208.0500756302521,207.3297201426025,210.8999803921569
l3hit,0.11520784313725489,0.15372549019607842,0.1742016806722689,0.152269766573296,0.12417647058823529,0.23558288770053473,0.2123970588235294
l2miss,355.58724313725486,363.43760784313724,435.36494634776983,657.5523018113913,712.6453305322128,674.326532976827,713.1628504901961
l3miss,348.7639490196078,355.32070588235297,422.98710762766643,643.6439093557423,698.1939019607842,653.283431372549,690.8592573529412
l3mpi,0.013696611764705885,0.013719215686274511,0.011003564964447318,0.013301063678804856,0.014299271708683472,0.013144153297682709,0.013798529411764706
upi_in_gb,38.89799678308823,38.343690563725495,3.460788158427433,34.48301930996878,36.214189639136904,35.03365470595198,36.78857242599188
upi_out_gb,56.77959728707108,56.12392509191177,9.215231312747454,51.16376823062559,53.85910703617385,51.989548248454206,54.62214992149203
upi_out_pct,67.22037254901961,66.43039215686274,10.491376503697165,60.539158730158725,63.64275466284075,61.54336007130125,64.57315394242804
upi_in_pct,45.908,45.17941176470588,3.6542227679064125,40.60377217553688,42.63725490196079,41.243048128342245,43.350730079265745
mem_bw_gb,93.6684920389093,94.32021316253064,119.2729584040347,83.21034360806702,90.59470639380362,85.09323157169118,90.25192111489636
mem_read_gb,76.96691108226102,78.00296885646446,116.25871889876744,68.42933706754336,75.05739064615885,70.04216694063442,74.50391993852568
mem_write_gb,16.70158107689951,16.317244462316175,3.014239450768288,14.781006500813067,15.537315110581341,15.051064483173075,15.748000466219096
mem_read_gb_skt0,38.62288694852941,39.06769701516544,58.761748692540415,34.33213554634474,37.74862102042379,35.14661808776395,37.045184196717244
mem_read_gb_skt1,38.34402437193627,38.9352713771446,57.644885322398196,34.097201368896116,37.42394866255877,34.89554867493872,37.58030762085419
mem_write_gb_skt0,8.449689864430146,8.081277301623775,0.8395802380868214,7.494125013845682,7.924855536245748,7.710228636406486,8.085034159724396
mem_write_gb_skt1,8.251890712316177,8.235967274816176,2.173313392604638,7.286881191023285,7.581516437278036,7.340835852069193,7.63203803256675
warmup_s,0.0,0.0,0.0,0.0,0.0,0.0,0.0
read_bw_gb_std,0.24907997674303728,0.15065199146186245,0.4905628542794095,0.15440271844197376,0.24502000784976655,0.0916508580932223,0.15656140542166236
write_bw_gb_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0
runs,5.0,5.0,5.0,5.0,5.0,5.0,5.0
