metric,local,remote,disjoint,shared
overlap,,,0.0,100.0
threads,16.0,16.0,16.0,16.0
gb,8.0,8.0,8.0,8.0
secs,30.0,30.0,30.0,30.0
read_gb_s,100.60333333333334,29.573333333333334,96.99666666666667,75.52666666666666
samples,29.666666666666668,30.0,29.333333333333332,30.0
local_pct,99.0,0.13333333333333333,36.804980842911874,34.455555555555556
local_pct_skt0,99.02222222222223,0.13333333333333333,36.804980842911874,34.422222222222224
local_pct_skt1,10.617241379310345,94.43333333333334,52.13639846743295,78.54444444444444
lmb_gb_skt0,88.61224444743773,0.044932725694444446,23.117039331896553,15.597189670138889
lmb_gb_skt1,0.00046358656609195406,0.025933159722222224,0.004115406489463601,0.03884548611111111
rmb_gb_skt0,0.007408779334291187,0.001171875,0.0025959351053639846,0.0026801215277777782
rmb_gb_skt1,0.0009892840038314176,29.239529079861114,29.427912101891764,28.08642578125
ipc,0.40436781609195416,0.12111111111111113,0.3884137931034483,0.30166666666666664
inst,13310.318421455937,3996.060222222222,13065.061233716473,10089.060777777777
exec,0.09686973180076626,0.02977777777777778,0.0970498084291188,0.0748888888888889
inst_skt0,13283.681582375479,50.99733333333333,9087.354218390805,6120.040888888889
inst_skt1,26.63695019157088,3945.0644444444447,3977.7070114942526,3969.0200000000004
exec_skt0,0.1995862068965518,0.0003333333333333333,0.13307662835249046,0.0908888888888889
exec_skt1,0.0,0.05922222222222223,0.05966283524904215,0.060000000000000005
cpu_balance,0.002004634591409096,0.012932044319691144,0.43771852102262904,0.6546857897782595
llc_rd_miss_lat_ns,152.89419540229883,477.9403333333334,291.7101417624521,360.66100000000006
l3hit,0.0649425287356322,0.0,0.36286590038314176,0.23855555555555555
l2miss,1115.5021992337165,226.69199999999998,970.841490421456,703.7553333333335
l3miss,1007.2884559386972,226.23366666666672,580.8957011494252,455.30511111111105
l3mpi,0.07570616858237546,0.0565111111111111,0.045840651340996165,0.04751888888888889
l2mpi,0.08276827586206896,0.05661777777777777,0.0746927203065134,0.06998888888888889
upi_to_mc,0.0,0.9496666666666669,0.6019501915708813,0.49044444444444446
upi_in_gb,0.011599508351293102,30.66069943576389,30.876640849497125,30.158402235243056
upi_out_gb,0.05652858596743295,52.85446430121527,53.39780230783045,54.49204893663196
upi_out_pct,0.022222222222222223,62.672222222222224,63.049042145593866,64.31666666666666
upi_in_pct,0.0,36.5,36.32605363984674,35.50555555555555
mem_bw_gb,93.93800604645594,32.01253917100695,56.00372265625,64.19108561197918
mem_read_gb,93.89610910934506,31.66535774739583,55.81651822916667,45.86934157986111
mem_write_gb,0.041898691930076636,0.3471821831597222,0.18720572916666667,18.32174435763889
mem_read_gb_skt0,93.87911994133141,31.6312431640625,55.794504340277776,45.83349555121527
mem_read_gb_skt1,0.01698872276101533,0.03411447482638889,0.022013020833333338,0.03584624565972222
mem_write_gb_skt0,0.03486364418702107,0.33299793836805563,0.17750802951388892,18.30850531684028
mem_write_gb_skt1,0.007033958931992338,0.014183159722222222,0.009697808159722222,0.013238606770833335
data_mem_gb,8.294022750854493,8.294048224555121,8.294058481852213,8.294110446506076
data_mem_gb_node0,8.09141608344184,8.09143820868598,8.091448465983072,8.091500430636936
data_mem_gb_node1,0.2026066674126519,0.20261001586914062,0.20261001586914062,0.20261001586914062
pagetable_mb,26.210286458333332,26.21484375,26.20490451388889,26.203428819444444
pagetable_mb_node0,19.679036458333332,19.68359375,19.673654513888888,19.672178819444444
pagetable_mb_node1,6.53125,6.53125,6.53125,6.53125
warmup_s,0.0,0.0,0.0,0.0
read_gb_s_std,0.7615991946774496,0.005773502691894596,0.07023769168567315,2.1901902504881487
mem_write_gb_std,0.00853013240903618,0.010259872857585915,0.00942299455802662,4.715023740283199
llc_rd_miss_lat_ns_std,3.588580529145655,0.2543464391555981,0.24442734170100067,1.9615753306405486
runs,3.0,3.0,3.0,3.0
