metric,imbalanced,balancing,interleaved
recall,0.9787300000000001,0.97873,0.97873
total_time,14.909396230157558,14.334516383250412,10.334841723820839
qps,67.12936752269592,69.82584690613295,96.79511116846734
samples,14.894736842105264,14.35,10.357142857142858
local_pct,52.63402255639098,54.3802380952381,50.0
local_pct_skt0,52.2374686716792,54.14380952380952,49.11785714285714
local_pct_skt1,87.38339598997493,57.13380952380952,50.680844155844156
lmb_gb_skt0,35.873766461488756,37.57855112823374,23.22231714189286
lmb_gb_skt1,0.5277112082339261,1.0385717236864698,23.79701965118138
rmb_gb_skt0,0.014346636265324586,0.6152531013907967,21.938358270554314
rmb_gb_skt1,26.971318009190643,27.125860305059526,22.208830554075917
ipc,0.08010025062656642,0.08231904761904763,0.09965584415584416
inst,282.46724279448625,291.35794761904765,402.8307824675325
inst_skt0,157.02454166666666,166.28294523809524,200.06316233766233
inst_skt1,125.44318327067668,125.07504761904764,202.76808766233765
afreq,0.7786190476190477,0.7787666666666666,0.779327922077922
freq,0.03073872180451128,0.03051190476190476,0.03363961038961039
cpu_balance,0.8007419244433717,0.7543723776008162,0.9591340182075474
llc_rd_miss_lat_ns,301.71273339598997,286.06218333333334,190.723474025974
l3hit,0.0369937343358396,0.049395238095238096,0.026571428571428576
l2miss,1.6646832706766919,1.8143976190476192,2.7191266233766234
l3miss,1.5785889724310778,1.6965238095238095,2.6034967532467532
l3mpi,0.00534250626566416,0.005611404761904762,0.006361525974025973
upi_in_gb,29.957474288749214,29.97163719075521,48.50771646078531
upi_out_gb,52.340006677154314,51.94482768322173,70.42271371499594
upi_out_pct,61.86258615288221,61.395357142857144,83.48506493506493
upi_in_pct,35.342731829573935,35.22125,57.233603896103894
mem_bw_gb,71.1314770752565,73.16386634550548,103.39697451108462
mem_read_gb,68.07371929793968,70.28390733264742,99.78222925121754
mem_write_gb,3.0577577932257403,2.8799583871023993,3.6147451901126217
mem_read_gb_skt0,67.6735676131858,68.60176929030646,49.828935448584616
mem_read_gb_skt1,0.40015137147066887,1.682138249860491,49.95329346971388
mem_write_gb_skt0,2.9574172813013977,2.6633523710704985,1.8639385938768263
mem_write_gb_skt1,0.10034044033423402,0.216606056140718,1.7508067357447241
data_mem_gb,4.599811886306992,4.615229888739604,4.607785814458674
data_mem_gb_node0,4.481803859266123,4.0019650509331255,2.3405209566091565
data_mem_gb_node1,0.11800814176860609,0.6132641262187188,2.2672648578495176
pagetable_mb,20.765476312852446,20.713500332675135,20.6917677049513
pagetable_mb_node0,15.323974119869987,12.511859725560898,9.795805854301948
pagetable_mb_node1,5.4415021929824565,8.201280030191162,10.895961850649352
tma_l3_bound,7.959349422507317,8.22257992007992,9.178954081632654
tma_dram_bound,83.99649122807018,83.14924908424908,80.09072871572872
tma_l1_bound,0.028822055137844613,0.025274725274725275,0.03896103896103896
tma_store_bound,0.0,0.0,0.0
warmup_s,0.0,0.0,0.0
qps_std,2.003370997042046,2.1511518136065155,1.871388759325804
runs,19.0,20.0,28.0
