metric,imbalanced,balancing,interleaved
recall,0.97854,0.9785400000000001,0.97854
total_time,1.3830610906207483,1.2134532811246572,0.8810626309232947
qps,723.1795713186367,824.652031166339,1135.0311267963584
samples,1.4137931034482758,1.2083333333333333,1.0
local_pct,50.241379310344826,69.3125,50.0
local_pct_skt0,50.1551724137931,75.5,49.07692307692308
local_pct_skt1,90.43103448275862,23.4375,50.76923076923077
lmb_gb_skt0,24.675136021205358,36.19482421875,18.9451171875
lmb_gb_skt1,0.3786433293269231,1.632568359375,19.53290264423077
rmb_gb_skt0,0.008283943965517241,4.968180338541667,17.571026141826923
rmb_gb_skt1,21.154852505387932,11.598897298177084,18.835787259615383
ipc,0.37189655172413794,0.56625,0.5123076923076924
inst,2188.0503448275863,2417.01375,3338.623846153846
inst_skt0,1117.7656896551723,1824.0485416666668,1641.3034615384615
inst_skt1,1070.285,592.9641666666666,1697.3203846153847
afreq,1.0,1.0,1.0
freq,0.04413793103448276,0.031875,0.05
cpu_balance,0.8677012599627444,0.32987158359979146,0.9660655233220208
llc_rd_miss_lat_ns,258.71,159.51229166666667,185.09615384615384
l3hit,0.09965517241379311,0.10395833333333333,0.09730769230769232
l2miss,4.238275862068965,4.720416666666666,6.490769230769231
l3miss,3.752413793103448,4.1625000000000005,5.755769230769231
l3mpi,0.0017017241379310344,0.0016979166666666664,0.0016961538461538461
upi_in_gb,28.33438543911638,19.457271728515625,44.120056340144224
upi_out_gb,49.81742254849138,36.26874674479166,64.97445237379807
upi_out_pct,58.793103448275865,42.641304347826086,76.95192307692308
upi_in_pct,33.168103448275865,22.135416666666668,52.08653846153846
mem_bw_gb,64.5747693292026,71.36879069010416,99.99855912642046
mem_read_gb,56.46086897225216,62.86091634114583,87.427431640625
mem_write_gb,8.113899346713362,8.507876180013021,12.57112615411932
mem_read_gb_skt0,56.13720602101293,55.7958154296875,43.71724831321023
mem_read_gb_skt1,0.3236642982219827,7.065098673502604,43.71018465909091
mem_write_gb_skt0,8.031296807650863,6.5091571044921865,6.310353338068182
mem_write_gb_skt1,0.08260270743534483,1.998719685872396,6.260775035511363
data_mem_gb,3.111234927999562,3.1426283518473306,3.0914844166148794
data_mem_gb_node0,2.9929110428382613,2.3598026434580484,1.5828540108420632
data_mem_gb_node1,0.11832388516130118,0.7828072706858317,1.5086304057728162
pagetable_mb,17.87095905172414,17.816975911458332,17.74911221590909
pagetable_mb_node0,12.429552801724139,9.365966796875,8.409978693181818
pagetable_mb_node1,5.44140625,8.4423828125,9.339133522727273
tma_l3_bound,2.6551724137931036,3.9583333333333335,4.130434782608695
tma_dram_bound,35.39655172413793,31.0625,31.91304347826087
tma_l1_bound,1.103448275862069,2.0416666666666665,2.0
tma_store_bound,0.0,0.0,0.0
warmup_s,0.0,0.0,0.0
qps_std,10.419918796679394,21.89483055090349,6.693809428952614
runs,29.0,24.0,26.0
