metric,imbalanced,balancing,interleaved,patched-repl
ops_sec,64566.4,64653.2,64678.6,39528.2
mb_sec,25.880000000000003,25.9,25.9,15.819999999999999
c_wsecs,274.8,278.4,267.4,26.6
c_csecs,17.4,19.2,21.2,133.6
b_rgb,193.4,232.6,249.2,48.6
b_wgb,0.0,0.0,0.0,0.0
p99,7736.0,7676.4,7516.4,6880.4
p99.9,11778.6,11973.8,10876.2,13599.8
p99.99,30537.6,26171.6,16327.6,21252.8
pmax,162823.0,180504.0,93038.2,60815.2
uptime,75.8,75.8,76.2,120.8
stall%,0.0,0.0,0.0,0.0
nb_runs,2.0,2.0,2.0,2.0
samples,77.4,77.4,77.8,37.6
local_pct,55.10398986977934,64.87017719122983,53.3215914886801,60.67923186344238
local_pct_skt0,54.122779851727216,60.48373819163292,56.37818552755262,66.16002844950214
local_pct_skt1,65.2729393413604,60.469020453230975,50.30042657764177,49.41009957325747
lmb_gb_skt0,0.3938068285138976,0.3001874366004004,0.2831166560028838,0.20211736421944398
lmb_gb_skt1,0.03680083025429302,0.30467818223186316,0.17630839342948718,0.11570943432271556
rmb_gb_skt0,0.030524869749198193,0.11864214940273202,0.17296677351169826,0.06121331449120789
rmb_gb_skt1,0.35889940890710226,0.13693326597052363,0.2629886735443376,0.07838315216063499
ipc,0.7279926301768407,0.7415585554796081,0.7248928455510735,0.6564964438122333
inst,5870.155992875545,5941.92804261528,5877.067536670081,3643.518487908962
inst_skt0,2690.0579296230085,2888.4235879646667,2954.5499139847498,2202.9205277382644
inst_skt1,3180.0980342552184,3053.5042967646386,2922.517803820652,1440.5979061166431
afreq,0.7229252940042413,0.7229285801917381,0.7271965460699638,0.6580284495021338
freq,0.06238283646178383,0.06222630877894035,0.062291501747197955,0.04197297297297298
cpu_balance,0.7532667358519437,0.674331591704374,0.7483773240125217,0.5631033601658831
llc_rd_miss_lat_ns,167.01571429447748,159.57763526824053,163.72176875866748,170.90545945945945
l3hit,0.5182828312038839,0.518991780149675,0.5294113397151372,0.5373200568990042
l2miss,7.581686970923812,7.744434880908566,7.945030437916513,5.637624466571834
l3miss,2.4988444976076556,2.530069027463764,2.497208112562543,1.8026714082503557
l3mpi,0.00042167972378498697,0.00042067406277932596,0.0004267014841698387,0.0005044665718349928
upi_in_gb,0.577896359003524,0.46615353736347254,0.5738334764235302,0.32128069851306895
upi_out_gb,1.560433263402579,1.2960704581106257,1.550987958795885,0.8883143503289475
upi_out_pct,1.2588284522495048,1.003993594125173,1.265352053010281,0.5822190611664296
upi_in_pct,0.16429162942320838,0.0025890775890775888,0.07686385344613192,0.0
mem_bw_gb,1.5518772040648896,1.4910525059849689,1.634915685551428,1.0326681798986488
mem_read_gb,0.9571191566460306,0.9662550858715022,1.040098265666625,0.6559139221972795
mem_write_gb,0.5947584766771006,0.5247972435322353,0.5948177974369381,0.3767540479418563
mem_read_gb_skt0,0.8109301881242768,0.45118453660340485,0.5595115538758118,0.360156855663229
mem_read_gb_skt1,0.14618851908491692,0.5150705993225525,0.4805867644725067,0.2957572207281295
mem_write_gb_skt0,0.5477559961753371,0.24828259292961694,0.3073534769267191,0.20968664429231865
mem_write_gb_skt1,0.047002149810731204,0.2765149290043153,0.2874640931984682,0.16706719805743245
warmup_s,0.0,0.0,0.0,75.0
ops_sec_std,853.1912446808166,326.9093146424553,642.0952421564889,607.6567287539908
mb_sec_std,0.3633180424916985,0.14142135623730878,0.2449489742783172,0.2683281572999747
runs,5.0,5.0,5.0,5.0
