metric,spare-repl-pt,spare-repl,mitosis-repl,hydra-repl
readratio,100.0,100.0,100.0,100.0
writeratio,0.0,0.0,0.0,0.0
read_bw_gb,103.5849337396,161.578243087,103.7379386602,103.0044045204
write_bw_gb,0.0,0.0,0.0,0.0
read_bw_wall_gb,103.59528944981335,161.59225173333334,103.74623606101333,103.01470053717333
write_bw_wall_gb,0.0,0.0,0.0,0.0
wall_s,30.0,30.0,30.0,30.0
read_bw_std,0.0022926230737999797,0.00363044184159998,0.0019154895868,0.001726350355
write_bw_std,0.0,0.0,0.0,0.0
read_bw_std_pct,0.00226471205247234,0.0022980994172816,0.0018889390949754802,0.00171430460287098
write_bw_std_pct,0.0,0.0,0.0,0.0
samples,50.6,48.4,50.6,50.2
local_pct,50.86196078431372,96.4706862745098,50.76310524209684,49.9720656262505
local_pct_skt0,50.614039215686276,95.71602413273001,53.24953981592637,50.573858343337335
local_pct_skt1,49.72635294117647,96.34895324283559,48.4655462184874,49.26410784313725
lmb_gb_skt0,24.298532356692675,76.12310450766844,24.324394914215684,23.634401759141156
lmb_gb_skt1,24.053277163990597,77.58837016284879,23.995324536064423,23.76243469477635
rmb_gb_skt0,22.545022396458585,0.03922421382916147,22.901405171443578,22.98053180959884
rmb_gb_skt1,23.129842325992897,1.9140295719375164,23.055566914265704,22.752477692248775
ipc,0.42816078431372545,0.6469703921568628,0.4152621048419368,0.4323563505402161
inst,3004.8264180392157,4667.633050980392,2982.0093277310925,2979.2539236334533
inst_skt0,1502.173745882353,2287.1009588536954,1496.1268787515007,1487.785663305322
inst_skt1,1502.653025882353,2378.315306546003,1485.8824929971988,1490.666468627451
afreq,0.9966023529411764,0.9970235294117646,0.9956366546618647,0.9995215046018409
freq,0.05541647058823529,0.05501078431372549,0.05501880752300921,0.055218023209283706
cpu_balance,0.9988431785011637,0.9616841536679994,0.9899973321226023,0.998062476089209
llc_rd_miss_lat_ns,188.71732470588233,144.80161435897435,186.08353181272508,190.28714663465385
l3hit,0.05664627450980393,0.06011745098039215,0.05523409363745498,0.07112464185674269
l2miss,57.82369019607843,70.8943837254902,57.419993597438975,57.089662344937985
l3miss,55.54671058823529,68.46183843137254,55.1750044017607,54.732472252901154
l3mpi,0.01758421960784314,0.013813496078431372,0.017571380552220888,0.017461824569827932
upi_in_gb,47.602244110753674,2.683709429764093,47.30522872117597,47.68843306616397
upi_out_gb,68.43398704810049,7.1912491996017165,67.96854799419768,68.50363562767294
upi_out_pct,81.1386274509804,8.076457013574661,80.58367346938776,81.33215686274511
upi_in_pct,56.276784313725486,2.660346907993967,56.02378951580632,56.521058823529415
mem_bw_gb,101.51386001378675,156.21294999157473,101.14016010837929,100.76866901407224
mem_read_gb,97.67277138020833,154.01780631510417,97.32913381604418,96.84759783206606
mem_write_gb,3.841088555453431,2.1951431380208333,3.811026534299799,3.921070901744931
mem_read_gb_skt0,49.45193366268383,76.12815733455882,48.72544880445076,48.01730493120544
mem_read_gb_skt1,48.22083779641544,77.91016365349265,48.60368520481701,48.83029292087929
mem_write_gb_skt0,2.3434858295036767,2.089485916053922,1.9338770314588907,2.0083306621476713
mem_write_gb_skt1,1.4976022993259803,0.10802823529411767,1.8771494645443405,1.9127407052487189
data_mem_gb,1.260674456128887,2.189548406264361,1.2711848644181793,1.181507775400199
data_mem_gb_node0,0.6649770017137715,1.1394379598580155,0.7622773162243413,0.6064679173488243
data_mem_gb_node1,0.5957029475791782,1.0501105218027154,0.5089151255289714,0.5750455127790863
pagetable_mb,11.754134803921568,11.715539828431371,12.66129932598039,10.513526960784313
pagetable_mb_node0,6.416178921568627,6.412796875000001,7.57696844362745,4.09993474264706
pagetable_mb_node1,5.337955882352941,5.302742953431372,5.084330882352941,6.413592218137255
tma_l3_bound,9.092081632653061,3.484734693877551,9.544979591836734,9.192602040816327
tma_dram_bound,53.07942857142857,45.309061224489795,53.004163265306126,53.41377551020408
tma_l1_bound,5.614122448979591,8.656489795918368,5.761714285714286,5.878231292517007
tma_store_bound,0.717795918367347,0.726938775510204,0.5983673469387755,0.7170918367346939
warmup_s,0.0,0.0,0.0,0.0
read_bw_gb_std,0.13590027768075638,0.5628599781568273,0.20010651089556372,0.27155088367807206
write_bw_gb_std,0.0,0.0,0.0,0.0
runs,5.0,5.0,5.0,5.0
