,,,SKT0C0,SKT0C0,SKT0C0,SKT0C0,SKT0C1,SKT0C1,SKT0C1,SKT0C1,SKT0C2,SKT0C2,SKT0C2,SKT0C2,SKT0C3,SKT0C3,SKT0C3,SKT0C3,SKT0C4,SKT0C4,SKT0C4,SKT0C4,SKT0C5,SKT0C5,SKT0C5,SKT0C5,SKT0C6,SKT0C6,SKT0C6,SKT0C6,SKT0C7,SKT0C7,SKT0C7,SKT0C7,SKT0C8,SKT0C8,SKT0C8,SKT0C8,SKT0C9,SKT0C9,SKT0C9,SKT0C9,SKT0C10,SKT0C10,SKT0C10,SKT0C10,SKT0C11,SKT0C11,SKT0C11,SKT0C11,SKT0C12,SKT0C12,SKT0C12,SKT0C12,SKT0C13,SKT0C13,SKT0C13,SKT0C13,SKT0C14,SKT0C14,SKT0C14,SKT0C14,SKT0C15,SKT0C15,SKT0C15,SKT0C15,SKT1C0,SKT1C0,SKT1C0,SKT1C0,SKT1C1,SKT1C1,SKT1C1,SKT1C1,SKT1C2,SKT1C2,SKT1C2,SKT1C2,SKT1C3,SKT1C3,SKT1C3,SKT1C3,SKT1C4,SKT1C4,SKT1C4,SKT1C4,SKT1C5,SKT1C5,SKT1C5,SKT1C5,SKT1C6,SKT1C6,SKT1C6,SKT1C6,SKT1C7,SKT1C7,SKT1C7,SKT1C7,SKT1C8,SKT1C8,SKT1C8,SKT1C8,SKT1C9,SKT1C9,SKT1C9,SKT1C9,SKT1C10,SKT1C10,SKT1C10,SKT1C10,SKT1C11,SKT1C11,SKT1C11,SKT1C11,SKT1C12,SKT1C12,SKT1C12,SKT1C12,SKT1C13,SKT1C13,SKT1C13,SKT1C13,SKT1C14,SKT1C14,SKT1C14,SKT1C14,SKT1C15,SKT1C15,SKT1C15,SKT1C15,
2026-08-13,12:02:31.165,997,7327274,33365,1781648,1775784,7259206,32758,1780923,1775207,7193895,33012,1781165,1775328,7536039,33128,1781991,1775853,7331436,32681,1781455,1775505,7103670,32412,1780230,1774845,6930061,32392,1779857,1774560,7271402,32524,1779958,1774708,7241521,32689,1779993,1774648,7217123,32629,1779984,1774691,7219114,32542,1780295,1774866,6982452,32375,1779940,1774725,7434141,33032,1782976,1776609,7551534,33280,1782692,1776440,7070334,32486,1779453,1774265,7369520,32481,1779639,1774702,1978344,6529,10480,7286,1976840,6355,10757,7518,2060759,6512,10486,7310,2079387,6842,10474,7384,1996464,6485,10547,7322,1789653,5822,10616,7269,1927612,6071,10321,7232,1947593,6059,10533,7349,1879520,6116,10673,7328,1912159,6557,10692,7365,1966793,6219,10502,7293,1913578,5961,10460,7180,2395304,7101,10627,7325,2324225,7016,10616,7332,1975367,6095,10961,7646,1864750,5653,10497,7278,
2026-08-13,12:02:32.165,997,7700200803,12927160,22357721,14134474,7727573602,12926082,22354403,14132002,7759570461,12926616,22356742,14133804,7865125577,12927640,22356700,14133817,7632830823,12926881,22358250,14134891,7656696688,12926535,22357185,14134194,7721218246,12927017,22357532,14134280,7845153524,12927125,22357093,14133997,7645548624,12927435,22357311,14134367,7671256479,12927907,22357834,14135225,7710521132,12927813,22357364,14134763,7744381072,12928118,22358685,14135951,7660496351,12927457,22359815,14135765,7730753847,12928077,22359502,14135383,7741372706,12928211,22356693,14133636,7867899845,12928106,22357507,14133878,6738544147,8235707,23547,19012,6733790132,8234845,25216,20512,6852367730,8235033,24353,19666,6861566817,8235066,22598,17973,6690478007,8234940,23283,18558,6713652093,8234515,23300,18600,6831202141,8234925,22779,18318,6930028309,8235166,23387,18844,6770815167,8235207,23753,19058,6809516147,8236412,25385,20607,6833351631,8235092,22546,18085,6917476172,8235985,23568,19032,6884712247,8236831,24105,19507,6866949317,8236481,23232,18676,6918141663,8235349,22849,18169,7077551225,8235210,22935,18228,
2026-08-13,12:02:33.166,998,27251093042,59217471,89885943,59246354,27320692702,59214555,89877110,59239767,27503646984,59215431,89880246,59243750,28013678050,59217098,89881233,59243550,26897847390,59216171,89884887,59245852,26967099901,59214472,89881025,59242790,27303554626,59215451,89880609,59242806,27878504224,59213186,89880437,59242396,26955311911,59217071,89880299,59243636,27026536844,59216771,89881195,59245812,27232907140,59215962,89878712,59242849,27394794718,59215269,89880794,59244980,27020394945,59214909,89881211,59243608,27317709602,59215226,89879249,59242254,27382106354,59215488,89875862,59239911,27982874199,59212940,89874241,59237660,24957224121,30646834,35386,30160,24821175574,30644116,38315,32389,25413535592,30644688,38563,33003,25507538477,30644622,34115,28742,24677162839,30643351,32933,27777,24689067837,30643328,33963,28792,25301711453,30644530,34891,30006,25707610860,30644547,34631,29614,25011702840,30642381,35401,29970,25084210251,30643856,39168,33757,25212803351,30643640,34284,29093,25623217889,30644370,36562,31100,25485225486,30646835,38979,33673,25353340499,30645230,36551,31244,25652829620,30643161,34703,29242,26332319029,30642174,33706,28001,
2026-08-13,12:02:34.166,998,27266462869,59266883,89925921,59285970,27335465593,59264421,89921966,59283054,27513504354,59264332,89922031,59283551,28027779667,59265320,89923925,59284462,26914370896,59265976,89927809,59286927,26979201229,59264220,89922395,59281880,27318069593,59265759,89923804,59285358,27890515354,59262620,89919539,59280388,26965981037,59266525,89922605,59283804,27037035985,59264693,89920154,59282072,27243911427,59264892,89920714,59282862,27408361941,59263216,89918752,59280472,27035267664,59263380,89922814,59282702,27334707153,59263746,89921598,59282085,27394425827,59263529,89917918,59279738,28000872707,59262338,89917667,59279174,24947674827,30651362,42677,37196,24813228754,30650224,42929,37572,25407535430,30649346,42640,37073,25501408669,30650543,42288,37079,24672987616,30648669,38883,33243,24680978995,30649427,41064,35679,25292476692,30648752,40595,35408,25701624340,30648959,40961,35571,25003536989,30648262,40929,35649,25075547796,30649329,42022,36587,25208790176,30648293,40056,34551,25614678597,30649966,41735,36287,25479563955,30652312,44559,38784,25348189499,30651210,43641,38297,25647013415,30649071,42088,36297,26328156747,30649509,43143,37408,
2026-08-13,12:02:35.167,998,27270270506,59299575,89949822,59312981,27341724059,59298562,89947920,59311809,27520677308,59298262,89947841,59312015,28032701451,59298511,89948254,59312024,26921594726,59299485,89951801,59314380,26986391954,59298315,89947850,59311025,27326161464,59297699,89947522,59312082,27898633559,59296679,89945356,59309572,26974002945,59300258,89948905,59312871,27044931769,59299124,89947009,59311728,27251258309,59299314,89946867,59311511,27411320482,59298141,89946277,59311306,27041272290,59297709,89948968,59311667,27339895233,59298763,89949029,59311787,27399634420,59298035,89945084,59310059,28009004100,59297363,89945938,59310363,24951791787,30644723,33902,27610,24819152097,30644370,34840,28295,25411798578,30644194,34759,28514,25502494989,30643954,33481,27380,24673278066,30643726,32058,25870,24684592785,30643611,32979,26844,25293757866,30643689,33009,27469,25702206723,30643709,32543,26718,25007836952,30643326,34183,27873,25080643597,30643932,34735,28554,25209668735,30642913,31935,25978,25616569188,30644704,35186,28937,25480634079,30646773,36009,29546,25351474587,30644700,34145,27808,25647349250,30643632,34606,28107,26326692976,30642752,33047,26529,
2026-08-13,12:02:36.166,997,27245480573,59232050,89853134,59245642,27313128721,59230194,89851071,59244263,27488956430,59229925,89850219,59243731,28002001183,59230544,89850870,59243780,26888326934,59231842,89853935,59246584,26954485398,59230160,89850845,59243166,27295378140,59231361,89852237,59245750,27862562103,59229331,89847943,59241704,26946401865,59231862,89852075,59245020,27017254959,59230837,89849115,59243286,27224069521,59230470,89849335,59243147,27384301383,59230217,89848936,59243261,27012024626,59229834,89852165,59244054,27307496435,59229965,89849649,59242361,27369272931,59228523,89847186,59240921,27973638946,59229140,89847916,59242008,24921918334,30618155,40042,34541,24788770862,30617952,41903,36051,25378495205,30617593,41366,36163,25471786819,30617231,39430,34048,24645103891,30615480,36219,30697,24654122445,30615495,36779,31475,25264502887,30616231,37367,32328,25668992018,30615939,37536,32241,24976743637,30615599,38263,32782,25049724933,30616309,39358,33936,25184357377,30615045,36240,31149,25587470437,30616580,39155,33559,25450723624,30619191,40665,35487,25320687786,30617570,40021,34486,25618235585,30616312,38787,33428,26298987219,30615469,38989,33624,
2026-08-13,12:02:37.166,997,27095124527,58987182,89608602,59000628,27178358736,58984642,89605230,58998166,27355155887,58984791,89604192,58997621,27864610987,58984817,89605323,58998177,26743525997,58984906,89606399,58998460,26810155689,58984543,89605360,58997669,27150363419,58984162,89603954,58997368,27722922245,58983806,89602302,58995867,26795335731,58985787,89606000,58998820,26868331589,58985672,89604573,58998534,27083414707,58984886,89603723,58997262,27251230782,58985471,89604168,58998055,26863767674,58983310,89604603,58996596,27172619380,58984831,89604975,58997316,27234978886,58983783,89600989,58995065,27837830813,58984744,89603396,58997225,24918007341,30613561,28756,23048,24782423826,30612680,28911,23265,25377399809,30612359,28870,23172,25466585616,30613211,28767,22945,24644243821,30611778,25533,20092,24652073131,30611661,26360,20977,25269250288,30612183,27038,21738,25678255719,30612360,27430,21955,24978213881,30611401,27481,21815,25046088159,30612414,29535,23951,25180245764,30611475,26149,20599,25591576143,30612686,27411,21999,25454825319,30614778,29527,24005,25318933465,30613318,28003,22326,25621542472,30611502,27900,22169,26305829942,30610825,27708,21722,
2026-08-13,12:02:38.165,997,25326104031,55826617,86502026,55874115,25501732191,55823464,86497949,55871511,25697348235,55823038,86493734,55867050,26151936520,55823454,86499086,55871903,24960858219,55821599,86495408,55867937,25032464634,55821502,86499334,55871596,25475867444,55823871,86498674,55872416,26005640635,55822607,86497769,55871302,25020282494,55824313,86501432,55874430,25132371456,55824773,86499068,55872984,25424977993,55825783,86499908,55873627,25604335549,55824390,86498092,55872195,25120617245,55822814,86498304,55869977,25520403181,55821344,86491354,55863693,25591340865,55821509,86494145,55868079,26148812903,55823746,86495878,55869608,24745940298,30638302,39900,34095,24574264105,30637918,41749,35729,25227046372,30637414,41420,34862,25283179722,30638100,39934,34392,24533780489,30636166,36490,30742,24471537590,30636154,37735,31850,25168008999,30636110,38193,31899,25591665720,30636160,37219,31677,24861744460,30635984,38883,32914,24881520415,30636347,39466,33369,25029229232,30635273,37065,30905,25497712732,30636503,38123,32160,25341708326,30639384,41642,35184,25149791468,30639037,41610,35457,25512945528,30636740,39982,33772,26197230401,30636506,40307,33941,
2026-08-13,12:02:39.165,997,23429227566,52058807,82782100,52126517,23561815951,52057610,82782498,52127746,23727849966,52057959,82777776,52123044,24163897265,52060619,82785868,52130564,23084764432,52058549,82785219,52129665,23137847994,52056537,82786334,52130830,23425157312,52057467,82784067,52129602,24005093551,52057293,82784576,52130014,23097768078,52059477,82789178,52134327,23175862903,52058446,82784792,52130779,23462497452,52060627,82785237,52131318,23622418129,52060948,82787473,52133425,23284477577,52055600,82783647,52127824,23612938387,52056771,82779274,52123861,23666111783,52053912,82777652,52123806,24205171371,52057109,82779028,52124753,24627029273,30660737,27776,21693,24436726952,30660723,28936,22820,25114330934,30660054,29203,22287,25126735503,30660564,27296,21104,24466737823,30659228,25099,18786,24367753223,30659309,25474,19666,25088333485,30659690,26190,20138,25491584903,30660019,26203,20622,24769785792,30658680,26579,20391,24750430516,30659211,28071,21430,24905272795,30658495,25895,19227,25409480122,30659941,26902,20431,25277084281,30662114,28233,22772,25042399085,30661146,27650,22228,25438531725,30659325,26637,20895,26083250920,30659182,27365,21333,
2026-08-13,12:02:40.165,998,19804166310,44735056,75579013,44844722,19837884087,44735809,75579390,44846025,19956325268,44738503,75579094,44845838,20354625066,44736176,75577656,44844003,19465222006,44738430,75587443,44853215,19495120537,44733144,75582666,44848977,19484189766,44735367,75584535,44851523,20152458340,44733909,75581543,44848450,19395311973,44736795,75591134,44856855,19414917614,44734806,75586204,44852789,19692236444,44739585,75587051,44853709,19823469689,44739042,75588513,44856195,19762811341,44731251,75582551,44847507,19960674161,44734085,75578171,44843509,19971439188,44731598,75577749,44844279,20466339781,44732557,75576075,44842461,24397004646,30743128,40518,32881,24174585812,30742815,42256,33682,24900336257,30742554,43064,33850,24816913251,30743365,41164,33308,24331532008,30741973,39208,30124,24157743442,30741866,39334,31452,24932723180,30742164,39713,31653,25286019967,30742622,39586,32614,24590546843,30741688,39766,32019,24494703394,30742376,41231,32414,24659298186,30741567,39042,30399,25235523029,30742166,40993,31869,25147790099,30744651,40587,34080,24831018190,30744098,41457,34161,25291181676,30742967,40770,33246,25874267117,30742216,40912,32973,
2026-08-13,12:02:41.166,998,16278380439,36457837,67337358,36566842,16296318212,36457984,67337237,36567742,16493790242,36460551,67336628,36567401,16751256400,36458557,67335592,36565729,16239122769,36460442,67346263,36575560,16256421089,36455739,67341094,36570792,16316082455,36457463,67342655,36573529,16844986209,36455620,67339811,36569861,15923898184,36459881,67350433,36579180,15951062651,36456959,67343868,36574324,16114736521,36461958,67345022,36575519,16268911844,36461242,67347275,36578059,16430141651,36454487,67341573,36569799,16556596059,36456473,67336461,36565689,16675857655,36454753,67336411,36566341,17022511670,36454710,67334116,36563965,24111131197,30777851,34424,26430,23814183806,30777226,36316,27306,24601806141,30777065,36211,26773,24481505290,30777675,34690,26195,24005907601,30776824,32768,23515,23742420463,30776936,33428,24637,24597263893,30777265,33870,25196,24921194378,30777343,32824,25332,24388982318,30776585,33943,24987,24171638925,30777048,35905,26503,24329872450,30775774,33027,23649,24999748901,30777190,35103,25227,24898178771,30779584,35533,27748,24459174033,30777655,33583,25930,25001235569,30777015,34371,25686,25562875176,30776464,34097,25619,
2026-08-13,12:02:42.166,998,10550828593,21744834,52713364,21854211,10543070909,21745902,52714560,21855998,10775930752,21748321,52714101,21855875,10878268674,21746381,52712984,21854125,10837062202,21747702,52721856,21862729,10824535696,21742551,52717001,21857912,10954272028,21744592,52718396,21859482,11237740776,21742877,52714546,21856543,10543922223,21745448,52723975,21865399,10527010728,21742689,52718084,21860382,10632027162,21748696,52719161,21861789,10845003887,21747883,52721582,21864580,10971423765,21740760,52715261,21855990,10994400887,21743034,52711298,21852489,11200140502,21740580,52711060,21853152,11360575224,21741694,52709298,21851345,23753439890,30868528,40353,33571,23415901121,30869166,42837,35316,24239932397,30868532,43681,35208,24072148326,30868899,41119,33803,23670335424,30867145,38957,30502,23298247670,30867304,39095,31424,24238194425,30867831,40002,31882,24510244911,30867515,39089,32249,24051799491,30866508,38957,31827,23683748759,30867756,40892,33011,23864788136,30866378,39545,30830,24597568391,30867536,41639,32553,24551145291,30869685,40961,34174,23976499485,30869048,40622,34216,24593504593,30868354,40276,33569,25128491678,30867553,40338,33401,
2026-08-13,12:02:43.166,997,9257773275,18213183,49176699,18319855,9219954782,18213847,49176747,18320808,9432792132,18216959,49176877,18321189,9527377062,18214531,49175678,18319215,9619400531,18216628,49185857,18328914,9568582225,18211505,49180447,18323921,9681571001,18214217,49182949,18326556,9952309040,18211724,49179760,18323312,9355134107,18215639,49189448,18332385,9305238630,18213273,49184537,18328274,9402554168,18218590,49185536,18329557,9597793055,18217035,49187531,18331879,9694703080,18209727,49179466,18322384,9676418438,18212739,49176402,18319293,9875668203,18210134,49175800,18319816,10019096280,18211146,49173930,18317712,23687350829,30862577,29739,23058,23348287813,30861925,31454,23499,24175303322,30861276,32466,23238,23985442194,30861917,29544,22402,23602118603,30861439,28941,20444,23213049099,30861125,28891,21089,24172427677,30861543,30566,21839,24427303417,30861492,28168,21502,23989692019,30861188,30226,22313,23603380474,30861856,31568,23233,23793219874,30860525,29256,20413,24523713120,30861611,30620,21973,24480944625,30863116,30787,24095,23882871864,30862174,29755,22831,24503539106,30861409,29267,22425,25030295130,30860464,29431,21876,
2026-08-13,12:02:44.165,997,6402595940,9698338,40697399,9806374,6304697619,9698687,40697296,9807188,6475405402,9701316,40697597,9807820,6558646743,9699975,40696714,9806046,6762058705,9701087,40706176,9815171,6623724814,9696056,40701705,9810697,6698584225,9697587,40701494,9811751,6951418490,9696374,40699024,9809080,6618057429,9699981,40708439,9818082,6486314479,9697061,40702503,9813216,6559661695,9702102,40703303,9813803,6715946319,9700567,40705076,9816292,6850716258,9693579,40698930,9808016,6740743409,9697021,40694832,9804296,6908291436,9694155,40695123,9804893,7035061542,9695163,40693496,9802857,23657260698,30900411,40100,33202,23303039758,30900262,42582,34820,24159636385,30900041,43475,34996,23929984223,30900518,41036,33116,23560580135,30898938,37979,29904,23132476903,30898884,37866,30745,24129748092,30899790,39629,31997,24361222518,30899657,38497,31835,23949006842,30898559,39949,32019,23507181677,30899316,40986,32790,23714983392,30898199,38678,29993,24462979441,30899084,40088,31655,24445999911,30901115,39388,33474,23786676567,30900163,40268,33333,24436475133,30900370,40538,33361,24967361699,30899225,39049,31625,
2026-08-13,12:02:45.165,997,6258078391,9294961,40294474,9401164,6153389924,9295881,40295371,9402896,6327528148,9297209,40294003,9401912,6410758545,9296252,40293334,9400370,6632544086,9297380,40303012,9409378,6493866663,9292318,40297981,9404895,6568891851,9294659,40299997,9407338,6814446816,9292535,40296099,9403876,6486894486,9296009,40306328,9413313,6351947111,9293977,40300763,9408673,6425230180,9299202,40301561,9409384,6580418578,9297295,40303489,9411803,6721626429,9290272,40296372,9402932,6607516788,9293281,40292903,9399503,6774176112,9290956,40292434,9400171,6901547109,9291636,40290621,9398144,23659678392,30898157,27911,21123,23305612305,30898137,30485,22693,24166725974,30897289,30493,22285,23931764676,30897642,28386,20794,23564881137,30897469,27324,19350,23130278065,30896739,25981,19205,24132807453,30897745,28266,20878,24359810226,30897403,26392,20418,23954720101,30896394,26958,20449,23508372922,30897335,29774,21772,23715325024,30896271,26855,18749,24462549986,30897496,28693,20921,24455221660,30899121,27939,22417,23788827787,30897706,26912,20642,24440646893,30897228,27296,20514,24967271451,30896736,27946,21107,
2026-08-13,12:02:46.165,998,6268254884,9307602,40336908,9417090,6167808286,9308744,40337212,9418552,6333936813,9309925,40336600,9418095,6423113142,9308404,40335445,9416165,6627224559,9310352,40344900,9425499,6490320423,9304780,40340267,9420643,6569177767,9307341,40341582,9422869,6814347349,9306237,40339002,9420166,6496058778,9309346,40348473,9429468,6365777766,9306510,40343015,9424449,6432856536,9312139,40343968,9425697,6594494789,9309639,40345635,9427701,6717347403,9303890,40339507,9419053,6603100312,9307308,40336191,9416420,6769926529,9304411,40335749,9416955,6896045327,9304938,40332982,9414173,23672435915,30931910,45245,37631,23317895489,30932546,50018,40451,24176984345,30932575,49475,40858,23944463662,30932396,46610,38679,23576091641,30930691,43951,34866,23141732561,30930866,43934,35782,24142945348,30931264,44961,36368,24371140645,30930993,43748,36008,23961805033,30930117,45414,36967,23521341264,30931346,46842,37650,23726410797,30929687,44494,34838,24477293023,30930906,45349,36367,24465753522,30933618,46335,39094,23796505583,30932220,46014,38337,24455630013,30931796,45736,37872,24979730376,30931076,46386,37921,
2026-08-13,12:02:47.166,998,6245732597,9323967,40352994,9430568,6137563275,9324979,40354562,9432939,6312067360,9326379,40353472,9431922,6398012074,9325435,40353004,9430978,6668429221,9327353,40363141,9440209,6522838962,9321601,40357876,9435424,6598419299,9324202,40358635,9437041,6849972072,9322572,40355934,9434130,6472850667,9326026,40365919,9443167,6335321062,9323022,40360104,9438431,6400136763,9328989,40360609,9439467,6566454963,9327084,40363076,9442150,6741263990,9320228,40356485,9433492,6621407496,9323152,40352406,9429917,6792679436,9320607,40352032,9430217,6916113159,9320749,40349882,9427740,23679915847,30927687,28417,22015,23330180638,30927182,30136,22948,24188061182,30926539,30047,22383,23955910013,30926531,28484,21180,23587236554,30926445,27458,19576,23155821778,30926046,26434,19886,24155098545,30926213,28443,20544,24382094297,30926344,27284,20749,23972544833,30925829,29057,21469,23530225459,30926917,30321,22548,23739002880,30925264,28419,19579,24487558018,30926259,28475,20711,24476310914,30927995,28031,22226,23810607477,30927411,28852,22157,24464651908,30926795,28791,21600,24990182856,30925586,27788,20687,
2026-08-13,12:02:48.166,998,6255155961,9305309,40334308,9413195,6150229131,9305261,40333771,9413958,6322818013,9307031,40333547,9413542,6405810662,9305438,40332445,9412017,6641118335,9307933,40342090,9421444,6500611207,9301908,40337726,9416641,6579061305,9305128,40338402,9418745,6823473896,9302915,40335882,9415638,6498624456,9306976,40345331,9425132,6366576880,9303776,40339964,9420158,6435250470,9309769,40341846,9422181,6592251501,9307258,40343314,9424220,6705473348,9300427,40336515,9415200,6588350327,9303924,40333367,9412325,6756391159,9301069,40332285,9412534,6882457555,9301627,40330459,9410090,23672920248,30930441,40910,33189,23321183890,30930699,43794,35188,24180082933,30931015,44388,35542,23946123356,30930847,41520,33700,23577726433,30929190,39640,30552,23143149474,30930071,39153,31656,24143599981,30929673,41647,32079,24374417524,30929676,39413,31570,23971750996,30928904,41238,32741,23523259267,30930348,42794,33568,23733468943,30929499,41026,31669,24479961985,30930741,42163,33688,24467697167,30932730,41915,35186,23798816604,30931956,42962,35363,24458422695,30930544,41231,33535,24982453810,30930950,42216,34325,
2026-08-13,12:02:49.166,997,6265367365,9286001,40284155,9392696,6162119266,9286048,40284347,9393679,6328634699,9288632,40284593,9393827,6417865988,9286817,40283227,9391920,6616436666,9289406,40292361,9401173,6477393775,9283547,40287215,9396259,6558163951,9285843,40289048,9398584,6798418556,9283898,40286293,9395407,6500288088,9287452,40295674,9404456,6365364778,9285322,40289866,9399352,6440592509,9291257,40291410,9401432,6592915324,9288893,40292885,9403064,6698796445,9281743,40285770,9394169,6590672793,9285221,40283027,9391360,6754275488,9282216,40282258,9391496,6882828209,9282523,40280381,9389374,23650774730,30896145,27222,21251,23300214596,30896202,28972,22243,24158760229,30896599,30745,23376,23924554116,30895999,27217,20527,23556068268,30894660,27077,18737,23126890765,30894947,26574,19758,24121311753,30895820,28133,20927,24351411107,30895744,26047,20422,23947405311,30894152,26745,20151,23500506476,30895722,29688,21589,23710167537,30894273,27732,19286,24456084375,30895425,28250,20600,24436423290,30897206,28494,22402,23779885765,30896415,28072,21503,24431117336,30896035,27718,21118,24961789846,30896081,28525,22174,
2026-08-13,12:02:50.165,997,6014096056,9119146,40086098,9227666,5913115986,9119382,40086635,9228999,6073209025,9122102,40086764,9229026,6152865021,9120184,40085093,9227181,6396964158,9122381,40094885,9237086,6276493287,9116948,40089826,9232088,6310427313,9118910,40090332,9233324,6550276158,9117557,40087781,9230970,6119612867,9120834,40097306,9240018,5998420987,9117917,40091868,9235145,6052686375,9124703,40092946,9236529,6216632183,9122264,40095108,9238526,6464112732,9115584,40088630,9230591,6384291339,9118171,40084084,9226686,6524344990,9115400,40084133,9227246,6632082779,9116222,40082297,9225146,21360302471,30873633,60246,53105,21088363034,30872962,62342,54441,21706610833,30873294,64380,55880,21572713272,30873978,62231,54560,21297700482,30873133,59835,51185,20997047647,30872904,59903,52198,21675905470,30873255,60455,52190,21890409246,30873200,59164,52403,21620371593,30872246,60498,53217,21299307940,30874172,62924,54937,21432824779,30871813,60845,51265,21977100796,30873969,61481,52375,22005389352,30875076,61104,54631,21574258556,30873395,61272,54535,21971856043,30874132,61930,54893,22435747603,30873253,61913,54445,
2026-08-13,12:02:51.165,997,6008204748,9121954,40089088,9228443,5907259964,9122657,40089869,9230180,6067891263,9124078,40089080,9229352,6142878975,9122879,40087622,9227831,6382832617,9125664,40097385,9237742,6263780288,9119383,40092216,9232748,6291565115,9121870,40093345,9234284,6534953791,9120491,40091014,9232281,6092707370,9123828,40099268,9240515,5973598692,9121110,40094991,9236320,6024168277,9127839,40096760,9238023,6189011237,9124798,40097748,9239191,6470274051,9117608,40090494,9230383,6395389862,9120915,40087115,9227599,6532612774,9118458,40086508,9227966,6639099821,9118968,40084677,9225292,21242690690,30871328,48999,42403,20980409855,30870877,51717,44409,21582576544,30871881,54930,46984,21453983467,30871295,51763,44458,21183882710,30871279,50966,42386,20888461484,30872062,51616,44951,21547895953,30872369,51583,43914,21764120463,30872197,50907,44700,21500177129,30870560,52051,44873,21189182097,30872154,53909,46199,21317543851,30870597,51706,42960,21851097090,30872627,51778,43572,21879992038,30872755,51590,45641,21462708537,30870873,50460,44081,21847257000,30871460,50920,44065,22308859561,30870325,50697,43338,
2026-08-13,12:02:52.165,998,6003952947,9126622,40124363,9235381,5907390289,9127201,40124898,9237049,6066791665,9129413,40124622,9236810,6144008953,9127735,40123405,9235194,6386984499,9130746,40133007,9244897,6269246614,9125555,40128544,9240569,6299928532,9126745,40129417,9241997,6538952457,9125346,40127010,9239680,6107524277,9128931,40136111,9248584,5992321129,9126076,40130760,9243563,6038668812,9132201,40132068,9245588,6207222555,9130436,40134533,9247773,6456669734,9123100,40127190,9238415,6381881693,9126271,40123308,9235445,6518862689,9123690,40123293,9235935,6628998143,9123757,40120535,9232966,21260785019,30906815,67970,60408,20993915960,30906626,71850,63534,21601585392,30906808,73357,64313,21467916762,30906919,70783,62477,21199749893,30906557,69264,59255,20906166843,30906098,69301,60535,21566319285,30907853,70044,61565,21782937114,30907490,69357,61820,21519898820,30906292,70209,61868,21207147675,30906984,70869,61885,21332214175,30905124,68755,59069,21868935959,30907631,70036,60478,21899910479,30908641,70166,62999,21480604445,30906076,69370,61791,21867740591,30906736,68315,60539,22327483669,30906829,70234,62261,
2026-08-13,12:02:53.166,998,5998199390,9129727,40123429,9236973,5895671342,9130636,40124307,9238778,6059266713,9132775,40123919,9238498,6133771041,9131358,40122460,9236650,6400587630,9133049,40131736,9246317,6283029314,9128295,40126472,9241324,6311147542,9130009,40127575,9242785,6552247119,9128902,40125191,9240754,6098045302,9132062,40133789,9249157,5978504052,9129287,40128972,9244587,6030681337,9134419,40130133,9245747,6195187241,9132622,40132203,9247877,6461951166,9125915,40125577,9239268,6382486048,9129063,40121454,9236233,6521007531,9126663,40121116,9236699,6630578728,9126619,40118892,9233647,21255714007,30897316,49255,42885,20989441370,30896900,52831,45244,21596180823,30897934,55349,47551,21466334979,30897231,51518,44574,21195705978,30897590,51244,43390,20898625534,30897097,52681,44534,21564016181,30898666,53456,45267,21776354760,30899346,52386,46100,21514128360,30897351,53535,46140,21198396988,30897511,53939,45972,21330575325,30897468,53032,44724,21861662879,30899131,52920,45184,21894692182,30899260,52199,46107,21472583517,30897485,52970,46344,21860261248,30897859,52346,45765,22320286573,30896797,50581,43698,
2026-08-13,12:02:54.166,998,5994271127,9130579,40128344,9239231,5890788846,9130935,40128233,9241028,6054008673,9133846,40127857,9240873,6129662986,9131996,40126587,9239333,6405851456,9133612,40135742,9248817,6289487732,9128315,40131482,9244213,6314711396,9130070,40132568,9245475,6555208013,9128461,40129794,9243150,6096466700,9133120,40139466,9252514,5978501572,9129997,40133863,9247486,6025972513,9135077,40134835,9248729,6192728664,9133059,40136944,9250747,6469317843,9126756,40130392,9242461,6390398441,9129467,40125524,9238166,6529169062,9126723,40125371,9239064,6636318219,9127390,40124041,9236829,21260547616,30904602,64605,56203,20994616553,30904209,68457,59750,21602694278,30904240,69980,60121,21468436536,30904067,66555,58093,21200135613,30903103,63958,54562,20906821378,30903503,64697,55964,21567786291,30904840,66062,57042,21783414852,30904566,64219,56801,21518111595,30902859,65711,56895,21205512210,30904097,67417,57999,21335715309,30902685,64516,54832,21869438899,30904859,65519,56374,21899711018,30905174,65709,58516,21483505131,30903705,66275,58718,21866564218,30903168,65300,57406,22328170227,30903929,66098,58160,
