,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Ch6Read,Ch6Write,Ch6PMM_Read,Ch6PMM_Write,Ch7Read,Ch7Write,Ch7PMM_Read,Ch7PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Ch6Read,Ch6Write,Ch6PMM_Read,Ch6PMM_Write,Ch7Read,Ch7Write,Ch7PMM_Read,Ch7PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),Memory (MB/s),DRAMRead,DRAMWrite,PMMREAD,PMMWrite,Read,Write,Memory
2026-03-14,20:17:32.253,   20.75,   19.75,    0.00,    0.00,   20.75,   19.80,    0.00,    0.00,   20.65,   19.64,    0.00,    0.00,,,,,   20.71,   19.45,    0.00,    0.00,   20.71,   19.35,    0.00,    0.00,   20.72,   19.41,    0.00,    0.00,,,,,  124.29,  117.40,    0.00,    0.00,  241.69,    1.60,    1.87,    0.00,    0.00,    1.57,    1.89,    0.00,    0.00,    1.57,    1.85,    0.00,    0.00,,,,,    1.45,    1.66,    0.00,    0.00,    1.47,    1.66,    0.00,    0.00,    1.49,    1.75,    0.00,    0.00,,,,,    9.15,   10.68,    0.00,    0.00,   19.83,    133.43,    128.08,      0.00,      0.00,    133.43,    128.08,    261.51
2026-03-14,20:17:33.254,  156.09,  100.04,    0.00,    0.00,  156.19,  100.19,    0.00,    0.00,  156.28,  100.21,    0.00,    0.00,,,,,  155.72,   99.59,    0.00,    0.00,  155.72,   99.59,    0.00,    0.00,  155.74,   99.59,    0.00,    0.00,,,,,  935.74,  599.22,    0.00,    0.00, 1534.95,    3.11,    2.71,    0.00,    0.00,    3.10,    2.75,    0.00,    0.00,    3.11,    2.74,    0.00,    0.00,,,,,    2.79,    2.44,    0.00,    0.00,    2.83,    2.44,    0.00,    0.00,    2.87,    2.54,    0.00,    0.00,,,,,   17.80,   15.63,    0.00,    0.00,   33.43,    953.53,    614.85,      0.00,      0.00,    953.53,    614.85,   1568.38
2026-03-14,20:17:34.254,  971.73,  536.76,    0.00,    0.00,  972.34,  537.32,    0.00,    0.00,  972.34,  537.22,    0.00,    0.00,,,,,  971.06,  536.07,    0.00,    0.00,  971.39,  536.33,    0.00,    0.00,  971.13,  536.08,    0.00,    0.00,,,,, 5829.97, 3219.78,    0.00,    0.00, 9049.75,    5.95,    4.46,    0.00,    0.00,    5.97,    4.56,    0.00,    0.00,    5.89,    4.40,    0.00,    0.00,,,,,    5.62,    4.14,    0.00,    0.00,    5.65,    4.04,    0.00,    0.00,    5.73,    4.17,    0.00,    0.00,,,,,   34.80,   25.77,    0.00,    0.00,   60.57,   5864.77,   3245.56,      0.00,      0.00,   5864.77,   3245.56,   9110.32
2026-03-14,20:17:35.253,  129.45,  117.97,    0.00,    0.00,  131.15,  123.25,    0.00,    0.00,  129.44,  118.28,    0.00,    0.00,,,,,  130.93,  121.71,    0.00,    0.00,  129.91,  119.56,    0.00,    0.00,  130.63,  122.11,    0.00,    0.00,,,,,  781.51,  722.89,    0.00,    0.00, 1504.39,    4.85,   12.65,    0.00,    0.00,    4.93,   12.73,    0.00,    0.00,    4.79,   12.48,    0.00,    0.00,,,,,    4.54,   12.59,    0.00,    0.00,    4.53,   12.51,    0.00,    0.00,    4.67,   12.78,    0.00,    0.00,,,,,   28.32,   75.75,    0.00,    0.00,  104.07,    809.83,    798.63,      0.00,      0.00,    809.83,    798.63,   1608.46
2026-03-14,20:17:36.253,   81.71,   82.34,    0.00,    0.00,   81.83,   82.31,    0.00,    0.00,   81.55,   81.82,    0.00,    0.00,,,,,   82.77,   83.59,    0.00,    0.00,   82.72,   83.66,    0.00,    0.00,   82.70,   83.54,    0.00,    0.00,,,,,  493.28,  497.25,    0.00,    0.00,  990.53,   17.49,   19.41,    0.00,    0.00,   17.60,   19.49,    0.00,    0.00,   17.43,   19.16,    0.00,    0.00,,,,,   17.49,   19.15,    0.00,    0.00,   17.41,   19.11,    0.00,    0.00,   17.56,   19.36,    0.00,    0.00,,,,,  104.97,  115.68,    0.00,    0.00,  220.65,    598.24,    612.93,      0.00,      0.00,    598.24,    612.93,   1211.17
2026-03-14,20:17:37.254,  582.77,  466.41,    0.00,    0.00,  585.28,  471.45,    0.00,    0.00,  583.39,  469.13,    0.00,    0.00,,,,,  584.69,  471.44,    0.00,    0.00,  583.66,  469.95,    0.00,    0.00,  582.58,  466.04,    0.00,    0.00,,,,, 3502.37, 2814.42,    0.00,    0.00, 6316.79,  251.47,  207.80,    0.00,    0.00,  251.64,  208.09,    0.00,    0.00,  251.58,  207.81,    0.00,    0.00,,,,,  251.71,  207.64,    0.00,    0.00,  251.65,  207.40,    0.00,    0.00,  251.66,  207.65,    0.00,    0.00,,,,, 1509.71, 1246.39,    0.00,    0.00, 2756.10,   5012.08,   4060.82,      0.00,      0.00,   5012.08,   4060.82,   9072.89
2026-03-14,20:17:38.254,   66.11,   52.25,    0.00,    0.00,   66.09,   52.27,    0.00,    0.00,   66.15,   52.29,    0.00,    0.00,,,,,   65.92,   52.17,    0.00,    0.00,   65.92,   52.07,    0.00,    0.00,   65.93,   52.08,    0.00,    0.00,,,,,  396.11,  313.13,    0.00,    0.00,  709.24,    1.45,    1.39,    0.00,    0.00,    1.44,    1.46,    0.00,    0.00,    1.44,    1.40,    0.00,    0.00,,,,,    1.33,    1.30,    0.00,    0.00,    1.36,    1.26,    0.00,    0.00,    1.37,    1.33,    0.00,    0.00,,,,,    8.38,    8.13,    0.00,    0.00,   16.51,    404.50,    321.26,      0.00,      0.00,    404.50,    321.26,    725.75
2026-03-14,20:17:39.255,   73.14,   59.52,    0.00,    0.00,   73.09,   59.52,    0.00,    0.00,   73.08,   59.48,    0.00,    0.00,,,,,   72.54,   58.99,    0.00,    0.00,   72.49,   58.98,    0.00,    0.00,   72.54,   58.97,    0.00,    0.00,,,,,  436.87,  355.45,    0.00,    0.00,  792.32,    4.63,    2.62,    0.00,    0.00,    4.63,    2.66,    0.00,    0.00,    4.60,    2.56,    0.00,    0.00,,,,,    4.35,    2.31,    0.00,    0.00,    4.35,    2.24,    0.00,    0.00,    4.41,    2.40,    0.00,    0.00,,,,,   26.97,   14.79,    0.00,    0.00,   41.75,    463.84,    370.23,      0.00,      0.00,    463.84,    370.23,    834.08
2026-03-14,20:17:40.254,   62.60,   48.04,    0.00,    0.00,   62.56,   48.03,    0.00,    0.00,   62.59,   48.08,    0.00,    0.00,,,,,   62.27,   47.88,    0.00,    0.00,   62.23,   47.83,    0.00,    0.00,   62.33,   47.82,    0.00,    0.00,,,,,  374.58,  287.67,    0.00,    0.00,  662.26,    1.22,    1.40,    0.00,    0.00,    1.21,    1.45,    0.00,    0.00,    1.22,    1.41,    0.00,    0.00,,,,,    1.13,    1.29,    0.00,    0.00,    1.13,    1.27,    0.00,    0.00,    1.19,    1.39,    0.00,    0.00,,,,,    7.10,    8.22,    0.00,    0.00,   15.32,    381.68,    295.90,      0.00,      0.00,    381.68,    295.90,    677.57
2026-03-14,20:17:41.258, 5866.59, 1633.41,    0.00,    0.00, 5873.87, 1646.65,    0.00,    0.00, 5868.12, 1640.13,    0.00,    0.00,,,,, 5794.41, 1634.51,    0.00,    0.00, 5798.81, 1632.20,    0.00,    0.00, 5794.40, 1628.04,    0.00,    0.00,,,,,34996.19, 9814.94,    0.00,    0.00,44811.13,  741.69,  819.49,    0.00,    0.00,  742.05,  820.51,    0.00,    0.00,  741.32,  819.78,    0.00,    0.00,,,,,  733.44,  816.54,    0.00,    0.00,  732.82,  815.75,    0.00,    0.00,  733.56,  815.94,    0.00,    0.00,,,,, 4424.89, 4908.01,    0.00,    0.00, 9332.90,  39421.08,  14722.96,      0.00,      0.00,  39421.08,  14722.96,  54144.03
2026-03-14,20:17:42.254,14322.68, 1475.37,    0.00,    0.00,14357.47, 1545.12,    0.00,    0.00,14337.05, 1512.52,    0.00,    0.00,,,,,14098.39, 1474.48,    0.00,    0.00,14118.87, 1480.36,    0.00,    0.00,14092.08, 1443.56,    0.00,    0.00,,,,,85326.55, 8931.40,    0.00,    0.00,94257.95,  488.65,  515.51,    0.00,    0.00,  488.35,  515.97,    0.00,    0.00,  487.37,  515.39,    0.00,    0.00,,,,,  478.30,  503.86,    0.00,    0.00,  477.15,  502.59,    0.00,    0.00,  480.28,  503.99,    0.00,    0.00,,,,, 2900.10, 3057.31,    0.00,    0.00, 5957.41,  88226.65,  11988.71,      0.00,      0.00,  88226.65,  11988.71, 100215.36
2026-03-14,20:17:43.255,14290.18, 1407.24,    0.00,    0.00,14319.15, 1463.62,    0.00,    0.00,14303.59, 1436.23,    0.00,    0.00,,,,,14093.70, 1407.93,    0.00,    0.00,14104.58, 1407.24,    0.00,    0.00,14085.76, 1381.62,    0.00,    0.00,,,,,85196.96, 8503.89,    0.00,    0.00,93700.85,  526.02,  554.51,    0.00,    0.00,  525.42,  555.09,    0.00,    0.00,  525.07,  554.75,    0.00,    0.00,,,,,  515.97,  545.81,    0.00,    0.00,  515.29,  545.00,    0.00,    0.00,  517.38,  545.16,    0.00,    0.00,,,,, 3125.15, 3300.31,    0.00,    0.00, 6425.46,  88322.11,  11804.20,      0.00,      0.00,  88322.11,  11804.20, 100126.30
2026-03-14,20:17:44.258,13756.79, 1502.05,    0.00,    0.00,13788.54, 1560.51,    0.00,    0.00,13784.52, 1535.83,    0.00,    0.00,,,,,13595.65, 1505.88,    0.00,    0.00,13602.89, 1507.37,    0.00,    0.00,13580.18, 1477.79,    0.00,    0.00,,,,,82108.57, 9089.43,    0.00,    0.00,91198.01,  451.90,  461.06,    0.00,    0.00,  451.64,  462.39,    0.00,    0.00,  451.26,  461.20,    0.00,    0.00,,,,,  442.80,  451.79,    0.00,    0.00,  441.78,  450.39,    0.00,    0.00,  444.38,  451.27,    0.00,    0.00,,,,, 2683.76, 2738.11,    0.00,    0.00, 5421.87,  84792.34,  11827.54,      0.00,      0.00,  84792.34,  11827.54,  96619.88
2026-03-14,20:17:45.256,13993.12, 1541.57,    0.00,    0.00,14022.14, 1593.27,    0.00,    0.00,14013.56, 1568.91,    0.00,    0.00,,,,,13828.54, 1544.34,    0.00,    0.00,13833.91, 1538.91,    0.00,    0.00,13814.86, 1520.40,    0.00,    0.00,,,,,83506.12, 9307.39,    0.00,    0.00,92813.52,  435.49,  442.45,    0.00,    0.00,  434.47,  442.58,    0.00,    0.00,  434.06,  441.59,    0.00,    0.00,,,,,  425.59,  434.92,    0.00,    0.00,  424.98,  433.05,    0.00,    0.00,  428.15,  434.76,    0.00,    0.00,,,,, 2582.73, 2629.34,    0.00,    0.00, 5212.07,  86088.86,  11936.73,      0.00,      0.00,  86088.86,  11936.73,  98025.59
2026-03-14,20:17:46.255,15558.57, 1638.00,    0.00,    0.00,15598.08, 1706.38,    0.00,    0.00,15587.70, 1674.00,    0.00,    0.00,,,,,15345.88, 1640.67,    0.00,    0.00,15344.83, 1637.71,    0.00,    0.00,15327.61, 1609.41,    0.00,    0.00,,,,,92762.68, 9906.17,    0.00,    0.00,102668.85,  503.57,  541.53,    0.00,    0.00,  502.96,  542.05,    0.00,    0.00,  502.49,  540.58,    0.00,    0.00,,,,,  493.73,  531.58,    0.00,    0.00,  492.34,  530.11,    0.00,    0.00,  495.35,  531.95,    0.00,    0.00,,,,, 2990.44, 3217.79,    0.00,    0.00, 6208.23,  95753.12,  13123.97,      0.00,      0.00,  95753.12,  13123.97, 108877.09
2026-03-14,20:17:47.258,13498.58, 1367.98,    0.00,    0.00,13533.84, 1425.14,    0.00,    0.00,13516.83, 1396.89,    0.00,    0.00,,,,,13319.48, 1371.20,    0.00,    0.00,13320.05, 1367.06,    0.00,    0.00,13304.69, 1346.09,    0.00,    0.00,,,,,80493.47, 8274.36,    0.00,    0.00,88767.83,  547.81,  561.80,    0.00,    0.00,  548.82,  563.53,    0.00,    0.00,  547.75,  561.37,    0.00,    0.00,,,,,  539.91,  554.00,    0.00,    0.00,  538.72,  552.56,    0.00,    0.00,  541.64,  554.62,    0.00,    0.00,,,,, 3264.65, 3347.88,    0.00,    0.00, 6612.52,  83758.12,  11622.24,      0.00,      0.00,  83758.12,  11622.24,  95380.36
2026-03-14,20:17:48.257,14854.76, 1497.40,    0.00,    0.00,14914.23, 1581.55,    0.00,    0.00,14887.67, 1540.48,    0.00,    0.00,,,,,14674.13, 1503.73,    0.00,    0.00,14664.75, 1501.68,    0.00,    0.00,14654.40, 1466.00,    0.00,    0.00,,,,,88649.93, 9090.84,    0.00,    0.00,97740.77,  529.97,  589.13,    0.00,    0.00,  529.12,  589.46,    0.00,    0.00,  528.15,  587.91,    0.00,    0.00,,,,,  518.99,  577.04,    0.00,    0.00,  518.63,  576.08,    0.00,    0.00,  521.76,  577.25,    0.00,    0.00,,,,, 3146.61, 3496.86,    0.00,    0.00, 6643.47,  91796.54,  12587.71,      0.00,      0.00,  91796.54,  12587.71, 104384.24
