,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Ch6Read,Ch6Write,Ch6PMM_Read,Ch6PMM_Write,Ch7Read,Ch7Write,Ch7PMM_Read,Ch7PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Ch6Read,Ch6Write,Ch6PMM_Read,Ch6PMM_Write,Ch7Read,Ch7Write,Ch7PMM_Read,Ch7PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),Memory (MB/s),DRAMRead,DRAMWrite,PMMREAD,PMMWrite,Read,Write,Memory
2026-03-16,01:07:01.887,12953.44,  597.59,    0.00,    0.00,12944.58,  597.47,    0.00,    0.00,12967.84,  597.75,    0.00,    0.00,,,,,12438.63,  564.91,    0.00,    0.00,12452.79,  565.69,    0.00,    0.00,12441.37,  563.88,    0.00,    0.00,,,,,76198.65, 3487.28,    0.00,    0.00,79685.93,15409.92,  817.39,    0.00,    0.00,15404.26,  816.72,    0.00,    0.00,15402.60,  817.36,    0.00,    0.00,,,,,14794.19,  796.37,    0.00,    0.00,14795.05,  798.55,    0.00,    0.00,14794.09,  795.78,    0.00,    0.00,,,,,90600.12, 4842.16,    0.00,    0.00,95442.28, 166798.77,   8329.45,      0.00,      0.00, 166798.77,   8329.45, 175128.22
2026-03-16,01:07:02.887,12969.38,  598.64,    0.00,    0.00,12960.09,  598.32,    0.00,    0.00,12982.95,  598.15,    0.00,    0.00,,,,,12469.35,  567.33,    0.00,    0.00,12483.48,  567.29,    0.00,    0.00,12472.90,  566.49,    0.00,    0.00,,,,,76338.16, 3496.22,    0.00,    0.00,79834.38,15436.02,  814.11,    0.00,    0.00,15430.11,  814.16,    0.00,    0.00,15429.74,  814.20,    0.00,    0.00,,,,,14840.24,  792.67,    0.00,    0.00,14843.67,  794.46,    0.00,    0.00,14839.42,  792.28,    0.00,    0.00,,,,,90819.21, 4821.88,    0.00,    0.00,95641.09, 167157.38,   8318.10,      0.00,      0.00, 167157.38,   8318.10, 175475.48
2026-03-16,01:07:03.887,12926.76,  595.02,    0.00,    0.00,12915.94,  595.12,    0.00,    0.00,12939.71,  595.73,    0.00,    0.00,,,,,12446.52,  566.35,    0.00,    0.00,12462.02,  566.77,    0.00,    0.00,12451.58,  565.09,    0.00,    0.00,,,,,76142.54, 3484.08,    0.00,    0.00,79626.62,15374.12,  807.15,    0.00,    0.00,15372.39,  807.59,    0.00,    0.00,15368.67,  807.21,    0.00,    0.00,,,,,14809.84,  785.29,    0.00,    0.00,14811.26,  787.31,    0.00,    0.00,14806.92,  784.85,    0.00,    0.00,,,,,90543.19, 4779.40,    0.00,    0.00,95322.59, 166685.72,   8263.47,      0.00,      0.00, 166685.72,   8263.47, 174949.19
2026-03-16,01:07:04.887,12913.50,  594.12,    0.00,    0.00,12904.67,  593.94,    0.00,    0.00,12927.11,  594.12,    0.00,    0.00,,,,,12448.34,  566.44,    0.00,    0.00,12462.60,  566.67,    0.00,    0.00,12452.16,  565.88,    0.00,    0.00,,,,,76108.39, 3481.16,    0.00,    0.00,79589.55,15358.82,  805.26,    0.00,    0.00,15357.86,  806.27,    0.00,    0.00,15352.02,  806.20,    0.00,    0.00,,,,,14811.36,  783.12,    0.00,    0.00,14813.38,  785.68,    0.00,    0.00,14809.55,  782.78,    0.00,    0.00,,,,,90502.98, 4769.31,    0.00,    0.00,95272.29, 166611.38,   8250.47,      0.00,      0.00, 166611.38,   8250.47, 174861.84
2026-03-16,01:07:05.887,12907.43,  592.51,    0.00,    0.00,12898.49,  592.25,    0.00,    0.00,12920.84,  593.48,    0.00,    0.00,,,,,12450.07,  565.85,    0.00,    0.00,12464.47,  566.85,    0.00,    0.00,12453.89,  565.11,    0.00,    0.00,,,,,76095.18, 3476.06,    0.00,    0.00,79571.23,15354.36,  802.20,    0.00,    0.00,15350.22,  803.51,    0.00,    0.00,15345.53,  803.26,    0.00,    0.00,,,,,14814.28,  780.34,    0.00,    0.00,14818.79,  782.80,    0.00,    0.00,14814.87,  779.67,    0.00,    0.00,,,,,90498.05, 4751.77,    0.00,    0.00,95249.83, 166593.23,   8227.83,      0.00,      0.00, 166593.23,   8227.83, 174821.06
2026-03-16,01:07:06.887,12915.38,  599.94,    0.00,    0.00,12905.01,  600.37,    0.00,    0.00,12927.55,  600.74,    0.00,    0.00,,,,,12463.45,  574.13,    0.00,    0.00,12478.20,  574.90,    0.00,    0.00,12469.40,  573.03,    0.00,    0.00,,,,,76159.01, 3523.12,    0.00,    0.00,79682.12,15298.56,  798.39,    0.00,    0.00,15294.28,  798.71,    0.00,    0.00,15289.00,  798.61,    0.00,    0.00,,,,,14769.95,  775.26,    0.00,    0.00,14774.26,  777.81,    0.00,    0.00,14771.09,  775.09,    0.00,    0.00,,,,,90197.13, 4723.87,    0.00,    0.00,94921.00, 166356.14,   8246.98,      0.00,      0.00, 166356.14,   8246.98, 174603.12
2026-03-16,01:07:07.887,12901.91,  591.06,    0.00,    0.00,12893.27,  591.24,    0.00,    0.00,12914.38,  591.46,    0.00,    0.00,,,,,12458.32,  566.27,    0.00,    0.00,12472.36,  566.99,    0.00,    0.00,12462.60,  565.50,    0.00,    0.00,,,,,76102.83, 3472.53,    0.00,    0.00,79575.35,15401.02,  802.61,    0.00,    0.00,15399.50,  802.06,    0.00,    0.00,15393.06,  802.28,    0.00,    0.00,,,,,14879.86,  778.71,    0.00,    0.00,14881.13,  780.85,    0.00,    0.00,14877.93,  778.67,    0.00,    0.00,,,,,90832.51, 4745.19,    0.00,    0.00,95577.70, 166935.34,   8217.71,      0.00,      0.00, 166935.34,   8217.71, 175153.06
2026-03-16,01:07:08.884,12900.16,  590.43,    0.00,    0.00,12889.42,  590.45,    0.00,    0.00,12911.72,  590.51,    0.00,    0.00,,,,,12454.63,  565.27,    0.00,    0.00,12469.20,  565.75,    0.00,    0.00,12460.71,  564.74,    0.00,    0.00,,,,,76085.85, 3467.16,    0.00,    0.00,79553.02,15283.85,  796.11,    0.00,    0.00,15279.59,  796.39,    0.00,    0.00,15274.13,  796.43,    0.00,    0.00,,,,,14764.67,  773.33,    0.00,    0.00,14766.55,  775.33,    0.00,    0.00,14764.61,  772.76,    0.00,    0.00,,,,,90133.40, 4710.35,    0.00,    0.00,94843.75, 166219.25,   8177.51,      0.00,      0.00, 166219.25,   8177.51, 174396.77
2026-03-16,01:07:09.887,12906.22,  590.76,    0.00,    0.00,12897.62,  590.65,    0.00,    0.00,12919.17,  591.00,    0.00,    0.00,,,,,12462.34,  565.86,    0.00,    0.00,12475.74,  566.22,    0.00,    0.00,12467.09,  565.33,    0.00,    0.00,,,,,76128.18, 3469.83,    0.00,    0.00,79598.01,15356.90,  800.45,    0.00,    0.00,15352.68,  800.83,    0.00,    0.00,15345.81,  800.86,    0.00,    0.00,,,,,14834.81,  777.66,    0.00,    0.00,14836.51,  779.61,    0.00,    0.00,14835.52,  777.18,    0.00,    0.00,,,,,90562.23, 4736.59,    0.00,    0.00,95298.81, 166690.41,   8206.42,      0.00,      0.00, 166690.41,   8206.42, 174896.83
2026-03-16,01:07:10.884,12891.04,  591.63,    0.00,    0.00,12881.78,  592.18,    0.00,    0.00,12903.73,  592.24,    0.00,    0.00,,,,,12447.27,  567.00,    0.00,    0.00,12461.39,  567.11,    0.00,    0.00,12451.28,  565.87,    0.00,    0.00,,,,,76036.50, 3476.03,    0.00,    0.00,79512.53,15338.41,  799.10,    0.00,    0.00,15335.64,  798.56,    0.00,    0.00,15329.82,  798.82,    0.00,    0.00,,,,,14818.64,  775.20,    0.00,    0.00,14820.19,  777.96,    0.00,    0.00,14817.84,  775.44,    0.00,    0.00,,,,,90460.53, 4725.08,    0.00,    0.00,95185.61, 166497.03,   8201.11,      0.00,      0.00, 166497.03,   8201.11, 174698.14
2026-03-16,01:07:11.887,12892.90,  589.49,    0.00,    0.00,12883.78,  589.56,    0.00,    0.00,12906.58,  590.13,    0.00,    0.00,,,,,12449.12,  564.54,    0.00,    0.00,12464.13,  565.58,    0.00,    0.00,12453.16,  563.81,    0.00,    0.00,,,,,76049.66, 3463.12,    0.00,    0.00,79512.78,15397.33,  802.82,    0.00,    0.00,15395.91,  802.79,    0.00,    0.00,15387.85,  802.36,    0.00,    0.00,,,,,14876.29,  779.19,    0.00,    0.00,14877.21,  781.39,    0.00,    0.00,14874.91,  779.27,    0.00,    0.00,,,,,90809.50, 4747.83,    0.00,    0.00,95557.33, 166859.16,   8210.95,      0.00,      0.00, 166859.16,   8210.95, 175070.09
2026-03-16,01:07:12.884,12902.82,  589.51,    0.00,    0.00,12892.73,  589.63,    0.00,    0.00,12915.52,  589.46,    0.00,    0.00,,,,,12457.84,  564.58,    0.00,    0.00,12472.97,  564.85,    0.00,    0.00,12463.35,  563.74,    0.00,    0.00,,,,,76105.23, 3461.78,    0.00,    0.00,79567.02,15291.20,  796.66,    0.00,    0.00,15287.16,  796.57,    0.00,    0.00,15282.84,  796.29,    0.00,    0.00,,,,,14771.35,  773.47,    0.00,    0.00,14775.41,  775.47,    0.00,    0.00,14772.02,  773.48,    0.00,    0.00,,,,,90179.98, 4711.94,    0.00,    0.00,94891.92, 166285.22,   8173.72,      0.00,      0.00, 166285.22,   8173.72, 174458.94
2026-03-16,01:07:13.887,12889.03,  590.43,    0.00,    0.00,12881.92,  590.36,    0.00,    0.00,12903.92,  590.24,    0.00,    0.00,,,,,12446.96,  565.36,    0.00,    0.00,12461.04,  565.69,    0.00,    0.00,12449.92,  564.74,    0.00,    0.00,,,,,76032.79, 3466.81,    0.00,    0.00,79499.60,15344.30,  799.49,    0.00,    0.00,15342.56,  799.48,    0.00,    0.00,15337.65,  799.44,    0.00,    0.00,,,,,14825.13,  776.38,    0.00,    0.00,14827.90,  778.49,    0.00,    0.00,14823.17,  776.17,    0.00,    0.00,,,,,90500.72, 4729.45,    0.00,    0.00,95230.16, 166533.50,   8196.26,      0.00,      0.00, 166533.50,   8196.26, 174729.77
2026-03-16,01:07:14.885,12901.94,  591.06,    0.00,    0.00,12892.38,  591.17,    0.00,    0.00,12914.81,  591.52,    0.00,    0.00,,,,,12457.38,  566.01,    0.00,    0.00,12472.06,  566.38,    0.00,    0.00,12462.29,  565.16,    0.00,    0.00,,,,,76100.86, 3471.29,    0.00,    0.00,79572.16,15350.16,  800.30,    0.00,    0.00,15346.52,  800.25,    0.00,    0.00,15342.77,  800.27,    0.00,    0.00,,,,,14829.22,  777.02,    0.00,    0.00,14833.06,  779.03,    0.00,    0.00,14828.70,  776.86,    0.00,    0.00,,,,,90530.44, 4733.73,    0.00,    0.00,95264.17, 166631.30,   8205.03,      0.00,      0.00, 166631.30,   8205.03, 174836.33
