tag,test,n_prompt,n_gen,runs,test_time,avg_ns,avg_ts,stddev_ts
repl,pp512,512,0,10,2026-08-27T08:35:45Z,14290067212,37.070450,6.819729
repl,tg128,0,128,10,2026-08-27T08:38:33Z,17719311191,7.312871,0.734899
repl-distribute,pp512,512,0,10,2026-08-27T08:41:45Z,11820585318,45.355640,8.871066
repl-distribute,tg128,0,128,10,2026-08-27T08:44:34Z,17134165248,7.470464,0.008559
repl-distribute-warmup,pp512,512,0,10,2026-08-27T08:48:18Z,8600618403,59.535260,0.554986
repl-distribute-warmup,tg128,0,128,10,2026-08-27T08:49:53Z,17204228320,7.440041,0.007785
