round,elapsed_ms,tag
0,0.004020,pgtable_sync_repl_1n
1,0.004237,pgtable_sync_repl_1n
2,0.004205,pgtable_sync_repl_1n
3,0.004275,pgtable_sync_repl_1n
4,0.004244,pgtable_sync_repl_1n
5,0.004267,pgtable_sync_repl_1n
6,0.004171,pgtable_sync_repl_1n
7,0.004244,pgtable_sync_repl_1n
8,0.004225,pgtable_sync_repl_1n
9,0.004195,pgtable_sync_repl_1n
10,0.003858,pgtable_sync_repl_1n
11,0.004250,pgtable_sync_repl_1n
12,0.004250,pgtable_sync_repl_1n
13,0.004249,pgtable_sync_repl_1n
14,0.004235,pgtable_sync_repl_1n
15,0.004251,pgtable_sync_repl_1n
16,0.004184,pgtable_sync_repl_1n
17,0.004376,pgtable_sync_repl_1n
18,0.004219,pgtable_sync_repl_1n
19,0.004302,pgtable_sync_repl_1n
0,0.002748,pgtable_sync_norepl_1n
1,0.002778,pgtable_sync_norepl_1n
2,0.002726,pgtable_sync_norepl_1n
3,0.002726,pgtable_sync_norepl_1n
4,0.002742,pgtable_sync_norepl_1n
5,0.002735,pgtable_sync_norepl_1n
6,0.002718,pgtable_sync_norepl_1n
7,0.002723,pgtable_sync_norepl_1n
8,0.002710,pgtable_sync_norepl_1n
9,0.002710,pgtable_sync_norepl_1n
10,0.002714,pgtable_sync_norepl_1n
11,0.002727,pgtable_sync_norepl_1n
12,0.002717,pgtable_sync_norepl_1n
13,0.002845,pgtable_sync_norepl_1n
14,0.002726,pgtable_sync_norepl_1n
15,0.002702,pgtable_sync_norepl_1n
16,0.002709,pgtable_sync_norepl_1n
17,0.002737,pgtable_sync_norepl_1n
18,0.002806,pgtable_sync_norepl_1n
19,0.002743,pgtable_sync_norepl_1n
