readratio,writeratio,run,read_bw_gb,write_bw_gb,read_bw_std,write_bw_std,read_bw_std_pct,write_bw_std_pct,benchmark,tag
100,0,1,158.209877336,0.0,0.033163675121,0.0,0.021450497928561112,0.0,readwrite_random,
100,0,2,162.896173752,0.0,0.037392170987,0.0,0.023487566084858386,0.0,readwrite_random,
100,0,3,167.916203801,0.0,0.004501617296,0.0,0.0027433548335657784,0.0,readwrite_random,
100,0,4,159.706749266,0.0,0.05348131407,0.0,0.0342638476704147,0.0,readwrite_random,
100,0,5,152.564237857,0.0,0.0068194247189999994,0.0,0.004573661751316995,0.0,readwrite_random,
100,0,1,166.088932709,0.0,0.002083180262,0.0,0.0012832264875129132,0.0,readwrite_random,default
100,0,2,166.455811774,0.0,0.002146905821,0.0,0.0013193574963727439,0.0,readwrite_random,default
100,0,3,144.567487821,0.0,0.002794918198,0.0,0.0019778282991469802,0.0,readwrite_random,default
100,0,4,108.66834671,0.0,0.0016191545730000001,0.0,0.0015244431662005094,0.0,readwrite_random,default
100,0,5,115.242372774,0.0,0.0016860680050000002,0.0,0.0014967912238122035,0.0,readwrite_random,default
100,0,1,217.610061699,0.0,0.015499317507,0.0,0.007288131850989113,0.0,readwrite_random,repl
100,0,2,223.813584311,0.0,0.016008082199,0.0,0.007317067410226965,0.0,readwrite_random,repl
100,0,3,177.880943862,0.0,0.009264734538,0.0,0.0053280039887347785,0.0,readwrite_random,repl
100,0,4,223.596469805,0.0,0.014040551731,0.0,0.006423964530886639,0.0,readwrite_random,repl
100,0,5,223.397498118,0.0,0.014779041456000001,0.0,0.006768366020653245,0.0,readwrite_random,repl
100,0,1,222.03229183,0.0,0.012509142442,0.0,0.005764613271418663,0.0,readwrite_random,unrepl
100,0,2,223.716757437,0.0,0.010769349774,0.0,0.004924775292501415,0.0,readwrite_random,unrepl
100,0,3,223.800311827,0.0,0.017707576184000002,0.0,0.008094710555050491,0.0,readwrite_random,unrepl
100,0,4,221.923957062,0.0,0.013833158271,0.0,0.006376350064304892,0.0,readwrite_random,unrepl
100,0,5,220.52560693,0.0,0.015526543852,0.0,0.007202502235557754,0.0,readwrite_random,unrepl
95,5,1,85.727890487,4.509718079,0.149021924993,0.24412340398000001,0.1778564148462456,5.536333716253775,readwrite_random,
95,5,2,86.715376552,5.446677703,0.088156188872,0.053921316781000005,0.10401047045264476,1.0127993222799494,readwrite_random,
95,5,3,84.904677908,4.457843012,0.111166401666,0.113940275297,0.1339480218231757,2.614784000147508,readwrite_random,
95,5,4,89.415126657,3.408011711,0.10709969238799999,0.199763133673,0.12254438803416773,5.995426363541292,readwrite_random,
95,5,5,85.751387146,5.139465781,0.059307957397,0.18343195215299998,0.07075237475815536,3.6516131921314585,readwrite_random,
95,5,1,116.627754651,4.926744583,0.06754246438,0.036687984006,0.059245847728957385,0.7617918014109528,readwrite_random,default
95,5,2,97.425880708,5.879027069,0.079353336311,0.057194575722,0.08333170289138458,0.9952189642598845,readwrite_random,default
95,5,3,86.404365297,4.374730633,0.076417798213,0.174759002817,0.09048457614048744,4.087529998975551,readwrite_random,default
95,5,4,102.112038487,5.909095401,0.065391434488,0.13865174746099998,0.06552115877629307,2.400609927287772,readwrite_random,default
95,5,5,83.234281482,5.748437716,0.078085622272,0.24370840979500002,0.09597884526623474,4.3359226385683485,readwrite_random,default
95,5,1,190.753531772,0.325827388,0.114758071491,0.002177106149,0.06154425020356679,0.6835207191031367,readwrite_random,repl
95,5,2,191.7550458,0.311843008,0.111103473084,0.002634058623,0.05927674840077084,0.8642429920475387,readwrite_random,repl
95,5,3,116.268081346,0.221829136,0.089935199512,0.001859719605,0.07913758050445246,0.8578356642144418,readwrite_random,repl
95,5,4,191.045639431,0.322668723,0.090477962533,0.001653258628,0.04845855531547646,0.524252144364867,readwrite_random,repl
95,5,5,191.443065473,0.312494132,0.107601596048,0.001772901877,0.05751145465508268,0.5804995417184261,readwrite_random,repl
95,5,1,98.742672622,3.605895044,0.265936254486,0.270039355712,0.275525510639216,7.666843418099529,readwrite_random,unrepl
95,5,2,105.990010746,4.769817053,0.33630704263699995,0.432832621781,0.32462258690592605,9.284219903031254,readwrite_random,unrepl
95,5,3,117.835361414,4.158279297,0.24309684838099999,0.323732594702,0.21108705881100914,7.969237532610013,readwrite_random,unrepl
95,5,4,143.714605969,4.890481186,0.129130624677,0.53791375532,0.09194317083465298,11.256416936108188,readwrite_random,unrepl
95,5,5,98.919348312,3.536262998,0.289794858447,0.27495354993,0.29968646091991447,7.957140073113139,readwrite_random,unrepl
90,10,1,83.296007532,7.285912594,0.072645454245,0.112056900461,0.08922268656008497,1.573233493977021,readwrite_random,
90,10,2,80.838920185,7.344579257,0.062452695044,0.13470629587900002,0.07904006221030684,1.8759941478239757,readwrite_random,
90,10,3,79.342030632,8.364414051,0.059421153015000006,0.050341823948,0.07661847171742237,0.6157214480507198,readwrite_random,
90,10,4,76.961388618,9.449455889,0.07334406069300001,0.161701252573,0.09749903583769505,1.75066081304278,readwrite_random,
90,10,5,81.506264776,10.118385125,0.063265667365,0.165744469869,0.07940170329293733,1.6758633788936852,readwrite_random,
90,10,1,109.287344851,9.109198382,0.071432680244,0.045750216223000004,0.06686468554403,0.513809544685999,readwrite_random,default
90,10,2,79.276989197,7.569819761,0.088020400985,0.045711525312,0.11358350412080807,0.617757205995775,readwrite_random,default
90,10,3,78.543964793,8.942005583,0.07573672869,0.124768751537,0.09865290862416175,1.4275255891754635,readwrite_random,default
