tag,readratio,writeratio,benchmark,read_bw_gb,write_bw_gb,read_bw_std,write_bw_std,nb_runs
default,100,0,readwrite_random,140.2045903576,0.0,27.366985809480653,0.0,5
numabalancing,100,0,readwrite_random,160.2586484024,0.0,5.68552336713275,0.0,5
repl,100,0,readwrite_random,213.259711559,0.0,19.94736992385453,0.0,5
unrepl-bound,100,0,readwrite_random,222.39978501720003,0.0,1.3756724435354661,0.0,5
default,95,5,readwrite_random,97.160864125,5.3676070804,13.35286635195356,0.6855573208187521,5
numabalancing,95,5,readwrite_random,86.50289175,4.5923432572,1.7497096585487733,0.7837073511020551,5
repl,95,5,readwrite_random,176.2530727644,0.2989324774,33.53479380421999,0.04353811864985009,5
unrepl-bound,95,5,readwrite_random,113.0403998126,4.192147115599999,18.82442339338765,0.6317427337866846,5
default,90,10,readwrite_random,83.67479568579999,8.436916552,14.41375967586978,0.7292802997024164,5
numabalancing,90,10,readwrite_random,80.3889223486,8.5125493832,2.384641805233182,1.2596863037293504,5
repl,90,10,readwrite_random,177.2257880132,0.5372851846,2.4041094474259506,0.007356240204848133,5
unrepl-bound,90,10,readwrite_random,86.4885104872,8.895485134400001,5.093086621435738,1.6482490806660557,5
default,85,15,readwrite_random,71.7428675806,12.7737294722,4.551328414984005,0.7946654615271154,5
numabalancing,85,15,readwrite_random,70.763006934,13.1412226328,1.2921759920076987,2.1430876216836294,5
repl,85,15,readwrite_random,152.33333768799997,0.7481393592,29.192533910670313,0.08216141483205226,5
unrepl-bound,85,15,readwrite_random,78.0285990904,15.548748178,11.310757971278822,0.8124640223118242,5
default,80,20,readwrite_random,65.88797720059999,19.767884171,2.396702166028243,3.352509638178588,5
numabalancing,80,20,readwrite_random,68.6400434196,16.2261998256,7.2405424884078675,2.9737981615854303,5
repl,80,20,readwrite_random,143.7304704156,0.9434723999999999,13.604014206502399,0.03699657483743982,5
unrepl-bound,80,20,readwrite_random,75.1941142336,21.473574506,20.00013814608575,2.7504378974005808,5
default,70,30,readwrite_random,56.2190183832,26.445168447999997,2.200679515901611,3.8979344515114476,5
numabalancing,70,30,readwrite_random,55.7455017648,27.4355340012,2.171506501264556,3.924793725417477,5
repl,70,30,readwrite_random,111.03112863880001,1.2590941942,0.770215766407975,0.005955590707148391,5
unrepl-bound,70,30,readwrite_random,58.5497279326,26.547356701400002,2.5878089752513014,4.0987901828024045,5
default,60,40,readwrite_random,46.6341994344,36.217133417,1.0780865885115554,3.43186291823054,5
numabalancing,60,40,readwrite_random,46.0834907482,38.9824364542,1.122527528812459,2.6269800988969796,5
repl,60,40,readwrite_random,59.710951325799996,1.5335456632,1.7536037955413726,0.011052465894986749,5
unrepl-bound,60,40,readwrite_random,44.2466735334,42.176807744,2.9881345670336064,2.914586945249765,5
default,50,50,readwrite_random,37.9609290856,46.8202593878,2.0641082414631198,2.2689939355414768,5
numabalancing,50,50,readwrite_random,39.1400473618,43.773907683,2.5512023681160914,5.667069657847915,5
repl,50,50,readwrite_random,20.3933153902,1.7743393820000002,0.8861697570158861,0.02558227722736417,5
unrepl-bound,50,50,readwrite_random,41.0882151734,45.4983545936,5.8632007922883576,5.715903366100239,5
default,40,60,readwrite_random,31.092569694399998,50.1918039638,3.214981664739273,3.760559736157421,5
numabalancing,40,60,readwrite_random,29.7868732168,49.5536382066,4.552527922496542,4.591668129193675,5
repl,40,60,readwrite_random,8.0736826984,2.1270536254,0.4870880806028848,0.0635290780117786,5
unrepl-bound,40,60,readwrite_random,34.2691111336,55.4066499002,14.63483389293883,6.197236535929868,5
default,30,70,readwrite_random,18.6131272342,53.055978221,1.5033033462418495,2.6646529167843473,5
numabalancing,30,70,readwrite_random,20.4151358396,54.134831201400004,1.664183601962242,1.4519837137610518,5
default,20,80,readwrite_random,12.153836753,51.365524944200004,0.8399190623009983,3.4021000468530906,5
numabalancing,20,80,readwrite_random,12.6658956582,53.462312313400005,0.7462991699159007,2.7041754453607636,5
default,10,90,readwrite_random,5.419006459,48.209715748,0.0,0.0,1
numabalancing,10,90,readwrite_random,5.549705904,49.83827365,0.0,0.0,1
