round,elapsed_ms,tag
0,0.005248,pgtable_sync_baseline
1,0.005309,pgtable_sync_baseline
2,0.005250,pgtable_sync_baseline
3,0.005344,pgtable_sync_baseline
4,0.005308,pgtable_sync_baseline
5,0.005388,pgtable_sync_baseline
6,0.005277,pgtable_sync_baseline
7,0.005224,pgtable_sync_baseline
8,0.005240,pgtable_sync_baseline
9,0.005269,pgtable_sync_baseline
10,0.005302,pgtable_sync_baseline
11,0.005302,pgtable_sync_baseline
12,0.005279,pgtable_sync_baseline
13,0.005258,pgtable_sync_baseline
14,0.005262,pgtable_sync_baseline
15,0.005326,pgtable_sync_baseline
16,0.005287,pgtable_sync_baseline
17,0.005234,pgtable_sync_baseline
18,0.005241,pgtable_sync_baseline
19,0.005193,pgtable_sync_baseline
