round,elapsed_ms,tag
0,0.015151,pgtable_sync_repl_2n
1,0.014738,pgtable_sync_repl_2n
2,0.014310,pgtable_sync_repl_2n
3,0.015089,pgtable_sync_repl_2n
4,0.015410,pgtable_sync_repl_2n
5,0.015522,pgtable_sync_repl_2n
6,0.015483,pgtable_sync_repl_2n
7,0.013288,pgtable_sync_repl_2n
8,0.015087,pgtable_sync_repl_2n
9,0.015594,pgtable_sync_repl_2n
10,0.014847,pgtable_sync_repl_2n
11,0.013975,pgtable_sync_repl_2n
12,0.014829,pgtable_sync_repl_2n
13,0.014278,pgtable_sync_repl_2n
14,0.015296,pgtable_sync_repl_2n
15,0.015221,pgtable_sync_repl_2n
16,0.015077,pgtable_sync_repl_2n
17,0.014907,pgtable_sync_repl_2n
18,0.013139,pgtable_sync_repl_2n
19,0.014296,pgtable_sync_repl_2n
0,0.005285,pgtable_sync_norepl_2n
1,0.005256,pgtable_sync_norepl_2n
2,0.005271,pgtable_sync_norepl_2n
3,0.005248,pgtable_sync_norepl_2n
4,0.005293,pgtable_sync_norepl_2n
5,0.005277,pgtable_sync_norepl_2n
6,0.005271,pgtable_sync_norepl_2n
7,0.005330,pgtable_sync_norepl_2n
8,0.005287,pgtable_sync_norepl_2n
9,0.005335,pgtable_sync_norepl_2n
10,0.005256,pgtable_sync_norepl_2n
11,0.005254,pgtable_sync_norepl_2n
12,0.005266,pgtable_sync_norepl_2n
13,0.005263,pgtable_sync_norepl_2n
14,0.005291,pgtable_sync_norepl_2n
15,0.005266,pgtable_sync_norepl_2n
16,0.005236,pgtable_sync_norepl_2n
17,0.005233,pgtable_sync_norepl_2n
18,0.005244,pgtable_sync_norepl_2n
19,0.005276,pgtable_sync_norepl_2n
