runner_name,nb_runs,tag,mean_recall,mean_time,std_time,mean_qps,std_qps,start_time,end_time
annoy,10,patched-imbalanced-memory,0.97718,9.042133830700005,4.401951655321349,123.32817493460395,26.184394922251442,2025-11-25T09:57:39.780045,2025-11-25T09:59:10.460992
annoy,10,patched-repl-unrepl,0.97718,5.137180911300016,4.567798872775026,254.30337759416517,67.08517174640231,2025-11-25T10:13:19.700468,2025-11-25T10:14:11.329355
annoy,30,default,0.9771800000000002,6.157140150766691,2.504035945949954,171.52539746458066,22.415622251027752,2026-02-01T14:15:05.539105,2026-02-01T14:18:11.026499
annoy,30,imbalanced-memory,0.9771800000000002,8.023495537599986,2.623649665471954,129.78494692169858,15.779586809373532,2026-02-01T14:44:10.568144,2026-02-01T14:48:12.052725
annoy,30,interleaved-memory,0.9771800000000002,6.092768749566767,2.5038171229871233,173.4713397820873,22.74061532072371,2026-02-01T15:12:15.294394,2026-02-01T15:15:18.846510
annoy,30,numa-balancing,0.9771800000000002,6.172993871366725,2.519010019165572,171.1294203199715,22.39513559591947,2026-02-01T15:40:48.671600,2026-02-01T15:43:54.615604
annoy,30,patched-repl,0.9771800000000002,4.168900604000025,2.8561551707272477,267.3910973120643,40.19552906873994,2026-01-31T18:02:58.383703,2026-01-31T18:05:04.213568
faiss,10,patched-imbalanced-memory,0.9242700000000001,9.844871661000003,2.416326755597516,105.51948527770155,16.20419809725306,2025-11-25T09:56:00.953709,2025-11-25T09:57:39.682373
faiss,10,patched-repl-unrepl,0.9242700000000001,5.42802387050001,2.5733601941178685,204.59853854271756,43.0587799846297,2025-11-25T10:12:24.611024,2025-11-25T10:13:19.174378
faiss,30,default,0.9787299999999999,12.002848533599991,1.4662027644838853,84.14400322038837,6.853430733819321,2026-02-01T14:10:04.670534,2026-02-01T14:15:05.443832
faiss,30,imbalanced-memory,0.9787299999999999,15.119664488349986,1.9311845677649553,66.87648696933755,5.809537262977859,2026-02-01T14:39:07.520742,2026-02-01T14:44:10.470058
faiss,30,interleaved-memory,0.9787299999999998,10.502923555827692,1.2551770543934284,96.07585829975551,7.256335171612168,2026-02-01T15:07:09.795337,2026-02-01T15:12:15.195429
faiss,30,numa-balancing,0.97873,12.822881389416693,1.5301887489400179,78.73271475034352,6.302053073253233,2026-02-01T15:35:40.151196,2026-02-01T15:40:48.572583
faiss,30,patched-repl,0.9787299999999998,7.767796110533315,1.5090369758152746,131.24085315984948,12.977808957281779,2026-01-31T17:59:03.955260,2026-01-31T18:02:57.830865
usearch,10,patched-imbalanced-memory,0.98178,2.013221688799979,1.3282578793699567,589.7685751552802,141.06631956341525,2025-11-25T09:59:10.998371,2025-11-25T09:59:31.491218
usearch,10,patched-repl-unrepl,0.98178,1.3923759877000066,1.7173965591922464,1112.9985078396298,320.1440067935545,2025-11-25T10:14:12.705153,2025-11-25T10:14:26.990635
usearch,30,default,0.9783900000000002,1.0084383777666668,0.7502315538835628,1118.9406274364055,171.3983874509923,2026-02-01T14:18:11.532857,2026-02-01T14:18:42.838647
usearch,30,imbalanced-memory,0.9783900000000002,1.5270311884666776,0.7528649424373394,702.8315479667888,97.35276649912586,2026-02-01T14:48:12.584089,2026-02-01T14:48:59.449307
usearch,30,interleaved-memory,0.9783900000000002,1.0056797557999744,0.76630086630225,1126.187150986289,173.1791968865802,2026-02-01T15:15:19.370934,2026-02-01T15:15:50.594904
usearch,30,numa-balancing,0.9783900000000002,1.3479021471332393,0.7829806648378712,810.7053695643064,120.55471284262869,2026-02-01T15:43:55.176917,2026-02-01T15:44:36.673111
usearch,30,patched-repl,0.9783900000000002,0.9348972031000282,1.0192670436971727,1301.7015930968994,213.0123828229661,2026-01-31T18:05:05.721073,2026-01-31T18:05:34.820078
