runner_name,nb_runs,tag,mean_recall,mean_time,std_time,mean_qps,std_qps,start_time,end_time
annoy,10,patched-imbalanced-memory,0.9763590000000001,2.43314846479999,1.268918015777591,4637.694535871022,1012.3491615894744,2025-11-25T09:55:18.089580,2025-11-25T09:55:44.919982
annoy,10,patched-repl-unrepl,0.9763590000000001,1.9445438220999904,1.6415828537310893,6586.44862693914,1710.487886934947,2025-11-25T10:11:46.843000,2025-11-25T10:12:08.793053
annoy,30,default,0.9763589999999998,1.7867440618333224,0.7435603488110234,5921.196278976363,780.3384869591067,2026-02-01T14:08:34.580220,2026-02-01T14:09:35.722474
annoy,30,imbalanced-memory,0.9763589999999998,2.1522487372333217,0.785853744691506,4870.834732466622,616.115324445311,2026-02-01T14:37:25.591342,2026-02-01T14:38:37.703860
annoy,30,interleaved-memory,0.9763589999999998,1.7595417151665667,0.7321941129660348,6012.879325179459,793.1871355231716,2026-02-01T15:05:40.663647,2026-02-01T15:06:40.981873
annoy,30,numa-balancing,0.9763589999999998,1.8601332071000494,0.7274513428105541,5661.828767232673,731.9935743704839,2026-02-01T15:34:02.314434,2026-02-01T15:35:05.620670
annoy,30,patched-repl,0.9763589999999998,1.603793770366686,0.9876410720763451,6855.177474363288,1010.0588884754942,2026-01-31T17:57:40.494744,2026-01-31T17:58:36.110927
faiss,10,patched-imbalanced-memory,0.9783579999999998,8.132532694000009,0.3049593823441955,1231.240741575472,43.0057953641167,2025-11-25T09:53:53.853717,2025-11-25T09:55:18.057328
faiss,10,patched-repl-unrepl,0.9783579999999998,4.367763922099971,0.3180482701044228,2299.7520719311206,140.82153028080555,2025-11-25T10:11:00.187840,2025-11-25T10:11:46.725099
faiss,30,default,0.978358,5.477459270066644,0.23290935065357465,1828.5053893019876,67.0040908851292,2026-02-01T14:05:41.785662,2026-02-01T14:08:34.544716
faiss,30,imbalanced-memory,0.978358,8.052561149066682,0.18604825600005276,1242.4639080757502,26.995981093579065,2026-02-01T14:33:15.609585,2026-02-01T14:37:25.554537
faiss,30,interleaved-memory,0.978358,5.134686321633308,0.20642928222705412,1950.1792660140607,65.74414719616378,2026-02-01T15:02:58.093206,2026-02-01T15:05:40.626829
faiss,30,numa-balancing,0.978358,6.284823844399974,0.19840321047701148,1592.5490384206798,44.89206114908646,2026-02-01T15:30:45.312636,2026-02-01T15:34:02.274501
faiss,30,patched-repl,0.978358,4.909795233766666,0.24012681424048127,2040.8110383615935,83.4036958008741,2026-01-31T17:55:04.677290,2026-01-31T17:57:40.336660
usearch,10,patched-imbalanced-memory,0.9833079999999998,0.41808919920000565,0.18254800162327028,26229.8137373838,5295.637291385429,2025-11-25T09:55:45.432484,2025-11-25T09:55:53.174234
usearch,10,patched-repl-unrepl,0.9833079999999998,0.3470996814999808,0.2705578687582461,35901.45078074417,9107.9452891149,2025-11-25T10:12:09.618814,2025-11-25T10:12:16.678265
usearch,30,default,0.9832409999999999,0.34375788626663656,0.13291876474313485,30613.522963575528,3946.8585675267927,2026-02-01T14:09:36.141216,2026-02-01T14:09:56.906686
usearch,30,imbalanced-memory,0.9832409999999999,0.37694940436670854,0.10339714182271258,27381.029850023326,3114.527207224872,2026-02-01T14:38:38.150350,2026-02-01T14:38:59.856367
usearch,30,interleaved-memory,0.9832409999999999,0.33792632840001413,0.12031500642459435,30971.146584493355,3877.7891695757808,2026-02-01T15:06:41.428201,2026-02-01T15:07:02.039458
usearch,30,numa-balancing,0.9832409999999999,0.5297496638667023,0.11106698704617932,19328.836250829936,2247.0108212498562,2026-02-01T15:35:06.049119,2026-02-01T15:35:32.381925
usearch,30,patched-repl,0.9832409999999999,0.2893139651333361,0.14821730268899075,37234.3256029498,5217.941662237581,2026-01-31T17:58:36.999537,2026-01-31T17:58:56.138189
