readratio,writeratio,run,benchmark,tag,ts_start,ts_end,read_bw_gb,write_bw_gb,read_bw_wall_gb,write_bw_wall_gb,wall_s,read_bw_std,write_bw_std,read_bw_std_pct,write_bw_std_pct
100,0,1,readwrite_random,default,1788209017.9888115,1788209068.7658362,125.690242883,0.0,125.08989145177125,0.0,30.148,0.017843510785999998,0.0,0.01452977608351899,0.0
100,0,2,readwrite_random,default,1788209069.7497926,1788209120.4096699,100.72827884,0.0,100.49716617351112,0.0,30.073,0.001957879508,0.0,0.001989221257360104,0.0
100,0,3,readwrite_random,default,1788209121.772421,1788209172.4846761,131.513863133,0.0,131.05084767264515,0.0,30.108,0.014654568945999999,0.0,0.011400626252475305,0.0
100,0,4,readwrite_random,default,1788209173.913653,1788209224.6601312,130.22962319,0.0,129.61186839302064,0.0,30.146,0.009086073199,0.0,0.007139032484968271,0.0
100,0,5,readwrite_random,default,1788209226.050021,1788209276.7628615,124.940173873,0.0,124.5292820282364,0.0,30.103,0.001891125875,0.0,0.0015487330419287145,0.0
100,0,1,readwrite_random,interleaved,1788209278.08142,1788209328.8172,146.560839295,0.0,146.03033315206056,0.0,30.113,0.002673868246,0.0,0.0018668682774455577,0.0
100,0,2,readwrite_random,interleaved,1788209330.094578,1788209380.813367,146.994127023,0.0,146.56424821667608,0.0,30.091,0.002597438472,0.0,0.0018076474168037776,0.0
100,0,3,readwrite_random,interleaved,1788209382.0888598,1788209432.7912807,146.533416577,0.0,146.14376481356157,0.0,30.085,0.0024057383920000003,0.0,0.0016798963325091092,0.0
100,0,4,readwrite_random,interleaved,1788209434.1365814,1788209484.854381,146.718866753,0.0,146.2752243920917,0.0,30.095,0.003109177127,0.0,0.0021679715556349307,0.0
100,0,5,readwrite_random,interleaved,1788209486.141266,1788209536.8833218,146.364770393,0.0,145.77204311491732,0.0,30.126,0.0025845972139999997,0.0,0.0018068572741830535,0.0
100,0,1,readwrite_random,numabalancing,1788209538.1637962,1788209588.821885,142.327298918,0.0,142.02434394651945,0.0,30.067,0.034914227642,0.0,0.0250993478961252,0.0
100,0,2,readwrite_random,numabalancing,1788209590.1684418,1788209640.8877463,145.475317035,0.0,144.95835061521092,0.0,30.11,0.031857907206,0.0,0.0224112530896635,0.0
100,0,3,readwrite_random,numabalancing,1788209642.2246451,1788209692.9937062,146.726374539,0.0,145.8948845632477,0.0,30.175,0.023934998058,0.0,0.016703048883465584,0.0
100,0,4,readwrite_random,numabalancing,1788209694.2789152,1788209744.947472,146.905575768,0.0,146.5490206922233,0.0,30.077,0.011031700277,0.0,0.0076835479740965055,0.0
100,0,5,readwrite_random,numabalancing,1788209746.2296083,1788209796.8941567,145.989677323,0.0,145.68862763254174,0.0,30.066,0.016122842597,0.0,0.011300379310269395,0.0
100,0,1,readwrite_random,repl,1788250276.1458573,1788250331.6399016,302.891845383,0.0,302.10647326959645,0.0,30.082,0.005018368566,0.0,0.0016954751370027046,0.0
100,0,2,readwrite_random,repl,1788250332.8324623,1788250384.3790207,300.649172027,0.0,299.8995730152588,0.0,30.081,0.004525083603,0.0,0.0015394276579896648,0.0
100,0,3,readwrite_random,repl,1788250385.450993,1788250436.9534523,301.06083812,0.0,300.3201225569039,0.0,30.077,0.004647351743,0.0,0.001579126993466283,0.0
100,0,4,readwrite_random,repl,1788250438.0219483,1788250489.5482597,300.938340239,0.0,300.12807546230556,0.0,30.084,0.004410800742,0.0,0.0014990722187497125,0.0
100,0,5,readwrite_random,repl,1788250490.6301239,1788250542.1237679,301.947157749,0.0,301.20426152714697,0.0,30.077,0.004596310654,0.0,0.0015575934589942355,0.0
100,0,1,readwrite_random,unrepl-bound,1788250543.1087224,1788250594.6757803,300.15036898,0.0,298.726581321303,0.0,30.146,0.00454720071,0.0,0.001550188047350889,0.0
100,0,2,readwrite_random,unrepl-bound,1788250595.6692846,1788250647.1538484,301.141607014,0.0,300.4806597207941,0.0,30.071,0.00489605325,0.0,0.0016638949244931582,0.0
100,0,3,readwrite_random,unrepl-bound,1788250648.1290607,1788250699.6376781,301.962733825,0.0,301.0796551452594,0.0,30.091,0.0041835274810000005,0.0,0.0014172659354632594,0.0
100,0,4,readwrite_random,unrepl-bound,1788250700.6164424,1788250752.197933,297.290264454,0.0,295.85060215648946,0.0,30.149,0.004115402479,0.0,0.0014165536217970402,0.0
100,0,5,readwrite_random,unrepl-bound,1788250753.1653872,1788250804.6696568,299.566215286,0.0,298.710027366434,0.0,30.09,0.004638436576,0.0,0.0015837475030555848,0.0
100,0,1,readwrite_random,unrepl-firsttouch,1788250805.65716,1788250857.0559382,280.068057501,0.0,279.29541744386097,0.0,30.086,0.0187501642,0.0,0.006850264826095311,0.0
100,0,2,readwrite_random,unrepl-firsttouch,1788250858.0809016,1788250909.4833615,276.538874522,0.0,275.9135330480529,0.0,30.071,0.003223484387,0.0,0.0011923335441583823,0.0
100,0,3,readwrite_random,unrepl-firsttouch,1788250910.4953725,1788250961.9378786,259.868003258,0.0,258.07883558174177,0.0,30.211,0.0038061912640000002,0.0,0.0014987299254269702,0.0
100,0,4,readwrite_random,unrepl-firsttouch,1788250963.029651,1788251014.4421709,252.19757438,0.0,250.86810636323852,0.0,30.162,0.002983704108,0.0,0.0012105502446473147,0.0
100,0,5,readwrite_random,unrepl-firsttouch,1788251015.5252368,1788251066.9855533,291.750003218,0.0,291.00319459379676,0.0,30.081,0.004121893095999999,0.0,0.0014450337300549278,0.0
100,0,1,readwrite_random,unrepl-interleaved,1788251067.9865484,1788251119.4186895,261.312592407,0.0,259.9954577063271,0.0,30.156,0.004616669817,0.0,0.0018080347130753401,0.0
100,0,2,readwrite_random,unrepl-interleaved,1788251120.5027347,1788251171.865564,261.640034871,0.0,260.9529503796829,0.0,30.083,0.004198003482,0.0,0.0016412418299900677,0.0
100,0,3,readwrite_random,unrepl-interleaved,1788251172.8771653,1788251224.2250001,260.836359917,0.0,260.25520079066206,0.0,30.071,0.003148846622,0.0,0.001235175932523646,0.0
100,0,4,readwrite_random,unrepl-interleaved,1788251225.2650697,1788251276.6353483,261.285204832,0.0,260.6077376261676,0.0,30.083,0.022441348422,0.0,0.008785673219849313,0.0
100,0,5,readwrite_random,unrepl-interleaved,1788251277.7830942,1788251329.1523473,261.846929896,0.0,261.1940101634417,0.0,30.078,0.003404308418,0.0,0.0013305808768600024,0.0
95,5,1,readwrite_random,default,1788209797.8226388,1788209848.5581274,109.245474437,5.68683523,108.90427516151111,5.6688849583679435,30.097,0.045039161282,0.049756671344000004,0.04218623498521934,0.8943823278722116
95,5,2,readwrite_random,default,1788209852.421393,1788209903.1553211,111.33616532,5.435982467,110.99214700139545,5.4186439625224265,30.098,0.040546607448000004,0.044127811789,0.03726719778471704,0.8302475446299757
95,5,3,readwrite_random,default,1788209907.0609841,1788209957.8035834,116.188555846,5.601715892,115.80645821737976,5.583108013818761,30.104,0.030919724215,0.036663843833,0.027225105558734,0.6682899431517767
95,5,4,readwrite_random,default,1788209961.6569216,1788210012.4428296,125.325173027,6.116892704,124.75553205003152,6.088683683753028,30.141,0.037467449566000004,0.040328399096,0.03059659704640329,0.6742476526210059
95,5,5,readwrite_random,default,1788210016.290711,1788210067.0145397,110.357481646,6.154706093,110.06036817124244,6.1375221772252875,30.086,0.032642028296,0.054812804065,0.030261853118388138,0.9106466566610655
95,5,1,readwrite_random,interleaved,1788210070.549073,1788210121.2859213,135.573414855,6.719044705,135.22638008470463,6.701398865197301,30.081,0.039685799555,0.047372150511,0.029949430942582428,0.7209436072561416
95,5,2,readwrite_random,interleaved,1788210125.1811981,1788210175.9514885,135.904881499,6.630259994,135.46691560186045,6.608673101395349,30.1,0.040961031426,0.048923708079000004,0.0308392959370016,0.7539544238448143
