metric,baseline,baseline-warmup,distribute,distribute-warmup,interleaved-distribute,interleaved-distribute-warmup,repl-distribute,repl-distribute-warmup
n_prompt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_gen,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0
runs,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
avg_ns,34621460364.0,34543143200.0,26401190785.0,33049996096.0,25293029899.0,25372795641.0,19708141360.0,19796107876.0
avg_ts,3.697152,3.705525,4.848272,3.872921,5.060684,5.044777,6.494793,6.466096
stddev_ts,0.009603,0.007479,0.005053,0.00251,0.003013,0.004294,0.010357,0.035771
samples,516.0,690.0,528.0,661.0,505.0,254.0,394.0,197.0
local_pct,29.916666666666668,30.678260869565218,35.308712121212125,31.667170953101362,25.65148514851485,25.99604743083004,70.65736040609137,89.56345177664974
local_pct_skt0,73.70736434108527,66.67101449275363,34.66477272727273,30.95461422087746,27.15247524752475,26.770750988142293,76.43401015228426,80.36040609137056
local_pct_skt1,44.57945736434109,66.06086956521739,36.57386363636363,31.83963691376702,23.974257425742575,24.99604743083004,77.77918781725889,98.94416243654823
local_pct_skt2,40.184108527131784,36.404347826086955,34.83522727272727,32.21936459909229,23.84752475247525,25.25296442687747,77.47969543147208,98.95939086294416
local_pct_skt3,28.936046511627907,28.371014492753623,34.520833333333336,31.609682299546144,25.88118811881188,24.99604743083004,58.0736040609137,87.94923857868021
ipc,0.19680232558139538,0.1705072463768116,0.22238636363636363,0.18652042360060514,0.22221782178217822,0.10066929133858268,0.27266497461928935,0.12436548223350254
inst,8151.301821705427,7706.426681159421,8575.524109848486,7832.443403933434,8286.955108910892,4823.547351778656,9037.28421319797,5286.784619289341
inst_skt0,1710.2005813953485,1545.0527826086955,2310.768465909091,2055.3556732223906,2042.1689504950496,1173.4634387351778,2222.3755583756342,1296.492385786802
inst_skt1,1739.6915310077518,1566.266347826087,2076.1654166666663,1918.4750075642964,2082.222792079208,1232.8773122529644,2269.8088578680204,1337.224467005076
inst_skt2,1729.6135852713178,1550.58484057971,2113.1311363636364,1950.59084720121,2089.4244356435643,1197.532252964427,2252.618807106599,1306.069543147208
inst_skt3,2971.795852713178,3044.5226811594202,2075.4589583333336,1908.0222239031768,2073.1389702970296,1219.675019762846,2292.4803299492387,1346.9985786802029
afreq,0.9370736434108528,0.9745072463768117,0.9751325757575757,0.9813313161875947,0.9729702970297031,0.9998425196850395,0.973477157360406,1.0
freq,0.15695736434108526,0.17047826086956516,0.1621212121212121,0.1703630862329803,0.15972277227722773,0.17944881889763778,0.13652284263959388,0.15847715736040605
cpu_balance,0.5754771411481635,0.5074860477046294,0.898168288581356,0.9283172974688979,0.9773834916724521,0.951808770485675,0.9694196845845318,0.9625046427718676
l3hit,0.6851550387596899,0.6760434782608696,0.6461742424242425,0.6565506807866869,0.6458415841584159,0.6586614173228347,0.6413197969543147,0.6719796954314721
l2miss,7.9883914728682175,7.639840579710144,9.390700757575758,8.655642965204235,9.491346534653463,7.678385826771654,12.571598984771574,7.866649746192894
