metric,firsttouch,imbalanced,interleaved,numa-balancing,repl
streams,1.0,1.0,1.0,1.0,1.0
elapsed_s,8.554366666666667,13.050633333333334,9.705111111111112,8.689433333333334,9.44641111111111
samples,8.555555555555555,13.11111111111111,9.666666666666666,8.666666666666666,9.444444444444445
local_pct,86.25308641975309,29.756613756613756,25.023456790123458,86.17438271604938,86.25723905723905
local_pct_skt0,87.36111111111111,29.458384208384206,24.71851851851852,86.13734567901234,83.66711560044894
local_pct_skt1,87.80555555555556,50.383801383801384,24.81851851851852,86.74382716049382,87.95488215488216
local_pct_skt2,84.12654320987654,51.51902726902727,25.106172839506172,85.16203703703704,86.28125701459035
local_pct_skt3,85.54012345679013,52.46092796092796,25.351851851851855,86.36882716049382,87.68810325476993
ipc,1.0017438271604937,0.6367918192918193,0.896716049382716,0.9974845679012344,0.9126139169472504
inst,176006.3384567901,116343.32727309728,155784.61332098764,173836.65875,162277.27738608306
inst_skt0,43653.0149691358,32574.14282153032,38637.247938271605,43246.62949074074,43032.93014141414
inst_skt1,43639.84611111111,27712.57999287749,38687.44813580247,43087.162283950616,39604.728363636365
inst_skt2,43740.89194444445,27680.07384004884,38680.68411111111,43769.6199537037,39573.09012682379
inst_skt3,44972.58441358025,28376.53102665853,39779.232987654315,43733.24675925926,40066.52966217733
afreq,0.9988271604938271,0.9997496947496948,0.9990740740740741,0.9988425925925927,0.9991604938271605
freq,0.6216512345679013,0.656417378917379,0.6148765432098765,0.6173302469135803,0.6366004489337823
cpu_balance,0.9613256189699759,0.8454339022577602,0.965714513887914,0.9624216454698503,0.9136236845702894
l3hit,0.4671450617283951,0.45617521367521374,0.45670370370370367,0.46699074074074076,0.4789943883277216
l2miss,295.0152932098765,198.60018213268214,268.44491358024686,291.93194444444447,312.76061728395064
l3miss,164.90751543209876,109.60485347985349,150.76495061728394,162.8841203703704,166.21245454545453
l3mpi,0.0013743827160493825,0.0016581501831501831,0.0014675308641975307,0.0013700617283950616,0.0013988552188552187
upi_in_gb,9.452060546875,31.653979846921743,44.70463412663966,9.317487129870756,9.342915925750562
upi_out_gb,36.67398502302759,63.281600574808586,90.92784540171682,36.401948679229356,35.00087407056678
upi_out_pct,12.96412037037037,22.68325193325193,32.834670781893,12.857253086419753,12.327759072203518
upi_in_pct,2.940072016460905,11.192468796635463,15.890740740740743,2.8851594650205765,2.935016835016835
mem_bw_gb,75.13010416666665,61.17446953220391,81.59476738522376,73.94614651150174,72.47703387964935
mem_read_gb,42.86701480818383,30.947233631349846,40.96124131944444,42.220139371141975,41.17147364130673
mem_write_gb,32.263088228202164,30.227235360306647,40.63352648775077,31.726007155430167,31.3055599166579
mem_read_gb_skt0,10.54177059220679,30.348118591929627,10.353740596064815,10.490956096884645,11.42643054651331
mem_read_gb_skt1,10.53703224464699,0.20923898376290953,10.19629692322531,10.502949098186727,9.876228485484184
mem_read_gb_skt2,10.94690702461902,0.19808392932660512,10.111434678819444,10.787755850332754,9.923213163262398
mem_read_gb_skt3,10.841305459104937,0.19179088327037547,10.299768735532407,10.438477331090857,9.945601746907004
mem_write_gb_skt0,7.840020616319445,29.67847377232143,10.125865294656636,7.864952965253666,8.566797818133592
mem_write_gb_skt1,7.884422351224923,0.1886828946155118,10.164684558256173,7.872266830632715,7.50848735483086
mem_write_gb_skt2,8.293948130666474,0.18282167142030423,10.081305290316358,8.1102060878424,7.65232808663896
mem_write_gb_skt3,8.244698501398535,0.17725698419057795,10.261671368634259,7.878580789448303,7.5779466907574005
data_mem_gb,18.393138073108815,18.837565012952396,18.4528259701199,18.455974054925235,39.243545096383485
data_mem_gb_node0,4.554668597233149,18.58458555855788,4.598982201093509,4.561176523750211,11.4015555350735
data_mem_gb_node1,4.577010802280756,0.06832344511635284,4.60673538490578,4.596452177306753,9.271680661510807
data_mem_gb_node2,4.656182607014974,0.08005223722539395,4.581167051527235,4.686224619547526,9.23301626862634
data_mem_gb_node3,4.605262921180254,0.10373025877862914,4.6660442729055145,4.612145312038469,9.335889478484388
pagetable_mb,74.40546031057099,76.8036608573718,74.99864969135803,75.05107060185185,184.55050373526936
pagetable_mb_node0,18.47773799189815,71.15526230858262,20.19047550154321,18.779953944830247,53.42653049593154
pagetable_mb_node1,16.35369044174383,1.31640625,17.647183641975307,16.64476634837963,43.996748737373736
pagetable_mb_node2,21.45095486111111,1.31640625,17.6643180941358,21.81839554398148,42.67584481972503
pagetable_mb_node3,18.123155381944443,3.015625,19.497227044753085,17.809932002314817,44.45391808712121
warmup_s,0.0,0.0,0.0,0.0,0.0
elapsed_s_std,0.03685281536056648,0.08065041847380586,0.15835496080360412,0.18864365215930254,0.8494090937887998
runs,9.0,9.0,9.0,9.0,9.0
