metric,local-1node,firsttouch-allnodes,balancing-allnodes,interleaved-allnodes,imbalanced-allnodes,repl-allnodes
recall,0.97813,0.97813,0.97813,0.97813,0.97813,0.9781299999999999
total_time,1.2529758795538555,0.6020046690506347,0.9195051454519108,0.5728312828571337,1.451573833767861,0.36982584548647807
qps,798.2702465683733,1661.427102103366,1119.9654108112506,1747.511210420291,688.9606221530788,2709.7050192048805
samples,1.2307692307692308,1.0,1.0096153846153846,1.0,1.5,1.0
local_pct,99.0,25.11392405063291,27.41346153846154,25.0,28.526785714285715,93.95945945945945
local_pct_skt0,99.03076923076924,25.39240506329114,17.70673076923077,25.0,27.589285714285715,95.89189189189189
local_pct_skt1,34.47692307692308,24.936708860759495,50.05339805825243,25.01298701298701,98.10714285714286,97.47297297297297
local_pct_skt2,28.253846153846155,25.27848101265823,18.684466019417474,25.116883116883116,97.63392857142857,95.91891891891892
local_pct_skt3,11.015384615384615,25.430379746835442,18.315533980582526,25.116883116883116,77.91071428571429,87.04054054054055
ipc,0.6626153846153846,0.39582278481012656,0.5044711538461539,0.40636363636363637,0.174375,0.6594594594594595
inst,5670.830769230769,11450.659493670886,7778.711490384615,11962.684415584416,4996.241875,17839.87391891892
inst_skt0,5644.300769230769,2838.280253164557,1349.7620673076924,2954.9162337662337,1407.3155357142857,4430.89391891892
inst_skt1,8.177076923076923,2837.513417721519,3592.16140776699,2975.4975324675324,1195.018125,4412.910405405405
inst_skt2,8.301,2822.181518987342,1433.4292718446602,2995.2116883116882,1179.9710714285716,4513.2198648648655
inst_skt3,10.051692307692308,2952.684303797468,1399.161067961165,3037.058701298701,1213.9375892857145,4482.849864864865
afreq,0.98,0.9998734177215189,0.99875,1.0,1.0,1.0
freq,0.030538461538461535,0.10784810126582278,0.05836538461538462,0.10974025974025974,0.10660714285714287,0.10121621621621622
cpu_balance,0.001402869790019471,0.9330199066267937,0.3679382913244418,0.9457680559826958,0.6450310461348818,0.9471329986991162
l3hit,0.14753846153846153,0.10139240506329114,0.11499999999999999,0.10103896103896104,0.1367857142857143,0.2147297297297297
l2miss,11.597076923076923,20.90620253164557,14.233846153846153,21.811298701298703,8.070089285714285,33.73067567567568
l3miss,9.686,18.460506329113926,12.382259615384616,19.308441558441558,6.848392857142857,26.09162162162162
l3mpi,0.0017,0.0016,0.0016000000000000003,0.0016,0.0013723214285714287,0.0014945945945945946
upi_in_gb,0.055097806490384614,95.15823093848893,63.94987891564002,99.95248858563312,40.00469953264509,11.265300226984797
upi_out_gb,0.5567318209134615,156.42958081981803,111.84487821138822,162.87188413149352,75.02051042829241,30.113295766469594
upi_out_pct,0.0,56.80590717299579,40.491909385113274,59.201298701298704,27.201636904761905,10.548423423423424
upi_in_pct,0.0,34.37341772151899,22.940533980582526,36.13528138528138,14.368303571428571,3.657657657657658
mem_bw_gb,63.23957542067307,133.44031427556817,93.53708545470506,140.99253271484375,59.66691615513393,180.5284823069853
mem_read_gb,61.42388198617788,123.06114834872159,87.02672028616573,129.97563525390623,54.848017578125,172.61388844209557
mem_write_gb,1.815693359375,10.379166370738638,6.510365387991573,11.01689892578125,4.81889892578125,7.914592715992647
mem_read_gb_skt0,61.370813551682694,25.281308149857953,24.146487087673613,33.07224340820313,54.2196173967634,42.25254595588235
mem_read_gb_skt1,0.005029747596153846,32.656500799005684,24.177570444171348,32.576263671875,0.17988804408482142,41.18251551011029
mem_read_gb_skt2,0.006018404447115384,28.69130459872159,19.277751272823032,32.49910620117187,0.18202078683035713,42.65053481158088
mem_read_gb_skt3,0.042019381009615386,36.43203346946023,19.473133668363765,31.82802319335938,0.26649082728794643,46.52829216452206
mem_write_gb_skt0,1.7689483924278846,2.221226029829545,1.4358793945312498,2.757880126953125,4.612601318359375,1.6540923713235294
mem_write_gb_skt1,0.005023963341346154,2.548818359375,2.482852385445927,2.728920654296875,0.056719709123883924,0.9791176470588235
