metric,firsttouch,balancing,interleaved,repl-no-unreplication,repl-main-bound,repl-main-firsttouch,repl-main-interleaved
readratio,50.0,50.0,50.0,50.0,50.0,50.0,50.0
writeratio,50.0,50.0,50.0,50.0,50.0,50.0,50.0
read_bw_gb,76.09682131219999,74.73270982540001,80.93405636780001,6.3770310388,48.670892134,78.72169550779999,78.9128394116
write_bw_gb,72.76840558,67.8245268888,78.27465231720001,0.9964464164000001,36.6773653322,68.63821248420001,73.6586717224
read_bw_wall_gb,53.756623656957856,43.630503063780296,53.92885777536668,5.4882833013158745,24.043129514801702,41.40758619629278,48.38603388679436
write_bw_wall_gb,51.36085862260022,39.61250418443197,52.176657408132584,0.8569061341263297,18.16077587806307,36.15770965298925,45.45633929592727
wall_s,43.080200000000005,51.760000000000005,45.0916,34.951,61.7186,57.6656,49.904399999999995
read_bw_std,0.5069237705488,0.47864125965560006,0.5041260406546,0.06527044031719997,0.31550866253959997,0.47379653506180003,0.4483378379384
write_bw_std,0.41080751996739995,0.34956569707299995,0.41008735312399996,0.0089467427156,0.248958886602,0.360874203318,0.3433183817572
read_bw_std_pct,0.6868892152513009,0.6629121821147873,0.6422981432409012,1.0350087318992252,0.665222101019885,0.6188554832778757,0.5809263120994282
write_bw_std_pct,0.5800362765827328,0.5303950366148626,0.5377632904125444,0.9025666134310647,0.699475232334734,0.540580062529915,0.4778650551949114
samples,69.2,72.2,66.0,56.6,86.0,78.4,70.4
local_pct,26.61539022316732,28.344350864724,24.93922322239267,44.99606431332569,47.94436311934231,27.86933016030547,27.331103867590905
local_pct_skt0,29.491620671632923,32.24368692253021,26.10048768225239,42.81009670525727,48.32601458804814,29.110270088068603,28.244777814225575
local_pct_skt1,24.48004697078794,24.47334932480455,25.031995570520593,42.1276151591495,59.85517610829677,26.489797215880845,28.12195521812568
local_pct_skt2,24.52109006323336,23.536455223880598,25.516497398806443,46.572760453937974,58.73262895895151,28.394572440865357,25.64817688308026
local_pct_skt3,24.046644056086798,24.467491708126037,23.276854040506368,45.325820908202715,65.60581059519731,26.34617053598755,26.675360358416135
ipc,0.3350322236652916,0.3259891850272447,0.35887519684490715,0.16297337623720315,0.32415368007720363,0.3693713211673051,0.36340498464876314
inst,8722.96548693454,7944.882313728975,9858.528582673467,4722.246835225285,4250.9199568203285,7698.768609607255,8865.209728059212
inst_skt0,2378.849734079393,2379.294368176972,2411.3817380701535,1204.0971329725878,1957.9439569061076,2111.2498079680504,2308.6670998079585
