label,dataset,test,tag,ops_sec,mb_sec,c_wsecs,c_csecs,b_rgb,b_wgb,p99,p99.9,p99.99,pmax,uptime,stall%,nb_runs,samples,local_pct,local_pct_skt0,local_pct_skt1,lmb_gb_skt0,lmb_gb_skt1,rmb_gb_skt0,rmb_gb_skt1,ipc,inst,inst_skt0,inst_skt1,afreq,freq,cpu_balance,llc_rd_miss_lat_ns,l3hit,l2miss,l3miss,l3mpi,upi_in_gb,upi_out_gb,upi_out_pct,upi_in_pct,mem_bw_gb,mem_read_gb,mem_write_gb,mem_read_gb_skt0,mem_read_gb_skt1,mem_write_gb_skt0,mem_write_gb_skt1,data_mem_gb,data_mem_gb_node0,data_mem_gb_node1,pagetable_mb,pagetable_mb_node0,pagetable_mb_node1,tma_l3_bound,tma_dram_bound,tma_l1_bound,tma_store_bound,warmup_s,ops_sec_std,mb_sec_std,runs
rocksdb,results,fwdrange,balancing-fwdrange,376570.0,30166.420000000002,0.0,0.0,0.0,0.0,248.2,17398.2,26622.8,55689.8,120.0,0.0,2.0,37.0,50.005405405405405,50.01081081081081,50.0,9.710515202702704,8.769203969594596,8.608699324324323,9.235430743243242,1.0350270270270272,8135.992756756756,4083.3362702702702,4052.6562162162163,1.0,0.059945945945945954,0.9924868547930362,161.2195675675676,0.48508108108108106,2.349891891891892,1.0131351351351352,0.00010054054054054052,20.26370708403716,39.81232970861486,46.97837837837838,23.686486486486483,56.50360478251689,40.8566519214527,15.646951752533784,21.398760293496622,19.457892103040543,8.160078705658783,7.4868736803209455,8.391268034239072,4.296051850190034,4.095216184049039,25.699788851351354,14.264907094594594,11.434881756756758,0.9945945945945945,7.0162162162162165,16.994594594594595,0.0,75.0,424.52149533327315,34.00407328541668,5
rocksdb,results,fwdrange,default-fwdrange,376807.0,30185.359999999997,0.0,0.0,0.0,0.0,248.0,17966.4,27756.0,58647.4,120.0,0.0,2.0,37.0,50.0,50.0,50.0,9.570449746621621,9.907390202702704,9.741042751736112,9.324097046265015,1.035837837837838,8136.491675675677,4083.586756756757,4052.904972972973,1.0,0.06000000000000001,0.9924871477862641,161.3936756756757,0.4796756756756756,2.311783783783784,1.0067567567567568,9.999999999999998e-05,20.23940260768581,39.81993713048986,47.05,23.6,56.29261037795609,40.66434828969595,15.628262088260135,19.316626953125002,21.347721442145268,7.282495565878378,8.34576657516892,8.396515160637932,4.22411026825776,4.1724048923801735,25.890012668918917,12.463323479729729,13.42668918918919,0.9891891891891891,7.0,17.0,0.0,75.0,367.25808364146206,29.45314923739082,5
rocksdb,results,fwdrange,imbalanced-fwdrange,372340.2,29827.559999999998,0.0,0.0,0.0,0.0,249.0,17469.2,26789.8,95662.8,120.0,0.0,2.0,37.0,51.0,50.05945945945946,95.86486486486487,19.68624366554054,0.2564453125,0.004898648648648649,18.962478885135134,1.0222162162162165,8039.905243243244,4082.236378378378,3957.6690270270274,1.0,0.06000000000000001,0.9694862785145293,190.08637837837836,0.4777297297297297,2.3075135135135136,1.0092432432432434,9.999999999999998e-05,19.83136993243243,39.92222022804054,47.03378378378378,23.27972972972973,54.12492879011825,38.60922730152027,15.515701013513512,38.390162901182435,0.21906482263513513,15.469776182432431,0.04592488386824325,8.392382585680162,8.29118363663957,0.10119894904059332,25.66944679054054,21.57960304054054,4.08984375,1.0,8.010810810810812,17.0,0.0,75.0,829.74857637721,66.4469562884566,5
rocksdb,results,fwdrange,interleaved-fwdrange,376844.6,30188.379999999997,0.0,0.0,0.0,0.0,248.0,17378.6,26387.8,55805.4,120.0,0.0,2.0,37.0,50.0,50.0,50.0,9.865661951013513,8.835763302364864,8.666833826013512,9.523543074324325,1.0361081081081083,8134.24281081081,4082.1858918918924,4052.056918918918,1.0,0.06000000000000001,0.9926195648707118,161.02005405405404,0.4784324324324324,2.316432432432433,1.0117297297297299,9.999999999999998e-05,20.29053689822635,39.875264094172294,47.15405405405405,23.85945945945946,56.691551097972976,41.0722875316723,15.619263883023649,20.531279244087838,20.54100807643581,7.786959617820946,7.832304687499999,8.394680456213049,4.243225180136191,4.151455276076858,25.68642314189189,12.851900337837838,12.834522804054055,1.0,7.0,17.0,0.0,75.0,152.32301205004376,12.226487639545779,5
rocksdb,results,fwdrangewhilewriting,balancing-fwdrangewhilewriting,351127.4,28128.3,0.0,0.0,0.0,0.0,307.0,26972.8,32813.6,72806.2,120.0,0.0,2.0,37.0,50.0,50.18378378378378,50.01081081081081,8.973960092905404,8.347160050675676,8.112852647569444,8.584923986486487,1.0306486486486486,8072.344054054054,4052.117027027027,4020.226864864865,1.0,0.059945945945945954,0.9921677489190683,159.96200000000002,0.554918918918919,2.6563783783783785,1.038,9.999999999999998e-05,18.69509839527027,37.603162003800676,44.30540540540541,21.844594594594593,53.44532875844594,38.30977222339527,15.135556535050677,19.79074245143581,18.519029508023646,7.944090635557432,7.191465793918918,8.46283835333747,4.444081260062553,4.018757093274916,25.856608952702704,13.605194256756755,12.251414695945945,1.0,7.194894894894896,17.15105105105105,0.0,75.0,6441.205151212006,515.9648437636037,5
rocksdb,results,fwdrangewhilewriting,default-fwdrangewhilewriting,353201.6,28294.440000000002,0.0,0.0,0.0,0.0,309.0,27527.8,35775.8,105019.2,120.0,0.0,2.0,37.0,50.0,50.097297297297295,49.98378378378378,10.239611486486487,8.45954391891892,8.206661739864865,9.849862753378378,1.0334594594594597,8118.134648648649,4072.3605405405406,4045.7735675675676,1.0,0.06000000000000001,0.9934751784692037,160.19502702702704,0.5547567567567568,2.667081081081081,1.0420540540540542,9.999999999999998e-05,18.796572740709458,37.75033546241554,44.575675675675676,21.940540540540542,53.61686548858686,38.398568855296496,15.218297001411361,20.200765513869133,18.197803284472794,8.029530384568368,7.18876687938967,8.465264418318466,4.438412393105997,4.026852025212468,26.055519191066065,14.679834131006007,11.37568506006006,1.0,7.427777777777777,16.994594594594595,0.0,75.0,937.830635029579,75.12112219609243,5
rocksdb,results,fwdrangewhilewriting,imbalanced-fwdrangewhilewriting,350581.4,28084.559999999998,0.0,0.0,0.0,0.0,312.8,26924.8,32800.8,75212.6,120.0,0.0,2.0,37.0,50.7027027027027,50.535135135135135,92.7945945945946,17.132099873310814,0.23642842060810812,0.010388513513513513,16.357247677364864,1.0258918918918922,8057.011459459459,4085.7155135135135,3971.2952972972976,1.0,0.06000000000000001,0.9719928453162116,184.9317837837838,0.5567027027027027,2.6688108108108106,1.039891891891892,9.999999999999998e-05,18.420431482263513,37.833104571368246,44.59324324324324,21.43918918918919,51.71730774915541,36.650307432432434,15.067000158361486,36.39147571790541,0.25883176731418917,15.008929898648649,0.05807136824324325,8.46140153443849,8.359833044905562,0.10156848953292892,25.854983694632132,21.75631393111862,4.098669763513514,1.0833333333333335,8.0,16.772222222222222,0.0,75.0,1693.2025277562075,135.64014155109007,5
rocksdb,results,fwdrangewhilewriting,interleaved-fwdrangewhilewriting,353744.2,28337.859999999997,0.0,0.0,0.0,0.0,307.6,26875.2,32798.0,74604.2,120.0,0.0,2.0,37.0,50.0,50.0,50.0,8.677723817567568,9.309591427364865,9.257078758445946,8.288661317567568,1.035783783783784,8129.4661081081085,4076.5183783783787,4052.94772972973,1.0,0.06000000000000001,0.994220792902573,159.7218918918919,0.551027027027027,2.6587567567567567,1.0467567567567566,9.999999999999998e-05,18.84007986697635,37.83243860853041,44.57702702702703,22.0,53.92283012396648,38.74678502706037,15.176044839915983,19.42332498416385,19.32345977757157,7.600347761824326,7.575697135046229,8.461933713345914,4.276620400918497,4.185313477387299,25.85194256756757,13.005891047297297,12.84605152027027,1.0,7.2,17.0,0.0,75.0,760.2740953103706,60.91812538153147,5
rocksdb,results,multireadrandom,balancing-multireadrandom,7819007.0,1979.9,0.0,0.0,0.0,0.0,161.2,7746.8,18604.4,53627.6,120.0,0.0,2.0,36.8,50.0,50.4,50.0,13.018962468327704,12.857884735765595,12.461114043731232,11.989379809496997,0.6926396396396398,5443.594226726726,2733.1286261261257,2710.465496996997,1.0,0.06000000000000001,0.9898566533329415,166.76315765765764,0.7945645645645645,10.486564564564564,2.0304684684684684,0.0003999999999999999,27.002457472609326,49.16308888331692,58.212162162162166,31.705405405405408,75.71088386824324,55.516029296875004,20.19485494087838,27.585587521114867,27.93044119510135,10.065887088260135,10.128967271959459,8.39575846674922,4.240133528380065,4.155624938369155,25.688449582394895,11.423788241366367,14.264661341028528,4.0,15.0,15.0,3.0,75.0,32981.487807556456,8.393151970505416,5
rocksdb,results,multireadrandom,default-multireadrandom,7782400.2,1970.72,0.0,0.0,0.0,0.0,161.8,7786.0,18987.8,57751.6,120.0,0.0,2.0,36.8,50.0,50.0,50.0,11.857032569679054,13.594953400666293,13.172643279440155,11.232070840371623,0.6906486486486487,5418.688537537538,2714.4766606606604,2704.211878378378,1.0,0.06000000000000001,0.9962213948503669,166.56904504504504,0.7980705705705706,10.563618618618618,2.010166666666667,0.0003999999999999999,27.027224533126876,49.19941642179289,58.14478228228228,31.837012012012014,75.1306781566723,55.00271769425675,20.12796025126689,25.31132448268581,29.691393211570944,9.381932432432432,10.746028241131757,8.399648841651711,4.2792385410618135,4.120410300589897,25.90067567567568,10.400443412162163,15.500232263513514,4.2,15.01081081081081,15.0,3.0,75.0,30955.849192034693,7.820294112116197,5
