label,dataset,benchmark,tag,readratio,writeratio,read_bw_gb,write_bw_gb,read_bw_wall_gb,write_bw_wall_gb,wall_s,read_bw_std,write_bw_std,read_bw_std_pct,write_bw_std_pct,samples,local_pct,local_pct_skt0,local_pct_skt1,lmb_gb_skt0,lmb_gb_skt1,rmb_gb_skt0,rmb_gb_skt1,ipc,inst,inst_skt0,inst_skt1,afreq,freq,cpu_balance,llc_rd_miss_lat_ns,l3hit,l2miss,l3miss,l3mpi,upi_in_gb,upi_out_gb,upi_out_pct,upi_in_pct,mem_bw_gb,mem_read_gb,mem_write_gb,mem_read_gb_skt0,mem_read_gb_skt1,mem_write_gb_skt0,mem_write_gb_skt1,data_mem_gb,data_mem_gb_node0,data_mem_gb_node1,pagetable_mb,pagetable_mb_node0,pagetable_mb_node1,tma_l3_bound,tma_dram_bound,tma_l1_bound,tma_store_bound,warmup_s,read_bw_gb_std,write_bw_gb_std,runs
fio,details,readwrite_random,default,10,90,5.660918814,54.9547500246,5.661330827946666,54.96026786474666,30.0,0.034510254689599965,0.05436167664979998,0.624209330982808,0.1012525236443415,50.4,49.713725490196076,51.4278431372549,48.67380392156863,25.70172458045718,21.501990266651873,20.933097259216186,25.284476102941177,0.3114219607843137,1822.3777262745098,917.644088627451,904.7335529411764,0.9935741176470587,0.052541960784313724,0.9612831127679105,336.45821725490197,0.16511058823529415,3.2165615686274505,2.6660760784313724,0.001387835294117647,50.0178312745098,67.68214765318628,80.18227450980392,59.153431372549015,124.36102752527574,51.83924604243259,72.52178117417279,28.37155952359069,23.467686747855392,39.68417028492647,32.83761112515319,1.255420040953393,0.6936189290962969,0.5618072907690909,10.434857843137255,6.337186274509804,4.097671568627451,5.878486394557823,10.248469387755103,28.86751700680272,32.79770408163265,0.0,0.3716247242209178,1.7575195846028198,5
fio,details,readwrite_random,default,20,80,12.8448684316,50.2684058168,12.84546494464,50.27344239274667,30.0,0.0398785486184,0.0607805513542,0.31887104496877006,0.12368615114284362,50.4,49.85074509803921,51.01858823529412,49.12156862745098,24.72853178615196,23.132125092745433,22.310152420343137,24.55167853860294,0.3084517647058823,1898.6168329411764,966.307777254902,932.3090564705883,0.994804705882353,0.053018823529411764,0.9293080563631042,334.05166901960786,0.11658980392156863,6.509700392156863,5.860444705882353,0.0028916784313725483,49.89010820925245,68.10996336550245,80.63964705882353,58.87670588235294,124.56077004212622,54.3558512890625,70.20491987132354,28.18949776884191,26.16635352175245,36.19625810431985,34.00866165211397,1.2604384164249196,0.668828046910903,0.5915995836444929,10.421389399509803,6.323825367647059,4.0975640318627455,6.003656462585034,15.003061224489795,26.001020408163264,29.899149659863944,0.0,0.23552048255581295,2.0594119951387904,5
fio,details,readwrite_random,default,30,70,18.1396589368,43.1905940006,18.141602256213332,43.19581320533333,30.0,0.06510064485279998,0.05647859972679999,0.37020161496698484,0.13346685546716092,50.4,49.985098039215686,51.17749019607843,48.98235294117647,26.974172487745097,16.26650145526961,15.36478445284364,27.44573268995098,0.30560156862745097,1833.215025882353,907.7473945098039,925.4675098039218,0.9941686274509802,0.05333490196078432,0.9747593788709559,365.54217098039214,0.10318745098039217,8.995883137254902,8.316480784313725,0.00422564705882353,46.36076022135416,65.17059367723651,77.19378431372549,54.75870588235294,117.85275564568015,53.66217335018382,64.19058214231005,33.62406597503063,20.038107650122548,40.87557267156863,23.315009588694853,1.2634812714819816,0.7837278918098001,0.47975718718884036,10.44810600490196,6.348090379901961,4.100015625,6.203656462585034,19.953401360544216,24.503826530612248,27.342687074829932,0.0,1.3169729119291893,2.7772560688678363,5
fio,details,readwrite_random,default,40,60,27.7156148348,39.4940483632,27.71767596373333,39.497942930773334,30.0,0.0677576993932,0.06578864452739998,0.25060913636951493,0.1701835310143836,50.6,49.821019607843134,51.59639215686275,48.28266666666667,25.329124462284913,19.85982017561014,19.367817946319153,24.658535797131353,0.3255592156862745,1989.0498572549018,991.1372690196079,997.9127835294117,0.9943513725490195,0.053285490196078436,0.914069596305598,336.85019529411767,0.08830431372549019,13.49779450980392,12.68600705882353,0.00591638431372549,47.46527539905024,66.7022707498468,79.0317843137255,56.04521568627452,122.14767408624387,58.511320318627455,63.63635388327206,32.92711067478554,25.584209720435048,36.16642673406862,27.46992692401961,1.2679934345320159,0.7191770058426202,0.5488240437227138,10.564676470588235,6.532660845588235,4.032015625,6.555102040816327,25.187755102040818,21.632653061224488,23.4,0.0,1.9323244484298754,1.5116253922015483,5
fio,details,readwrite_random,default,50,50,36.0609880954,35.497366740400004,36.06387206826666,35.50092386304,30.0,0.07285414111039999,0.06888266151739998,0.2062318592253652,0.1980246634351055,50.6,49.834823529411764,51.32690196078431,48.45145098039215,25.429551905137053,20.17151717601103,19.460826210171568,24.647803451574887,0.3418823529411764,2115.4011960784314,1070.2126109803921,1045.188225882353,0.9947035294117648,0.0539121568627451,0.9574064947808146,328.852608627451,0.08045098039215687,17.831716078431374,16.907571764705885,0.007440313725490197,48.31317741268383,68.03845453814338,80.66327450980393,57.144294117647064,125.75451870098038,62.80962982996324,62.94488937270221,34.9502591015625,27.85937126914829,35.21083689338236,27.734052480085786,1.2658055216471353,0.7118521106196385,0.5539572562423407,10.562330882352942,5.600229779411765,4.962101102941176,6.942431972789116,30.20637755102041,19.364285714285714,19.990136054421768,0.0,1.3800176140790783,1.2486375188833885,5
fio,details,readwrite_random,default,60,40,43.6215882304,29.734175568,43.6253929472,29.737147132586664,30.0,0.06637751932659999,0.0755329401796,0.15577160821490615,0.2601202359861731,50.8,50.092470588235294,51.93701960784314,48.04541176470589,25.079792892156863,19.371814874387255,19.066463005514706,24.33252893344838,0.34143843137254903,2167.858293333333,1073.8781968627452,1093.9803764705882,0.9945733333333333,0.05429333333333334,0.9559276503705835,327.73094901960786,0.0721113725490196,21.539780392156864,20.537637647058823,0.008843592156862746,47.14321209635416,67.50185037913602,79.87813725490196,55.68011764705882,125.31161807215074,65.46979410232844,59.841825210631136,36.76554436197917,28.704249816942404,34.02730782935049,25.814516564797792,1.268994061937519,0.7219193154129327,0.5470782641242533,10.556145220588235,6.553192095588235,4.0029531249999994,7.36734693877551,35.38775510204082,17.1265306122449,17.253061224489795,0.0,2.5444320416898574,1.874251007216577,5
fio,details,readwrite_random,default,70,30,52.1827170916,21.7821775214,52.18694067541334,21.78421276672,30.0,0.07013003538839999,0.07187564393579997,0.13855471364482314,0.33635799747143236,50.8,50.04972549019608,52.19717647058824,47.55286274509804,24.384446849052118,17.689382735906864,18.351961856617645,21.672848958333333,0.34188784313725484,2185.676082352941,1090.7816517647059,1094.8945890196078,0.9951223529411765,0.0546086274509804,0.9539446649341901,345.17997490196075,0.06657333333333335,26.006328627450976,24.898028235294117,0.010721717647058825,44.335738216145835,65.68336300245099,77.84445098039215,52.313,120.45232544117648,66.93410698529411,53.518218683363976,37.13024472809436,29.80386202435662,30.01942568167892,23.498792693780636,1.274374179615694,0.7096823898016238,0.5646975576363358,10.55952175245098,6.578042279411764,3.981479473039216,7.244897959183673,42.01224489795918,14.310204081632653,13.4,0.0,4.621414222445836,1.798069861857047,5
fio,details,readwrite_random,default,80,20,66.0268803186,16.5783632092,66.03309569365334,16.58036133888,30.0,0.07151231768679997,0.07684807539199996,0.11098879659805527,0.4740177844213867,50.8,49.946745098039216,50.923529411764704,49.11160784313726,25.828146945776563,19.276308815381206,15.6406440941611,26.054634058879238,0.3688298039215686,2419.925914509804,1213.3034101960784,1206.6224243137253,0.9944580392156862,0.05445098039215686,0.9760636597838328,312.551591372549,0.06477176470588235,33.29508941176471,31.984647843137253,0.012384525490196075,46.230155109528184,68.02367972349877,80.70001960784313,54.67494117647059,127.93931410309438,74.98256143841911,52.956753517156855,42.70908408471201,32.27347712316176,30.547507353707108,22.409246167279413,1.271066536398495,0.7282318486232383,0.5428346877752566,10.547492953431373,6.564039828431372,3.9834531249999996,7.510204081632653,47.2734693877551,12.044897959183674,8.86122448979592,0.0,3.6210819517789012,0.5555826342855076,5
fio,details,readwrite_random,default,85,15,73.43893529340001,13.2763194384,73.44826548223999,13.277821883733333,30.0,0.07090967952979997,0.07016003349639996,0.0986795376981216,0.5386801193749136,50.6,49.51341176470588,50.15364705882352,49.52180392156863,22.548119006011795,23.025020895858344,20.35383497617797,22.491267106451957,0.37846666666666673,2528.107734117647,1254.4551231372548,1273.6525662745098,0.9940298039215687,0.05462509803921569,0.9813837108389928,303.0084674509804,0.061856470588235304,37.035553725490196,35.62266745098039,0.013227819607843135,46.774963682598035,68.89663717601103,81.6458431372549,55.29358823529411,130.2213211251532,78.66621296798407,51.55510853860294,39.27248531173407,39.39372750153186,26.031839875153185,25.52326881816789,1.2747970975988052,0.6554415758918314,0.6193630990421071,10.556262254901961,6.052583946078432,4.503678308823529,7.604081632653061,49.220408163265304,11.122448979591837,7.183673469387754,0.0,2.365551505533831,0.30920336931878917,5
fio,details,readwrite_random,default,90,10,80.1591006392,7.9626712296,80.16931487744,7.963519740586667,30.0,0.0697892437312,0.1017320897166,0.08922611059702443,1.3040791797468316,50.8,50.088156862745095,51.06164705882353,48.82917647058823,25.724425832450844,18.418615571228493,17.758259337943954,24.771411994485295,0.38978196078431376,2570.239860392157,1296.9268156862745,1273.3135929411765,0.9943388235294119,0.054766274509803925,0.9700903856625359,300.6997388235294,0.06183764705882353,40.48337960784313,38.93762274509804,0.014219403921568624,45.33452318474265,67.7203141452206,80.2613137254902,53.61737254901961,126.00286437423406,80.1618261787684,45.841038272058825,46.36762915058211,33.79419664981618,26.93484240502451,18.906195556066177,1.276034314623066,0.7435511304069968,0.5324889143401501,10.438176164215687,5.991644914215686,4.44653125,7.706122448979592,52.844897959183676,9.16734693877551,4.7306122448979595,0.0,5.4722500884737695,0.6381543391285647,5
