round,elapsed_ms,tag
0,0.012840,pgtable_sync_repl
1,0.012371,pgtable_sync_repl
2,0.013171,pgtable_sync_repl
3,0.013608,pgtable_sync_repl
4,0.013302,pgtable_sync_repl
5,0.012351,pgtable_sync_repl
6,0.013197,pgtable_sync_repl
7,0.012674,pgtable_sync_repl
8,0.012928,pgtable_sync_repl
9,0.013346,pgtable_sync_repl
10,0.012992,pgtable_sync_repl
11,0.012533,pgtable_sync_repl
12,0.012238,pgtable_sync_repl
13,0.013110,pgtable_sync_repl
14,0.012874,pgtable_sync_repl
15,0.012581,pgtable_sync_repl
16,0.012702,pgtable_sync_repl
17,0.013081,pgtable_sync_repl
18,0.013308,pgtable_sync_repl
19,0.013089,pgtable_sync_repl
0,0.006503,pgtable_sync_norepl
1,0.006372,pgtable_sync_norepl
2,0.006431,pgtable_sync_norepl
3,0.006492,pgtable_sync_norepl
4,0.006576,pgtable_sync_norepl
5,0.006203,pgtable_sync_norepl
6,0.006235,pgtable_sync_norepl
7,0.006651,pgtable_sync_norepl
8,0.006394,pgtable_sync_norepl
9,0.006400,pgtable_sync_norepl
10,0.006359,pgtable_sync_norepl
11,0.006386,pgtable_sync_norepl
12,0.006387,pgtable_sync_norepl
13,0.006375,pgtable_sync_norepl
14,0.006375,pgtable_sync_norepl
15,0.006237,pgtable_sync_norepl
16,0.006203,pgtable_sync_norepl
17,0.006521,pgtable_sync_norepl
18,0.006387,pgtable_sync_norepl
19,0.006379,pgtable_sync_norepl
